predict,label,score
"unethically, as this dual role can create a conflict of interest and may compromise her objectivity.",unethically by accepting dual roles.,0.19047619047619047
"Governments may employ a range of measures, including military action, law enforcement, and intelligence gathering, depending on their perspective on terrorism.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.08888888888888889
hearsay.,hearsay.,1.0
"No, countries cannot rely on their domestic law as an excuse to violate their obligations under international law",Only customary international law prevails over domestic law,0.15384615384615383
premenstrual dysphoric disorder (PMDD),generalized anxiety disorder,0.28571428571428575
45°,cos–1 (1/g),0.0
Reassortment of the viral genome,Recombining with another enterovirus,0.0
"The Southeast Asia Collective Defense Treaty, also known as the Manila Pact, which led to the formation of the Southeast Asia Treaty Organization (SEATO) and provided a collective defense commitment to South Vietnam.",mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.23255813953488375
The seller can obtain the reasonable value of the car's use and the down payment minus the reasonable value of the car's use.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.27906976744186046
Lactic acid fermentation or Alcohol fermentation,Calvin cycle,0.0
"The costs of free trade are concentrated among a few domestic firms that may lose their competitive advantage in the global market, while the benefits are dispersed among many consumers who enjoy lower prices.",Regime type,0.0
"True, True","False, True",0.5
"To provide a permanent airway when a patient has difficulty breathing through their mouth and nose, such as in cases of severe respiratory failure or obstruction.",Prior to neck surgery.,0.06666666666666668
"$45,000.00","$55,000. 00",0.0
"the central city and the surrounding metropolitan area, including suburbs and adjacent counties.",the central city and its hinterlands.,0.42105263157894735
"Corporate social responsibility, Financial accounting.","Financial accounting, Environmental management initiatives",0.4000000000000001
0.01 J,0.005 J,0.5
],is a semilunar valve,0.0
is used to determine the content of minerals in a soil sample,was used to demonstrate DNA as the genetic material,0.28571428571428575
"Wrong, Not wrong","Wrong, Wrong",0.8
overlapping or mixed,useful,0.0
the Economic Opportunity Act of 1964,Medicare and Medicaid,0.0
The university raises tuition.,The governor approves of it.,0.22222222222222224
"The decision paved the way for the Civil Rights Movement, leading to further desegregation and equal rights for African Americans.","In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.1142857142857143
The tolerance of the Roman government towards different religions.,the hatred of all things Roman by British scholars in the eighteenth century,0.27272727272727276
Increasing the partial pressure gradient of the gas,Decreasing the solubility of the gas in water,0.5
"Interacting with antigens (or more specifically, through the presentation of antigens by antigen-presenting cells to T helper cells, which then stimulate B cells).",Interacting with a plasma cell,0.14285714285714285
"Samantha, a 17-year-old female, who is a perfectionist and has a family history of eating disorders, and is currently dieting to lose weight for an upcoming school dance","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.23076923076923075
75,144,0.0
"the Yangtze River Valley, specifically the area around the modern-day city of Xi'an.",external influences originating from the Indus Valley.,0.2
"Links is a common term for a golf course, especially those located near the sea. ",Steps,0.0
I shot an arrow through the bulleye.],"Wrong, Wrong",0.0
The inferior alveolar nerve,The buccal nerve,0.5714285714285715
cerebellum],visual system,0.0
"Option I if it needs at least $25,000 to pay off an overdue loan",Option II if it wants to maximize expected return,0.34782608695652173
"are those that would be accepted by rational individuals in a hypothetical ""original position"" where they would have to choose rules that would apply to everyone.",make take into account the interests of all sentient beings.,0.0
"The resident would not succeed, because the state's use of the land for a recreational purpose, rather than a commercial purpose, would not trigger the re-entry clause in the deed.","The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.423076923076923
$100 / (1 + 0.04)^5 ≈ $82.42,$85,0.0
It was one of the first well-documented examples of a specific brain area being associated with a set of physical and emotional changes.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.28571428571428575
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.1818181818181818
],6:5,0.0
Measles,Hepatitis,0.0
Hypertensive encephalopathy,Amyotrophic lateral sclerosis,0.0
"Wrong, Not wrong","Not wrong, Wrong",0.6666666666666666
Intimacy/emergence,Introspection,0.0
],Any risk of invasion of privacy,0.0
"three-bagger or more commonly, three-bagger",mulligan,0.0
"Wrong, Not wrong","Wrong, Not wrong",1.0
Vitamin C,Vitamin A,0.5
],gamma radiation.,0.0
Availability of arable land,Availability of sufficient rainfall,0.5
they will disagree morally only if they disagree about the facts of the case.,they will share all the same moral opinions.,0.2727272727272727
Napoleon,Lafayette,0.0
Cliff Clavin,Diane,0.0
"The net force is in the negative direction, because the puck is slowing down, indicating a deceleration, which is typically caused by a net force in the opposite direction of motion.","The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.4444444444444444
Contractionary fiscal policy is likely to increase domestic interest rates and cause the dollar to appreciate.,Interest rates decrease and the dollar appreciates.,0.43478260869565216
RLC circuit.,RC circuit.,0.5
"had accumulated wealth and social status through their business ventures and investments, and thus gained acceptance and integration into the upper class]",participated in the same leisure pursuits and events of the 'social calendar',0.11764705882352942
25,17,0.0
"Small, soft toothbrush is the first choice for cleaning the mouth, but if the patient has a severe dental condition or is unable to use a toothbrush, the first choice would be a gloved finger wrapped in gauze.",Foam stick.,0.0
Charles Elton and David Lack,Matthias Schleiden and Theodor Schwann,0.20000000000000004
saving increases by more than $X.,consumption increases by more than $X .,0.8333333333333334
They alter the equilibrium constant of a reaction (K_eq) so that more reactant can be converted to product.,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",0.28571428571428575
"Problem recognition, search, and purchase.",Buyphases.,0.0
"pointing out that killing a fetus results in the loss of a potentially long and valuable life, which is a greater harm than the harm of not being born.",appealing to the fact that a fetus is biologically human and arguing that it is presumptively morally wrong to kill biologically human beings.,0.19230769230769232
"Not wrong, Wrong","Not wrong, Wrong",1.0
an unhealthy soul,worldly wisdom,0.0
Wrong],"Wrong, Wrong",0.6666666666666666
1 - (1/2^4 + 1/2^4),1/64,0.0
72 ÷ 9 = 8,72 – 9 = 63,0.5
Southeast Asia,Europe,0.0
"Encourage the patient to establish a relaxing bedtime routine, such as reading a book or listening to soothing music, and to avoid stimulating activities before bedtime.",Prescribe sertraline,0.0
Exposure Therapy,modeling,0.0
time period,wavelength,0.0
"Not wrong, Wrong","Not wrong, Wrong",1.0
quotas and set-asides.,bills of attainder,0.0
],Establishing a foundation for monitoring.,0.0
"Evolves through stages of moral reasoning, with individuals progressing from lower to higher levels of moral understanding",Cannot be rationalized in every instance,0.0
Lm ∧ ~(Lj ∨ Ll),Lm ∨ ~(Jl ∨ Ll),0.6
Verbal memory and language skills,Mental rotation,0.0
"Driving, especially if they have health issues or are taking certain medications that may impair their reaction time or judgment.",Alone,0.0
"misrepresenting or exaggerating someone's argument to make it easier to attack, often by focusing on an extreme or irrelevant aspect.",responding to an argument with an expression of derision instead of a counter argument,0.11764705882352941
"Not wrong, Wrong","Wrong, Wrong",0.8
providing a longer term for senators (six years) compared to representatives (two years),requiring all spending bills to originate in the House of Representatives,0.16666666666666669
O'Hare International Airport (Chicago),Orlando,0.0
Express a conclusion regarding the appropriateness of the selected accounting principles.,Notify the appropriate regulatory authority if the auditor's opinion was modified on the basis of the matter.,0.21428571428571427
"2,475,000","2,329,333",0.0
magnetic field,Neither,0.0
three,three,1.0
The dissolution of Yugoslavia and the end of communist rule in Eastern Europe.,The acceptance of many Eastern European countries into the EU,0.2608695652173913
"True, True","False, True",0.5
mass,momentum,0.0
Buffy's fantasies suggest that she is open-minded and comfortable with exploring different aspects of her sexuality.,Buffy's fantasies are indicative of a paraphilia.,0.26086956521739124
"a sharp division between black and white castes, underpinned by beliefs about white superiority",a way of marking out the land so that black people had less space for housing,0.13333333333333333
constructive eviction.,partial constructive eviction.,0.8
less.,none because it sinks.,0.0
"the winning candidate receives the most votes in the election, but not necessarily more than 50% of the popular vote",the Senate declares the formal winner,0.15384615384615383
Use parameterized queries or prepared statements,Merge tables,0.0
"Not wrong, Wrong","Not wrong, Wrong",1.0
"Not wrong, Wrong","Not wrong, Not wrong",0.8571428571428571
27% ,51%,0.0
