Question,predict,label,rouge_score,score
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Mạch truyện diễn biến theo [MASKED]
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai"," hiện tại - tương lai, đố tháp như thế này ghi nhớ và phân tích trọng thức quá khứ trên thế giới. Vậy lựa chọn để hoàn thành câu hỏi là: D: Hiện tại - quá khứ -",trình tự thời gian nào?,0.112149529159069,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tôi đi học của Thanh Tịnh [MASKED]
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," tuỳ bút?
### Lựa chọn: D",được viết theo thể loại nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên [MASKED]
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ"," [MASKED] D: Con đường này tôi đã quen đi lạm, nhưng lần này tự nhiên thấy lạ","tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?",0.1941747516393661,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học [MASKED]
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: Hành động",", chiếc gói này, chiếc gói gì?

### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học [D: Hành động]
### Lựa chọn:
D: Hành động",được miêu tả chủ yếu ở phương diện nào?,0.1372549086809158,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Biện pháp tu từ nào được tác [MASKED]
### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ."," _D: D. Ẩn dụ_. Có thể định nghĩa ặc về các phương pháp tu khác này trong câu: Biện pháp tu từ ẩn dụ được tác _______.

### Câu hỏi: Biện ph",giả sử dụng trong đoạn văn trên?,0.1682243049144745,0.05405405405405406
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chủ đề của văn bản “Tôi [MASKED]
### Lựa chọn:
A: Nhan đề của văn bản 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên"," [MASKED] Cả ba yếu tố A: Nhan đề của văn bản B: Quan hệ giữa các phần của văn bản C: Các từ ngữ, câu then chốt trong văn bản D: Cả ba yếu tố

### Câu hỏi",đi học” nằm ở phần nào?,0.1111111119389534,0.046511627906976744
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Sức cuốn hút của tác [MASKED]
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả.","phẩm ""Tôi đi học"" là:",0.095238097012043,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn [MASKED]
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’"," __D: Nhân vật ‘tôi’__, vì nó tiên sn win thực hiện cách hướng hề với người thống thảo, giúp người nhân nhận thấu cái truyền thống và tinh thần của mình trong câu.
",bản 'Tôi đi học’ là ai?,0.0761904790997505,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh [MASKED]
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: Biểu cảm 
D: Kết hợp cả A, B, C"," [C: Biểu cảm]
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh nếu chọn như thế nào?
### Lựa chọn:
D: Kết hợp cả A, B, C","Tịnh sử dụng trong văn bản ""Tôi đi học”?",0.1176470592617988,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc sắc nghệ thuật của [MASKED]
### Lựa chọn:
A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. 
B: Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.
C: Cả A và B đúng 
D: Cả A và B sai"," [Cả A và B] đúng.

Cậu, vợt nhân thuộc thể thao phun hành, nhân khẳng biến sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc, trong đ","truyện ngắn ""Tôi đi học""?",0.0934579446911811,0.0
