,Câu hỏi,A,B,C,D,Answer,Grade
0,Ngô Thì Nhậm từng làm quan dưới triều đại nào?,"Triều Mạc, Lê, Trịnh","Triều Lê, Mạc, Tây Sơn","Triều Lê, Trịnh, Tây Sơn","Triều Mạc, Lê, Trịnh, Tây Sơn",B,Văn 11
1,Chiếu cầu hiền ra đời với mục đích gì?,Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn,Kêu gọi các Nho sĩ ra giúp nước,Kêu gọi những người giỏi võ ra giúp nước,Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn,D,Văn 11
2,Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?,Khi triều đại Lê – Trịnh sụp đổ,Khi Trịnh Sâm lên ngôi vua,Nguyễn Huệ lên ngôi vua,Khi triều đại Tây Sơn sụp đổ,C,Văn 11
3,Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:,Kẻ sĩ mai danh ẩn tích uổng phí tài năng,Người ra làm quan thì giữ mình không dám nói thẳng,Nhiều người có tài năng còn chưa chịu ra giúp nước,Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử,D,Văn 11
4,Giá trị nội dung của Chiếu cầu hiền là:,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan,A,Văn 11
5,Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?,Các tác phẩm thuộc phong trào Thơ mới.,Tinh thần Thơ mới,Chủ nghĩa hiện thực Việt Nam.,Quan điểm nghệ thuật vị nhân sinh,B,Văn 11
6,"""Chiếu cầu hiền"" là của tác giả nào?",Ngô Thì Nhậm,Ngô Thì Sĩ,Ngô gia văn phái,Quang Trung,A,Văn 11
7,Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?,"Sinh năm 1915, mất năm 1951.","Sinh năm 1920, mất năm 2002.","Sinh năm 1930, mất năm 2008.","Sinh năm 1909, mất năm 1982.",D,Văn 11
8,"Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Lưu Trọng Lư,Nguyễn Bính,Huy Thông,Nguyễn Nhược Pháp,C,Văn 11
9,"Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”",Xuân Diệu,Huy Cận,Chế Lan Viên,Hàn Mặc Tử,C,Văn 11
10,Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?,Nghị luận,Tự sự,Biểu cảm,Chính luận,A,Văn 11
11,Bài diễn thuyết này được Martin Luther King đọc ở đâu vào thời gian nào?,Tại đài tưởng niệm Lin-cơn ngày 28/8/1963,Tại đài tưởng niệm Lin-cơn ngày 29/8/1963,Tại đài tưởng niệm Lin-cơn ngày 29/8/1964,Tại đài tưởng niệm Lin-cơn ngày 28/8/1964,A,Văn 11
12,"Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”",Nguyễn Nhược Pháp,Nguyễn Bính,Lưu Trọng Lư,Tố Hữu,B,Văn 11
13,"Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Thế Lữ,Lưu Trọng Lư,Nguyễn Nhược Pháp,Nguyễn Bính,C,Văn 11
14,"Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?",Thế Lữ,Xuân Diệu,Lưu Trọng Lư,Hàn Mặc Tử,A,Văn 11
15,“Cầu hiền” ở đây hướng tới đối tượng nào?,Người ăn ở hiền lành,Người có tài,Người có đức,Người có đức và tài,D,Văn 11
16,Tác giả của đoạn trích “Tôi có một ước mơ” là ai?,Aleksandr Sergeyevich Pushkin,Mác –tin Lu-thơ Kinh,Rabindranath Tagore,Vic-to Huy-gô,B,Văn 11
17,Tác giả đã nêu ra cách nhận diện tinh thần Thơ mới như thế nào?,So sánh bài hay với bài hay.,So sánh bài hiện đại với bài cổ điển.,So sánh bài hay với bài tầm thường.,So sánh bài tầm thường với bài tầm thường.,B,Văn 11
18,"Câu văn “Người hiền xuất hiện ở đời, thì như ngôi sao sáng trên trời cao” nói lên nội dung gì?",Nhân tài Bắc Hà nhiều như sao trên trời.,Người hiền theo Quang Trung rất nhiều như sao trời,Người hiền ở Bắc Hà rất hiếm có,"So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài.",D,Văn 11
19,Đoạn trích “Tôi có một ước mơ” nằm trong:,Ăn sáng với kim cương,Người đàn ông của chúng tôi ở Havana,"Bước đến tự do, Câu chuyện Mon-ga-mo- ri- Montgomery","Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum",C,Văn 11
20,Nữ phóng viên đầu tiên là viết về ai?,Manh Manh nữ sĩ,Nguyễn Thị Bình,Trương Mỹ Hoa,Hồ Xuân Hương,A,Văn 11
21,Tên thật của Manh Manh nữ sĩ là:,Nguyễn Thị Khiêm,Nguyễn Thị Kiêm,Nguyễn Thị Hoa,Nguyễn Thị Lan,B,Văn 11
22,Bà Kiêm bắt đầu trở nên nổi tiếng khi:,"Nổi tiếng về những bài diễn thuyết, những bài viết về bình đẳng giới và thơ mới",Viết thơ,Viết bài ủng hộ thơ mới,Viết kí,A,Văn 11
23,Dòng nào nói đúng nhất về năm sinh năm mất của bà Kiêm?,Sinh 1914 mất 2015,Sinh 1914 mất 2005,Sinh 1913 mất 2005,Sinh 1912 mất 2005,B,Văn 11
24,Sở trường của bà Kiêm là gì?,Thơ,Diễn thuyết,Phỏng vấn,Phê bình,B,Văn 11
25,Bà Kiêm là phóng viên của tờ báo nào?,Phụ nữ Tân thời,Đuốc An Nam,Phụ nữ Tân văn,Thần chung,C,Văn 11
26,Tại kì Pa-ra-lim-pích Tô-ky-ô 2020 vận động viên xuất sắc nhất là:,Van Gát,Henry,Hanry,Xnai – đơ,D,Văn 11
27,Đến Pa-ra-lim-pích Ri-ô đờ Gia - nê - rô Xnai-đơ dành được mấy chương:,2 huy chương vàng,3 huy chương vàng,4 huy chương vàng,6 huy chương vàng,D,Văn 11
28,"Trong lần tham dự Pa-ra-lim-pích đầu tiên, Van Gát đã dành được:",2 huy chương vàng 2 huy chương bạc,2 huy chương vàng 1 huy chương bạc,2 huy chương vàng 1 huy chương đồng,2 huy chương bạc 1 huy chương đồng,C,Văn 11
29,"Trong nói và viết, cần tránh hiện tượng nào?",Ngôn ngữ nói được ghi lại bằng chữ viết.,Ngôn ngữ viết được trình bày lại bằng lời nói.,"Dùng ngôn ngữ nói và ngôn ngữ viết đúng lúc, đúng chỗ.",Dùng những yếu tố đặc thù của ngôn ngữ viết khi nói.,D,Văn 11
30,Nhận xét nào về các câu văn vần trong truyện Tấm Cám chưa chính xác?,Có người nói và người nghe.,Người nghe không có mặt.,Được thể hiện bằng âm thanh và ngữ điệu.,"Ngôn ngữ tự nhiên, trau chuốt.",B,Văn 11
