predict,label,score,Subject,retained
"Tìm cách can thiệp và bảo vệ B, nói với A hành động của cậu ấy là sai và không nên làm như vậy.",Cùng với A đánh B cho vui.,0.1176000013947486,civic_education,True
"Tới can ngăn thanh niên gây tai nạn và gọi điện cho cảnh sát, cùng người xung quanh giúp đỡ nạn nhân.",Đèo em bé đó đến gặp công an.,0.0,civic_education,True
"Thiển cận, dễ thay đổi",Không tôn trọng lẽ phải.,0.0,civic_education,True
"Không gian lận trong bài thi, kiểm tra","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,civic_education,True
Tư tâm,Khiêm tốn.,0.0,civic_education,True
Gọi điện cho người thân hoặc bạn bè để nhờ họ giúp đỡ hoặc khuyên nhủ.,Sang đánh nhà hàng xóm.,0.0,civic_education,True
"Lăng mạ, nói xấu người khác sau lưng.",Tự nhận lỗi về mình,0.0,civic_education,True
Ăn quả nhớ kẻ trồng cây,Lời nói không mất tiền mua,0.0,civic_education,True
Sự thật,Lòng vị tha.,0.0,civic_education,True
Giữ chữ tín,Liêm khiết.,0.0,civic_education,True
Luật lệ nội quy,Công bằng.,0.0,civic_education,True
"Đảm bảo trật tự, an toàn và quyền lợi cho mỗi cá nhân.",Giúp cho mọi người tôn trọng nhau hơn.,0.0833000019192695,civic_education,False
"Có nết, có phép, mới làm nên người",Phép vua thua lệ làng,0.0,civic_education,True
"Là một động lực giúp con người vượt qua khó khăn, thử thách trong cuộc sống.",Giúp cho mọi người gần nhau hơn.,0.0799999982118606,civic_education,False
Tình đồng chí,Tình đồng chí.,1.0,civic_education,True
Không lợi dụng lẫn nhau,Phù hợp với nhau về quan niệm sống.,0.1429000049829483,civic_education,True
Tình bạn phải luôn gắn liền với lợi ích cá nhân,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.0869999974966049,civic_education,False
Tuyên bố với thầy cô rằng E đang gian lận.,Nói với cô giáo để bạn bị phạt.,0.1817999929189682,civic_education,True
Gia đình bà E có quan điểm hạn hẹp về việc tham gia các hoạt động cộng đồng.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.5293999910354614,civic_education,True
Ủy ban nhân dân các cấp,Nhà nước.,0.0,civic_education,True
"Gây ra những hậu quả nghiêm trọng cho xã hội, ảnh hưởng đến an ninh trật tự và phát triển kinh tế.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.1500000059604644,civic_education,True
"Giết người, trộm cắp, bạo lực học đường.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.3199999928474426,civic_education,True
Hậu quả xã hội,Vi phạm quy chế.,0.0,civic_education,True
Tử hình,Cảnh cáo.,0.0,civic_education,True
"Giáo dục, kèm cặp",Phạt tù.,0.0,civic_education,False
Ngay sau khi tiếp xúc,1 tuần.,0.0,civic_education,True
HIV,Cúm gà.,0.0,civic_education,True
Hệ miễn dịch suy giảm,Sút cân trên 10% trọng lượng cơ thể.,0.0,civic_education,True
Quan hệ tình dục không an toàn,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.0,civic_education,True
Sử dụng bao cao su khi quan hệ tình dục.,Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.0,civic_education,True
Các doanh nghiệp quốc phòng,Cá nhân.,0.0,civic_education,True
Ngày 23 tháng 3,Ngày 14 tháng 10,0.53329998254776,civic_education,False
Để bình gas trong nhà bếp không có thông gió.,Dùng dao để đánh nhau.,0.0,civic_education,True
"Đối tượng đang cố tình, nguy hiểm, gây chết người hoặc làm bị thương người thi hành công vụ hoặc người khác, và các biện pháp khác không đủ để khống chế tình hình.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.",0.0967999994754791,civic_education,True
Chất độc hại,Vũ khí,0.0,civic_education,True
Từ 3 năm đến 7 năm,Từ 1 năm đến 5 năm.,0.7778000235557556,civic_education,False
Chiếm hữu của chủ sở hữu và chiếm hữu của người không phải chủ sở hữu.,Chiếm hữu của chủ sở hữu.,0.583299994468689,civic_education,True
Quyền sở hữu,Quyền chiếm hữu.,0.75,civic_education,False
Đảm bảo và bảo vệ,Bảo hộ và chịu trách nhiệm.,0.1537999957799911,civic_education,True
Đảm bảo quyền sở hữu của công dân,Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,0.4138000011444092,civic_education,True
để đáp ứng nhu cầu của con người,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",0.0,civic_education,True
Đáp ứng nhu cầu của con người,Thúc đẩy tăng trưởng kinh tế.,0.0,civic_education,True
Sự phát triển của xã hội,Thu nhập của người lao động.,0.166700005531311,civic_education,False
Lực lượng lao động,Kết cấu hạ tầng của sản xuất.,0.0,civic_education,True
Tư duy sáng tạo,Đối tượng lao động.,0.0,civic_education,True
Hai,Hai điều kiện,0.5,civic_education,False
Giá trị sử dụng và giá trị trao đổi,Giá cả và giá trị sử dụng,0.5,civic_education,False
Lao động xã hội cần thiết để sản xuất hàng hóa kết tinh trong hàng hóa,Chi phí làm ra hàng hóa,0.1817999929189682,civic_education,True
Người tiêu dùng sẵn sàng mua hàng hóa với một giá nhất định,Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng,0.2581000030040741,civic_education,True
Dịch vụ giặt quần áo,Nước máy,0.0,civic_education,True
Trung thực,Khoan dung,0.0,civic_education,True
[Lựa chọn một hành động thiên vị hoặc bất công],"Trong công việc, ưu ái người nhà hơn người ngoài.",0.0952000021934509,civic_education,True
tư tâm vì lợi ích chung,"mánh khoé, vụ lợi.",0.1537999957799911,civic_education,True
Đức tính liêm khiết,Đức tính trung thực,0.5,civic_education,False
"Phán xét mọi người dựa trên sự thật và lẽ phải, không thiên vị cho ai.",Luôn nhận định theo số đông là chí công vô tư.,0.0,civic_education,False
"E có ý thức phấn đấu, chịu khó.",E là người trung thực.,0.1537999957799911,civic_education,False
"Phụ thuộc vào người khác, không dám đưa ra quyết định","Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.",0.3332999944686889,civic_education,True
Tìm cách giải quyết ổn thỏa với bạn,Yêu cầu bạn mua đền món đồ.,0.1053000018000602,civic_education,True
N là người có lòng nhân ái,N là người tôn trọng người khác.,0.428600013256073,civic_education,False
Dù ai nói ngả nói nghiêng/ Lòng ta vẫn vững như kiềng ba chân.,Học thầy không tày học bạn.,0.0,civic_education,True
Kiên định,Cần cù,0.0,civic_education,True
B là người thiếu trung thực,B là người không tự tin.,0.5,civic_education,False
Đi học muộn,Đi học đúng giờ,0.5,civic_education,True
Dân chủ,Khiêm nhường,0.0,civic_education,True
Học sinh không tham gia thảo luận,Tích cực tham gia các hoạt động của lớp.,0.2353000044822693,civic_education,True
"Tham gia thảo luận, đưa ra ý kiến và tôn trọng quyết định chung của lớp.",Không tham gia các hoạt động của lớp.,0.25,civic_education,True
"Tuyên truyền hòa bình, đấu tranh chống chiến tranh","Gây chiến tranh, khủng bố ở nhiều nơi trên thế giới",0.1817999929189682,civic_education,True
mọi công dân trên thế giới,những nước đang có chiến tranh,0.0,civic_education,True
Hoạt động ngoại giao,Bảo vệ đất nước,0.0,civic_education,True
Sự kiện giải phóng hoàn toàn miền Nam,30/4/1954.,0.0,civic_education,False
và có giá trị cao trong một thời gian nhất định.,có chất lượng nhưng mất nhiều thời gian.,0.2000000029802322,civic_education,True
"Thực hiện công việc sai sót, chậm tiến độ",Vừa xem ti vi vừa ăn cơm.,0.0,civic_education,True
Mức độ cần thiết,Tiền đề.,0.0,civic_education,True
Là điều kiện để mọi người được nghỉ ngơi thoải mái.,Thúc đẩy sự phát triển của đất nước trong thời kì hội nhập.,0.0,civic_education,True
"Làm việc có năng suất, chất lượng và hiệu quả là những yếu tố cần thiết và bổ sung cho nhau.",Trong sản xuất chỉ cần chú ý đến chất lượng sản phẩm.,0.1212000027298927,civic_education,True
tập trung và kiên trì,chép bài của bạn.,0.0,civic_education,True
sáng tạo,hợp tác cùng phát triển.,0.0,civic_education,True
Sự tôn trọng lẫn nhau,Hoàn cảnh gia đình tương xứng,0.0,civic_education,True
"Nam từ đủ 21 tuổi trở lên, nữ từ đủ 18 tuổi trở lên.","Nam từ 20 tuổi trở lên, nữ từ 18 tuổi trở lên",0.8823999762535095,civic_education,False
Hôn nhân chỉ nên diễn ra giữa những người có cùng tôn giáo.,"Hôn nhân nhằm mục đích chung sống lâu dài và xây dựng gia đình hoà thuận, hạnh phúc.",0.176499992609024,civic_education,True
Tăng cường sự đoàn kết gia đình.,Ảnh hưởng xấu đến sức khoẻ của cả mẹ và con.,0.0,civic_education,True
Hôn nhân cùng lúc giữa một công dân Việt Nam với hai người nước ngoài.,"Hôn nhân tiến bộ, một vợ một chồng, vợ chồng bình đẳng.",0.2759000062942505,civic_education,True
Phụ nữ phải răm rắp nghe lời chồng,"Ép dầu ép mỡ, ai nỡ ép duyên.",0.0,civic_education,True
lao động tự do,cải tạo,0.0,civic_education,True
