predict,label,score,Subject,retained
"unethically, as this dual role can create a conflict of interest and may compromise her objectivity.",unethically by accepting dual roles.,0.1904761904761904,civic_education,True
"Governments may employ a range of measures, including military action, law enforcement, and intelligence gathering, depending on their perspective on terrorism.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.0888888888888888,civic_education,True
hearsay.,hearsay.,1.0,civic_education,True
"No, countries cannot rely on their domestic law as an excuse to violate their obligations under international law",Only customary international law prevails over domestic law,0.1538461538461538,civic_education,True
premenstrual dysphoric disorder (PMDD),generalized anxiety disorder,0.2857142857142857,civic_education,True
45°,cos–1 (1/g),0.0,civic_education,True
Reassortment of the viral genome,Recombining with another enterovirus,0.0,civic_education,True
"The Southeast Asia Collective Defense Treaty, also known as the Manila Pact, which led to the formation of the Southeast Asia Treaty Organization (SEATO) and provided a collective defense commitment to South Vietnam.",mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.2325581395348837,civic_education,True
The seller can obtain the reasonable value of the car's use and the down payment minus the reasonable value of the car's use.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.2790697674418604,civic_education,True
Lactic acid fermentation or Alcohol fermentation,Calvin cycle,0.0,civic_education,True
"The costs of free trade are concentrated among a few domestic firms that may lose their competitive advantage in the global market, while the benefits are dispersed among many consumers who enjoy lower prices.",Regime type,0.0,civic_education,True
"True, True","False, True",0.5,civic_education,False
"To provide a permanent airway when a patient has difficulty breathing through their mouth and nose, such as in cases of severe respiratory failure or obstruction.",Prior to neck surgery.,0.0666666666666666,civic_education,True
"$45,000.00","$55,000. 00",0.0,civic_education,False
"the central city and the surrounding metropolitan area, including suburbs and adjacent counties.",the central city and its hinterlands.,0.4210526315789473,civic_education,True
"Corporate social responsibility, Financial accounting.","Financial accounting, Environmental management initiatives",0.4000000000000001,civic_education,True
0.01 J,0.005 J,0.5,civic_education,False
],is a semilunar valve,0.0,civic_education,True
is used to determine the content of minerals in a soil sample,was used to demonstrate DNA as the genetic material,0.2857142857142857,civic_education,True
"Wrong, Not wrong","Wrong, Wrong",0.8,civic_education,True
overlapping or mixed,useful,0.0,civic_education,True
the Economic Opportunity Act of 1964,Medicare and Medicaid,0.0,civic_education,True
The university raises tuition.,The governor approves of it.,0.2222222222222222,civic_education,True
"The decision paved the way for the Civil Rights Movement, leading to further desegregation and equal rights for African Americans.","In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.1142857142857143,civic_education,True
The tolerance of the Roman government towards different religions.,the hatred of all things Roman by British scholars in the eighteenth century,0.2727272727272727,civic_education,True
Increasing the partial pressure gradient of the gas,Decreasing the solubility of the gas in water,0.5,civic_education,True
"Interacting with antigens (or more specifically, through the presentation of antigens by antigen-presenting cells to T helper cells, which then stimulate B cells).",Interacting with a plasma cell,0.1428571428571428,civic_education,True
"Samantha, a 17-year-old female, who is a perfectionist and has a family history of eating disorders, and is currently dieting to lose weight for an upcoming school dance","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.2307692307692307,civic_education,True
75,144,0.0,civic_education,True
"the Yangtze River Valley, specifically the area around the modern-day city of Xi'an.",external influences originating from the Indus Valley.,0.2,civic_education,True
"Links is a common term for a golf course, especially those located near the sea. ",Steps,0.0,civic_education,True
I shot an arrow through the bulleye.],"Wrong, Wrong",0.0,civic_education,False
The inferior alveolar nerve,The buccal nerve,0.5714285714285715,civic_education,True
cerebellum],visual system,0.0,civic_education,True
"Option I if it needs at least $25,000 to pay off an overdue loan",Option II if it wants to maximize expected return,0.3478260869565217,civic_education,True
"are those that would be accepted by rational individuals in a hypothetical ""original position"" where they would have to choose rules that would apply to everyone.",make take into account the interests of all sentient beings.,0.0,civic_education,False
"The resident would not succeed, because the state's use of the land for a recreational purpose, rather than a commercial purpose, would not trigger the re-entry clause in the deed.","The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.423076923076923,civic_education,True
$100 / (1 + 0.04)^5 ≈ $82.42,$85,0.0,civic_education,False
It was one of the first well-documented examples of a specific brain area being associated with a set of physical and emotional changes.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.2857142857142857,civic_education,True
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.1818181818181818,civic_education,True
],6:5,0.0,civic_education,True
Measles,Hepatitis,0.0,civic_education,True
Hypertensive encephalopathy,Amyotrophic lateral sclerosis,0.0,civic_education,False
"Wrong, Not wrong","Not wrong, Wrong",0.6666666666666666,civic_education,True
Intimacy/emergence,Introspection,0.0,civic_education,True
],Any risk of invasion of privacy,0.0,civic_education,False
"three-bagger or more commonly, three-bagger",mulligan,0.0,civic_education,False
"Wrong, Not wrong","Wrong, Not wrong",1.0,civic_education,True
Vitamin C,Vitamin A,0.5,civic_education,True
],gamma radiation.,0.0,civic_education,True
Availability of arable land,Availability of sufficient rainfall,0.5,civic_education,True
they will disagree morally only if they disagree about the facts of the case.,they will share all the same moral opinions.,0.2727272727272727,civic_education,True
Napoleon,Lafayette,0.0,civic_education,True
Cliff Clavin,Diane,0.0,civic_education,True
"The net force is in the negative direction, because the puck is slowing down, indicating a deceleration, which is typically caused by a net force in the opposite direction of motion.","The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.4444444444444444,civic_education,True
Contractionary fiscal policy is likely to increase domestic interest rates and cause the dollar to appreciate.,Interest rates decrease and the dollar appreciates.,0.4347826086956521,civic_education,False
RLC circuit.,RC circuit.,0.5,civic_education,True
"had accumulated wealth and social status through their business ventures and investments, and thus gained acceptance and integration into the upper class]",participated in the same leisure pursuits and events of the 'social calendar',0.1176470588235294,civic_education,True
25,17,0.0,civic_education,True
"Small, soft toothbrush is the first choice for cleaning the mouth, but if the patient has a severe dental condition or is unable to use a toothbrush, the first choice would be a gloved finger wrapped in gauze.",Foam stick.,0.0,civic_education,True
Charles Elton and David Lack,Matthias Schleiden and Theodor Schwann,0.2,civic_education,True
