,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ", thời kỳ triều đại Lê – Trịnh sụp đổ.,hoàn cảnh đất nước như thế nào?,0.0
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử", là A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng,thái độ của sĩ phu Bắc Hà:,0.0833333358168602
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh","” thuộc chủ đề phong trào Thơ mới, vì đoạn trích này là một phần của tác phẩm ""Một thời đại"" của nhà thơ Xuân Diệu, một trong những đại diện tiêu biểu của phong trào Thơ mới. Vì vậy, đáp án đúng là A: Các tác phẩm thuộc phong trào Thơ mới.",trong thi ca” bàn đến vấn đề gì?,0.027397260069847107
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp", Nguyễn Bính.,nào trong bài viết “Một thời đại trong thi ca”?,0.0
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử"," Hàn Mặc Tử

Giải thích: Hoài Thanh là một nhà thơ, nhà phê bình và nhà văn Việt Nam. Ông được biết đến với những tác phẩm phê bình thơ, tiểu luận và kịch. Ông cũng là một trong những nhà phê bình thơ hiện đại đầu tiên của Việt Nam.",nào trong bài viết “Một thời đại trong thi ca”,0.0555555559694767
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đoạn trích “Tôi có một ước [MASKED]
### Lựa chọn:
A: Nghị luận 
B: Tự sự
C: Biểu cảm 
D: Chính luận","” có thể thuộc thể loại Tự sự. Thể tự sự là thể thơ được dùng để kể một sự việc có thật hoặc không có thật, nhưng được kể theo một thứ tự thời gian, có sự liên kết giữa các ý, có thể kể theo ngôi thứ nhất hoặc thứ ba, thường được sử dụng để kể về những sự việc có tính chất sinh động, hấp dẫn.

Ví dụ: 

Tôi có một ước,
Mùa xuân về, hoa nở",mơ” được viết theo phương thức nào?,0.06521739065647125
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Nguyễn Nhược Pháp 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu"," Nguyễn Bính.

Giải thích: Hoài Thanh là một nhà thơ nổi tiếng của nền thơ hiện đại Việt Nam. Ông đã có nhiều tác phẩm về mùa xuân, mùa hè, mùa thu, mùa đông và mùa đông quê nhà. Trong đó, mùa quê nhà được ông quan niệm là mùa của quê mùa, mùa của sự yên bình và trong lành.

Nguyễn Bính là một nhà thơ nổi tiếng khác của nền thơ hiện đại Việt",nào trong bài viết “Một thời đại trong thi ca”,0.057692307978868484
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Thế Lữ 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: Nguyễn Bính", Nguyễn Bính.,nào trong bài viết “Một thời đại trong thi ca”?,0.0
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”. [MASKED]
### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: Hàn Mặc Tử"," Đây là câu nói của Hoài Thanh trong bài “Một thời đại thi ca”, và không có liên quan đến bất kỳ một trong các thi nhân trên.","là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?",0.14084507524967194
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: “Cầu hiền” ở đây [MASKED]
### Lựa chọn:
A: Người ăn ở hiền lành 
B: Người có tài
C: Người có đức 
D: Người có đức và tài"," là: C. Người có đức 

Câu ""Cầu hiền"" có nghĩa là cầu người có đức hạnh, hiền lành.",hướng tới đối tượng nào?,0.0
