predict,label,score,Subject,retained
Đi thoát lại giữa các bạn và tránh tình huống đánh.,Cùng với A đánh B cho vui.,0.1111111111111111,civic_education,True
"Đứng tránh lính, tránh tai nạn và tránh những người không có lợi nhuân.",Đèo em bé đó đến gặp công an.,0.0,civic_education,True
Động gi lif,Không tôn trọng lẽ phải.,0.0,civic_education,True
Đáp án trên,"Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,civic_education,True
Đội thúc.,Khiêm tốn.,0.0,civic_education,True
Đàn ếch nhà hàng xóm.,Sang đánh nhà hàng xóm.,0.6,civic_education,True
Đồng tích hợp với người khác và cùng hợp tại một cuộc họp.,Tự nhận lỗi về mình,0.0,civic_education,True
"Cười người hôm trước, hôm sau người cười",Lời nói không mất tiền mua,0.0,civic_education,True
Định nghĩa về tinh thần.,Lòng vị tha.,0.0,civic_education,True
Độ tinh thần.,Liêm khiết.,0.0,civic_education,True
Điều lệ.,Công bằng.,0.0,civic_education,True
"Đảm bảo an toàn, sự trọng tâm, và bảo hộ trong hệ thống thiếu niên.",Giúp cho mọi người tôn trọng nhau hơn.,0.0869565217391304,civic_education,False
ở trên trời có cá thể,Phép vua thua lệ làng,0.0,civic_education,True
"Đẩy tình yêu cầu cảm thấy tích của, sự đồng hành và động vi trong gia đình.",Giúp cho mọi người gần nhau hơn.,0.0,civic_education,False
Độ tuộc.,Tình đồng chí.,0.0,civic_education,True
"Đồng cảm, đồng bội sâu sắc với nhau.",Phù hợp với nhau về quan niệm sống.,0.25,civic_education,True
"Ý kiến: Tình bạn có thể trong sáng, lành mạnh giữa hai người khác giống nhau.",Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.1481481481481481,civic_education,False
"Đầu tiên, D có thể nhắc nhỏ bạn, khuyên bạn không vi phạm kỉ luật này, sau đó nhờ bạn D cho xem tài liệu cùng, đồng thời giúp bạn nhằm tránh vi phạm kỉ luật này trong giờ kiểm tra.",Nói với cô giáo để bạn bị phạt.,0.0408163265306122,civic_education,True
Đồng thái và kính thưởng viên trong nhân thể của gia đình bà E.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.2758620689655172,civic_education,True
,Nhà nước.,0.0,civic_education,True
"Đột tránh, bức huyết trầm cảnh, sự nghèo, tràn trùng, tránh tránh sự nghiệp.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.0,civic_education,True
"Động vi convictions, chiến tranh chiếm đất.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.0,civic_education,True
Đồn xã hội.,Vi phạm quy chế.,0.0,civic_education,True
Điều hạn.,Cảnh cáo.,0.0,civic_education,True
Đẩm thuế.,Phạt tù.,0.0,civic_education,True
30 phút.,1 tuần.,0.0,civic_education,True
β2-thalassemia,Cúm gà.,0.0,civic_education,True
Ảnh khô thẳm,Sút cân trên 10% trọng lượng cơ thể.,0.0,civic_education,True
Đánh răng với những khăn nhiễu với người nhiễm HIV,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.25,civic_education,True
Đối thoại và cảnh quanh cộng hưởng,Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.0,civic_education,True
Đơn nhân cơ bản của lực lượng vũ khí.,Cá nhân.,0.1818181818181818,civic_education,True
25 tháng 11,Ngày 14 tháng 10,0.2857142857142857,civic_education,False
Điều hướng tên pháp vào trục súng.,Dùng dao để đánh nhau.,0.0,civic_education,True
"Đối tượng nổ súng quân dụng có thể gây trầm nỗi vùng đột tránh, trật tự, sức khỏe, tài sản của người thi hành công vụ hoặc người khác.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.",0.1111111111111111,civic_education,True
Độc hại,Vũ khí,0.0,civic_education,True
10 năm,Từ 1 năm đến 5 năm.,0.25,civic_education,False
χiếm hữu của người không phải chủ sở hữu,Chiếm hữu của chủ sở hữu.,0.6666666666666667,civic_education,True
Đội ngũ quốc gia.,Quyền chiếm hữu.,0.0,civic_education,False
Độ phát triển sản xuất.,Bảo hộ và chịu trách nhiệm.,0.0,civic_education,True
Đối với các hành vi xâm phạm quyền sở hữu…,Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,0.2068965517241379,civic_education,True
Đột xuất tự nhiên cho sản phẩm.,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",0.1052631578947368,civic_education,True
Đầu tư vào sản xuất cải vật chất,Thúc đẩy tăng trưởng kinh tế.,0.0,civic_education,True
Động lực của cải vật chất,Thu nhập của người lao động.,0.1666666666666666,civic_education,False
Động hương của nhân viên.,Kết cấu hạ tầng của sản xuất.,0.1666666666666666,civic_education,True
Động thái củng cố của nhân dịp.,Đối tượng lao động.,0.1818181818181818,civic_education,True
Điều kiện một,Hai điều kiện,0.6666666666666666,civic_education,False
Điện thoại,Giá cả và giá trị sử dụng,0.0,civic_education,False
Động lực của người sản xuất hàng hóa kết tinh trong hàng hóa,Chi phí làm ra hàng hóa,0.2105263157894736,civic_education,True
Đối thoại sản xuất mang hàng hóa ra thị trường bán,Người sản xuất cung ứng hàng hóa phù hợp với nhu cầu nhu cầu của người tiêu dùng,0.2758620689655172,civic_education,True
Đồ chơi trò chơi,Nước máy,0.0,civic_education,True
"Tự giác, sáng tạo",Khoan dung,0.0,civic_education,True
Điều kiện công việc giữa nam và nữ,"Trong công việc, ưu ái người nhà hơn người ngoài.",0.2222222222222222,civic_education,True
"động kinh, thúc hậu thị","mánh khoé, vụ lợi.",0.0,civic_education,True
Đức tính chí công vô tư,Đức tính trung thực,0.4,civic_education,True
Đối thoại vô tư khi đánh giá nhân quyền.,Luôn nhận định theo số đông là chí công vô tư.,0.1999999999999999,civic_education,True
"ở trên đây, việc làm E thực chuyển đổi sang ""E là người khiêm nhường.""",E là người trung thực.,0.3,civic_education,False
"Động viên, cảm thông, tích đoàn khi ủ hoàn toàn.","Bình tĩnh, sáng suốt đưa ra những quyết định đúng đắn.",0.0,civic_education,True
Đàn đồng hồ truyền thông.,Yêu cầu bạn mua đền món đồ.,0.0,civic_education,True
Đức lí người trung thực.,N là người tôn trọng người khác.,0.1666666666666666,civic_education,True
Đối thoại không bị ảnh hương,Học thầy không tày học bạn.,0.1666666666666666,civic_education,True
Động quan về tình yêu,Cần cù,0.0,civic_education,True
Đọc và suy nghĩ mãi không làm được.,B là người không tự tin.,0.1428571428571428,civic_education,False
Đồng hội trong cuộc tọa cấp,Đi học đúng giờ,0.0,civic_education,True
Động thái,Khiêm nhường,0.0,civic_education,True
Đồng lòng vào việc tham gia trong kế hoạch,Tích cực tham gia các hoạt động của lớp.,0.2222222222222222,civic_education,True
"Đồng tình với lớp trưởng, nghe theo mọi quyết định của lớp trưởng.",Không tham gia các hoạt động của lớp.,0.1904761904761905,civic_education,True
Đầu tư vào nền kinh tế giữa các dân tộc,"Gây chiến tranh, khủng bố ở nhiều nơi trên thế giới",0.0,civic_education,True
ấn tượng các nước trung tâm,những nước đang có chiến tranh,0.1666666666666666,civic_education,True
Đàm phán chính trị,Bảo vệ đất nước,0.0,civic_education,True
Đánh dấu chiến tranh Ách Sĩ.,30/4/1954.,0.0,civic_education,True
"Đầy đủ năng suất, chất lượng và hiệu quả.",có chất lượng nhưng mất nhiều thời gian.,0.2352941176470588,civic_education,True
"Đảm bảo sự kiểm duyện hiện tượng nói chung về năng suất, chất lượng, hiệu quả.",Vừa xem ti vi vừa ăn cơm.,0.0,civic_education,True
Động lực.,Tiền đề.,0.0,civic_education,True
Đầu tư vào sứ mệnh vào nhà máy.,Thúc đẩy sự phát triển của đất nước trong thời kì hội nhập.,0.0,civic_education,True
"Đầy đủ năng suất, chất lượng sẽ đem lại hiệu quả trong lao động.",Trong sản xuất chỉ cần chú ý đến chất lượng sản phẩm.,0.1538461538461538,civic_education,True
đọc bài đọc sâu.,chép bài của bạn.,0.25,civic_education,True
ức chọi và sáng tạo trong công việc,hợp tác cùng phát triển.,0.0,civic_education,True
Ảnh thể thao của tình yêu chân chính,Hoàn cảnh gia đình tương xứng,0.0,civic_education,True
Độ tuổi pháp luật Việt Nam để kết hôn là Độ tuổi pháp luật Việt Nam để kết hôn là 18.,"Nam từ 20 tuổi trở lên, nữ từ 18 tuổi trở lên",0.1818181818181818,civic_education,True
Đối thoại hôn nhân có thể kéo dày vài năm.,"Hôn nhân nhằm mục đích chung sống lâu dài và xây dựng gia đình hoà thuận, hạnh phúc.",0.1428571428571428,civic_education,True
Đội ngũ giải pháp an toàn trong gia aineo.,Ảnh hưởng xấu đến sức khoẻ của cả mẹ và con.,0.0,civic_education,True
Đối thoại hôn nhân giữa người theo tôn giáo với người không theo tôn giáo.,"Hôn nhân tiến bộ, một vợ một chồng, vợ chồng bình đẳng.",0.1481481481481481,civic_education,True
Çözgün em áo rách em thương/ Chồng người áo gấm sông hương mặc người.,"Ép dầu ép mỡ, ai nỡ ép duyên.",0.0,civic_education,True
độc lập nghề,cải tạo,0.0,civic_education,True
"Được tham hỏi những lúc ốm đau, bệnh tật.",Công dân đủ 16 tuổi được nhận vào các công ty để làm việc.,0.0869565217391304,civic_education,True
Điều kiện làm việc theo nhu cầu của mình.,việc làm theo sở thích của mình.,0.5,civic_education,True
7 giờ/ngày và 35 giờ/tuần,6 giờ/ngày và 30 giờ/tuần.,0.6,civic_education,False
Điều kiện và hiệu quả của sự kiểm soát quốc gia và động quan trọng của vi phạm pháp luật dân sự.,"các quan hệ lao động, công vụ nhà nước.",0.064516129032258,civic_education,False
Điều hạn chế vi phạm có thể có vi phạm mới.,Lập lại trật tự xã hội.,0.0,civic_education,True
đối thoại quốc gia,vi phạm pháp luật.,0.0,civic_education,True
pháp luật hình sự,pháp luật dân sự,0.75,civic_education,True
Đồng tháp xét những cái nghèo và tiết kiệm trong chiều sống của bạn B.,Bạn B là người vô ý thức.,0.1818181818181818,civic_education,False
"Độ chênh mơ hơn, thích nghi nhất, thể hiện tránh trán từ bạn bè.","Ăn mặc gọn gàng, không lòe loẹt.",0.0,civic_education,True
Được mọi người từng người có sự ghi nhớ và tinh thần hợp lý.,Được mọi người giúp đỡ.,0.3157894736842105,civic_education,True
"Đầy đủ, giảm nhiều.",Thẳng thắn.,0.0,civic_education,True
"Đối thoại xã hội không chấp tha thế trên các khía cạnh nghèo và giàu, người dân tộc và người không phân biệt.",Không chơi với bạn khác giới.,0.0689655172413793,civic_education,True
Điều trùc không tránh thể hiện tình trạng nhân cùng trong lớp.,Đức tính khiêm tốn.,0.0,civic_education,True
"Điều kiện, hoàn cảnh.",Điều kiện.,0.6666666666666666,civic_education,True
"Đối thoại, đối thoại, đối thoại","Thực hiện đúng nội quy của nhà trường đề ra, trang phục khi đến trường sạch sẽ, tươm tất, lịch sử, bảo vệ của công, không xa hoa lãng phí.",0.0,civic_education,True
Động vi sinh,Khiêm tốn.,0.0,civic_education,True
Đối thoại giữ nước và chính xác truyền lời,Người gian thì sợ người ngay/ Người ngay chẳng sợ đường cày cong queo,0.0,civic_education,True
Đức tính trung thực,Đức tính thật thà.,0.5,civic_education,True
Để đạt điểm cao khi kiểm tra N nhìn trộm bài của bạn,Không bao che cho bạn khi mắc lỗi,0.0952380952380952,civic_education,True
Đối thoại.,Chăm chỉ.,0.0,civic_education,True
Đầy đủ tiếp tục tham gia và giúp bạn K nhận thấy sự quan tâm của cộng đồng.,Nói với bố mẹ bạn K để bố mẹ bạn K dạy giỗ.,0.1290322580645161,civic_education,True
Đã không nói chuyện trong giờ.,V là người vô cảm.,0.0,civic_education,True
Đứng tránh nhận thức,Khiêm tốn.,0.0,civic_education,True
บ. Luôn trách mắng người khác mà không nhận lỗi,Luôn làm sai,0.1538461538461538,civic_education,True
Động nhiên.,Giản dị.,0.0,civic_education,True
đứng trước cờ nhưng không có lòng tự trọng.,Q là người vô cảm.,0.0,civic_education,False
Độc định trách tội và sự hấp dẫn trước tình yêu thương.,Lòng trung thành.,0.0,civic_education,True
Đảm bảo thời gian nghĩ ngơi và học tập,Thời gian hợp lý,0.3076923076923076,civic_education,True
Đội ngũ nhân viên có năng lực tốt,Chủ động thời gian làm việc,0.0,civic_education,True
Điều hòi nhẹ,Sống và làm việc có kế hoạch.,0.0,civic_education,True
Định nghĩa,Sắp xếp công việc,0.0,civic_education,True
Đức văn,Nhà nước,0.0,civic_education,True
Đối thoại quốc tịch,"Quyền được bảo vệ tính mạng, thân thể",0.0,civic_education,True
"Đầu tiên, B, Luật bảo vệ, chăm sóc và giáo dục trẻ em.",Hiến pháp.,0.0,civic_education,True
Đội ngũ cán bộ trẻ em.,Luật hôn nhân và gia đình.,0.0,civic_education,True
Đầu tháng 3 - 1989.,Tháng 1 - 1994.,0.2857142857142857,civic_education,True
24 heures (24 giờ).,5/9.,0.0,civic_education,False
Điền vài thức trong dấu [],Tài nguyên rừng của nước ta đang được phục hồi cả về số lượng lẫn chất lượng.,0.0,civic_education,True
Đất,Cá voi.,0.0,civic_education,True
"Tăng cường bón phân, cải tạo thích hợp theo tḡì loại đất.","Nâng cao hiệu quả sử dụng, có chế độ canh tác hợp lí.",0.08,civic_education,True
đồ sơn tinh thần,di sản văn hóa vật thể,0.0,civic_education,True
Định văn hóa phi vật thể.,Di sản văn hóa vật thể.,0.6666666666666666,civic_education,False
Đối thoại văn hóa vật thể và phi vật thể.,Di sản văn hóa vô hình và hữu hình.,0.3157894736842105,civic_education,False
Đi thi trước khi ân xa,Yểm bùa,0.0,civic_education,True
Đạo Hòa Hảo,Đạo Tin lành.,0.3333333333333333,civic_education,False
Định vị trúc.,Tôn giáo.,0.0,civic_education,True
Đàn ăn bàn chả hoàn toàn,hằng ngày không vệ sinh cá nhân,0.0,civic_education,True
Đi thuốc sẽ khỏi bệnh,Hằng ngày luyện tập thể dục thể thao,0.0,civic_education,True
"Động quan sức khỏe, tốt hơn sức hạnh prânh, tác động trực tiếp đến chi cảnh sống, tinh thần, hoạt tốc sức khỏe.","Sức khỏe giúp chúng ta lạc quan, vui tươi hạnh phúc.",0.1764705882352941,civic_education,False
Quyết tâm làm đến cùng.,Miệt mài làm việc.,0.2222222222222222,civic_education,True
Đức tính trung thực.,Đức tính tiết kiệm.,0.5,civic_education,True
"Để tiết kiệm, tiết kiệm, tiết kiệm.",Đi một ngày đàng học một sàng khôn.,0.0,civic_education,True
Biết cách cư xử đúng mực.,Chỉ chào hỏi người lớn tuổi.,0.0,civic_education,True
Đánh giá sự độc đáo của một ngôi thiên vui.,Góp gió thành bão.,0.0,civic_education,True
Đi thật sáng suốt để tránh chiếm đất.,Vứt rác đúng nơi quy định.,0.0,civic_education,True
Đi học trước khi giấc ngủ.,Mặc đồng phục trường.,0.0,civic_education,True
Đồng lòng khát khao giữ nhau.,sự bày tỏ lòng biết ơn.,0.1666666666666666,civic_education,True
Đức vượt trên trời.,Ăn quả nhớ kẻ trồng cây.,0.0,civic_education,True
Độ tuyển vốn.,Sự đoàn kết.,0.0,civic_education,True
Đánh rừng.,Trồng cây gây rừng.,0.3333333333333333,civic_education,True
Đầu tư vào sự phát triển số đô thiên nhiên rộng rãi,Làm ô nhiễm môi trường thiên nhiên,0.2105263157894737,civic_education,True
"Đất, khí, biển.","Rừng, bầu trời, đất.",0.2857142857142857,civic_education,False
Ø Không tham gia các hoạt động do nhà trường phát động.,Không chơi với người nghèo.,0.1176470588235294,civic_education,True
Đầy đủ và cảm ứng trên cả người.,Để lợi dụng được lòng tốt của mọi người,0.1176470588235294,civic_education,True
1990,1998,0.0,civic_education,True
1992,1992,1.0,civic_education,False
"Nhóm quyền: vui chơi, giải trí, phát triển.","Nhóm quyền : sống còn, học tập, phát triển và vui chơi.",0.4210526315789474,civic_education,False
1986,1986,1.0,civic_education,False
Đủ điều kiện và thối thì phải thôi quốc tịch nước ngoài.,Có công lao đặc biệt cho sự nghiệp xây dựng và bảo vệ Tổ quốc.,0.1481481481481481,civic_education,True
