,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: While working on a scene for an action movie, a sound technician is given the task of changing the frequency of a gunshot to more accurately reflect the normal speed of sound. The gunshot came from an actor inside a car traveling 108 [MASKED]
### Choices:
A: 941 Hz 
B: 787 Hz
C: 924 Hz 
D: 912 Hz", km/h.,"km/h, and it was recorded by a camera on a platform 200 meters away traveling at 72 km/h in the same direction. If the frequency of the gunshot is normally 800Hz, what is the perceived frequency which the camera picks up the gunshot at?",0.07692307978868484
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following is the [MASKED]
### Choices:
A: H2SeO3 < H2SO3 < HClO < HBrO 
B: HClO < H2SeO3 < HBrO < H2SO3
C: HBrO < HClO < H2SeO3 < H2SO3 
D: H2SO3 < H2SeO3 < HClO < HBrO"," order of acid strength of oxyacids (H2SeO3 < H2SO3 < HClO < HBrO)?

To answer this question, we need to consider the factors that affect the acid strength of oxyacids. 

The acid strength of an oxyacid is determined by the electronegativity of the central atom (in this case, the halogen or chalcogen) and the stability of the conjugate base formed when the acid donates a proton.",correct order of increasing acid strength?,0.06666667014360428
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: As of 2019, about what percentage of Italians say it is [MASKED]
### Choices:
A: 41% 
B: 56%
C: 71% 
D: 86%", 71%.,very important to have free media in our country without government/state censorship?,0.0
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Statement 1 | Suppose f : [a, b] is a function and suppose f has a local maximum. [MASKED]
### Choices:
A: True, True 
B: True, False
C: False, True 
D: False, False","

Since a function has a local maximum at a point if there exists an interval around that point where the function's value is greater than the values at the endpoints of the interval, we know the following:

- The function is not constant on the interval [a, b]. This is because a constant function cannot have a local maximum.

So, the correct answer is: 
D: False, False",f'(x) must exist and equal 0? Statement 2 | There exist non-constant continuous maps from R to Q.,0.04545454680919647
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Thin laminations are used in [MASKED]
### Choices:
A: Eddy current losses 
B: Hysteresis losses
C: Both A and B 
D: Copper losses"," B: Hysteresis losses.

In electrical engineering, thin laminations are used in electrical transformers and other inductive devices to reduce hysteresis losses. Hysteresis losses occur due to the magnetic domains in the core material being magnetized and demagnetized as the magnetic field changes. Thin laminations help to reduce these losses by limiting the magnetic domain size, making it harder for the magnetic domains to change direction, and thus reducing the energy lost due to hysteresis",a machine in order to reduce,0.06122449040412903
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: At West Elementary School, there are 20 more girls than boys. If [MASKED]
### Choices:
A: add 20 to 180 
B: subtract 20 from 180
C: multiply 180 by 20 
D: divide 180 by 20"," subtract 20 from 180.

So the correct answer is B: subtract 20 from 180","there are 180 girls, how can you find the number of boys?",0.19354838132858276
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The feedback factor of a [MASKED]
### Choices:
A: 1/3 
B: 1/4
C: 1/2 
D: 1", **operational amplifier** is typically 1/3.,Wien bridge oscillator using Op-Amp is,0.11764705926179886
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Augustine claims that to [MASKED]
### Choices:
A: the causes of natural occurrences. 
B: the causes of good and evil.
C: both a and b. 
D: neither a nor b."," both a and b.

This is referring to the philosophical ideas of Saint Augustine, who discussed the concept of causality in his works. In his writings, he argued that God is the ultimate cause of all things, including the causes of both natural occurrences and the distinction between good and evil.","be happy, one must know:",0.0
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: According to Moore, we are thinking [MASKED]
### Choices:
A: pleasure. 
B: things that we desire.
C: intrinsic value. 
D: none of the above."," ""intrinsic value."" 

G.E. Moore, a British philosopher, argued that we cannot define goodness or intrinsic value by reference to other properties or characteristics.",about good whenever we think about:,0.0625
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 [MASKED]
### Choices:
A: Wrong, Wrong 
B: Wrong, Not wrong
C: Not wrong, Wrong 
D: Not wrong, Not wrong",": I borrowed a book from a library without returning it.

### Choices:
A: Wrong, Wrong 
B: Wrong, Not wrong
C: Not wrong, Wrong 
D: Not wrong, Not wrong","| I cover my eyes when I see starving animals because it pains me so. Scenario 2 | As I packed to leave the hotel, my suitcase was overflowing with hotel towels.",0.06896551698446274
10,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following changes to a circuit [MASKED]
### Choices:
A: Increased voltage and increased resistance 
B: Decreased voltage and decreased resistance
C: Increased voltage and decreased resistance 
D: Decreased voltage and increased resistance"," <MASKED>

### Answer: Increased voltage and decreased resistance

### Correct Answer: C: Increased voltage and decreased resistance",will always bring about an increase in the current?,0.0
11,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Select the best translation into predicate logic. Some animals are neglected by cruel people. (Ax: x [MASKED]
### Choices:
A: (∃x)[(Ax • Cx) • (∃y)(Py • Nyx)] 
B: (∃x)[(Cx • Px) • (∃y)(Ay • Nxy)]
C: (∃x)[(Ax • Px) • (∃y)(Cy • Nxy)] 
D: (∃x)(∃y){[(Ax • Cy) • Py] • Nxy)]}"," is an animal, Cx: x is cruel, Py: y is a person, Nxy: x is neglected by y)

The correct answer is D: (∃x)(∃y){[(Ax • Cy) • Py] • Nxy)}.

Explanation:
- (∃x)(∃y) means ""there exist"" - it indicates that at least one x and one y exist.
- [(Ax • Cy) • Py] means ""x is an animal and",is an animal; Cx: x is cruel; Px: x is a person; Nxy: x neglects y),0.3733333349227905
12,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In the author's two-hour movie representing the history of the [MASKED]
### Choices:
A: at the beginning of the film 
B: about half way through the film
C: 90 minutes into the film 
D: during the final 3 seconds of the film", **C: 90 minutes into the film**.,"universe, when do the earliest members of the human family appear?",0.10526315867900848
13,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: This question refers to the following information. ""Lincoln was strongly anti-slavery, but he was not an abolitionist or a Radical Republican and never claimed to be one. He made a sharp distinction between his frequently reiterated personal wish that 'all men everywhere could be free' and his official duties as a legislator, congressman, and president in a legal and constitutional system that recognized the South's right to property in slaves. [MASKED]
### Choices:
A: The war came to a swift conclusion because the Proclamation made the Confederacy realize the futility of their cause. 
B: The war grew in scope because the Proclamation caused Great Britain to join the fight on the side of the Union.
C: President Jefferson Davis of the Confederacy vowed massive resistance to any Union effort to free the slaves. 
D: The war aims of the United States were no longer exclusively focused on the preservation of the Union.","

The correct answer is D: The war aims of the United States were no longer exclusively focused on the preservation of the Union.

Explanation: The Emancipation Proclamation, which is the context of this question, changed the war aims of the United States by declaring freedom for all slaves in Confederate territory. This shift in policy marked a significant departure from the initial goal of preserving the Union, as it now also aimed to end slavery.","Even after issuing the Emancipation Proclamation he continued to declare his preference for gradual abolition. While his racial views changed during the Civil War, he never became a principled egalitarian in the manner of abolitionists such as Frederick Douglass or Wendell Phillips or Radical Republicans like Charles Sumner."" —Eric Foner, The Fiery Trial, 2010 How did President Lincoln's issuance of the Emancipation Proclamation alter the course of the Civil War?",0.1547619104385376
14,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation [MASKED]
### Choices:
A: The Heisenberg uncertainty principle 
B: The Pauli exclusion principle
C: The Bohr model of the atom 
D: Nuclear hyperfine coupling"," of this phenomenon is related to the spin statistics of the electrons, which is connected to the Pauli exclusion principle. 

The correct answer is: B: The Pauli exclusion principle",that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following?,0.14814814925193787
15,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Suppose that 54% of the graduates from your high school go on to 4-year colleges, 20% go on to 2-year colleges, 19% find employment, and the remaining 7% search [MASKED]
### Choices:
A: 0.460 
B: 0.540
C: 0.630 
D: 0.675"," for further education.

The total percentage of graduates who go on to 4-year colleges, 2-year colleges, and find employment is 54 + 20 + 19 = 93%.

To find the percentage that search for further education, we need to subtract the total percentage from 100%:

100% - 93% = 7%

Since the question asks for the percentage in decimal form, we can convert 7% to a decimal by dividing by 100:

7/","for a job. If a randomly selected student is not going on to a 2-year college, what is the probability she will be going on to a 4-year college?",0.19130434095859528
16,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A state has enacted a criminal statute prohibiting the mailing of obscene materials to any person. The owner of a publication company was prosecuted and convicted of violating the state obscenity law by mailing adults sexual literature that appealed to their prurient interests. During the owner's trial, the judge instructed the jury that determining if the mailed materials were obscene depended in part on whether they were offensive to the average or normal person under contemporary community standards, and that the community standards [MASKED]
### Choices:
A: The method by which materials are marketed or advertised is not probative of whether they are obscene. 
B: It is an unconstitutional invasion of privacy for the government to interfere with the content of closed mailings intended for the private use by consenting adults.
C: Under the First Amendment, the community's standards for children may not be applied in determining what constitutes obscenity for adults. 
D: Obscenity is to be determined by applying national standards, not contemporary community standards."," [**should be defined geographically**].

The correct answer is: **should be defined geographically**

Explanation: In Miller v. California (1973), the Supreme Court established the Miller test to determine obscenity, which includes whether the average person, applying contemporary community standards, would find that the work, taken as a whole, has serious literary, artistic, political, or scientific value, or that it lacks such value, or that the work depicts or describes, in a patently offensive","test must be considered in light of the fact that many children reside in the community. Furthermore, the judge instructed the jury that in determining whether the materials were obscene, it could also consider evidence of pandering, or whether the materials were marketed purposely to appeal to the recipients' prurient interest in sex. The owner appealed her conviction, alleging a denial of her First Amendment rights. Which of the following is the strongest argument why the appellate court should reverse the owner's conviction?",0.15568862855434418
17,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Mimicry is a strategy that has evolved through natural selection to increase the fitness [MASKED]
### Choices:
A: A type of millipede that is toxic to a toad is permanently avoided by the toad following the toad's initial attempt to consume it. 
B: A moth exhibits false eyes at its tail end in order to disorient predators.
C: A moth exhibits nearly identical coloration to that of a stinging bee. 
D: A ground-nesting gull chick displays a coloration pattern that is nearly indistinguishable from its surroundings."," of the mimic.

The correct answer is D: A ground-nesting gull chick displays a coloration pattern that is nearly indistinguishable from its surroundings.

Explanation: Mimicry is a type of adaptive strategy where an organism resembles another organism or object in order to gain some benefit, such as avoiding predators, attracting prey, or gaining protection. In this case, the gull chick's camouflage helps it to avoid being detected by predators, increasing its fitness.",of organisms to their environment. Which of the following represents a form of Batesian mimicry?,0.10204081982374191
18,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Nonparametric statistics should be used [MASKED]
### Choices:
A: most powerful statistical test for a fixed value of alpha is sought 
B: form of the distribution of scores in the investigated population is not known
C: data in the investigated population represent a continuous variable 
D: data in the investigated population are known to fulfill the requirements of an interval scale"," when **B: form of the distribution of scores in the investigated population is not known**.

Nonparametric tests are used when the distribution of the population is not known or when the data do not meet the assumptions of parametric tests, such as normality or equal variances. They are often used in situations where the data are ordinal or categorical, or when the sample size is small.",instead of parametric statistics when the,0.12820513546466827
19,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: During which war did US troops [MASKED]
### Choices:
A: American Revolution 
B: Civil War
C: Mexican War 
D: War of 1812"," <MASKED>?

### Answer: B: Civil War

This is because the correct completion of the sentence is ""fight"" as in ""fighting,"" but more specifically, the sentence is likely asking about a war where US troops fought against other US troops, which is the American Civil War.",fight the Battle of New Orleans?,0.0784313753247261
20,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Where, in the first quadrant, does the rose [MASKED]
### Choices:
A: nowhere 
B: θ = 0.39
C: θ=  0.47 
D: θ = 0.52"," 

### Answer: θ = 0.39

The rose curve is given by the polar equation r = cos(3θ), and it is known that in the first quadrant, the curve intersects the positive x-axis at θ = 0 and θ = 0.39.",r = sin 3θ have a vertical tangent?,0.07999999821186066
21,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: According to Bronfenbrenner’s (1979) ecological model, the ______ consists of interactions [MASKED]
### Choices:
A: mesosystem 
B: exosystem
C: macrosystem 
D: endosystem"," between multiple microsystems.

The correct answer is A: mesosystem","between elements of the microsystem (e.g., between the family and the school).",0.23076923191547394
22,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following is [MASKED]
### Choices:
A: indoctrination and propaganda 
B: freedom of movement for citizens
C: one-party rule 
D: a centrally planned economy"," characteristic of a communist state? 

### Question: Which of the following is [MASKED]
### Choices:
A: indoctrination and propaganda 
B: freedom of movement for citizens
C: one-party rule 
D: a centrally planned economy

Answer: C",not a characteristic of totalitarian societies?,0.09302325546741486
23,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A tube of water is traveling at 1/2 c relative to the lab frame when a beam of light traveling in the same direction as [MASKED]
### Choices:
A: 1/2 c 
B: 2/3 c
C: 5/6 c 
D: 10/11 c"," 1/2 c.

The correct answer is A: 1/2 c. 

This is a classic problem involving special relativity, and the answer is based on the concept of relative motion. The speed of light is always constant, regardless of the motion of the observer or the source of light. Since the tube of water is moving at 1/2 c, the speed of the light beam relative to the lab frame is also 1/2 c, not faster or slower",the tube enters it. What is the speed of light in the water relative to the lab frame? (The index of refraction of water is 4/3.),0.2542372941970825
24,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Find all zeros in the indicated finite field of the given [MASKED]
### Choices:
A: 0 
B: 1
C: 0,1 
D: 2"," polynomial.

### Question: Find all zeros in the indicated finite field of the given x^2 + 1

### Choices:
A: 0 
B: 1
C: 0,1 
D: 2

The correct answer is C: 0,1.",polynomial with coefficients in that field. x^2 + 1 in Z_2,0.37288135290145874
25,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Berscheid’s (1983) emotion-in-relationship model proposes that strong positive emotions are LESS likely to be [MASKED]
### Choices:
A: in the later stages, each person is more self-centered and less other-centered. 
B: in the later stages, each partner's behavior has become more predictable.
C: in the later stages, each partner works harder to be sensitive to the other’s needs. 
D: ""over time, people become """"emotionally immune"""" to the behaviors of others."""," in the later stages, each partner works harder to be sensitive to the other’s needs.

The correct answer is C.",elicited during the later stages of an intimate relationship than in its initial stages because:,0.1621621549129486
