Question,predict,label,rouge_score,score
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Mạch truyện diễn biến theo [MASKED]
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai", [C: Hiện tại - quá khứ - hiện tại],trình tự thời gian nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tôi đi học của Thanh Tịnh [MASKED]
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút", theo bài viết tùy bút.,được viết theo thể loại nào?,0.1333333402872085,0.1818181818181818
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên [MASKED]
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ"," [MASKED]

### Câu trả lời: C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 

Lựa chọn C nói lên cảm xúc và trải nghiệm cá nhân của người đọc, chứ không phải là một điểm nhấn chính của tác phẩm. Trong khi đó, các lựa chọn A, B, D đều phản ánh được tình huống, cảm xúc hoặc trải nghiệm của nhân vật trong tác phẩm.","tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?",0.1212121248245239,0.10869565217391305
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học [MASKED]
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: Hành động", là D: Hành động.,được miêu tả chủ yếu ở phương diện nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Biện pháp tu từ nào được tác [MASKED]
### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ."," giả sử dụng trong câu ""Con đường như một dải v Lawn"" là B: B. So sánh.",giả sử dụng trong đoạn văn trên?,0.3571428656578064,0.3333333333333333
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chủ đề của văn bản “Tôi [MASKED]
### Lựa chọn:
A: Nhan đề của văn bản 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên", [D: Cả ba yếu tố trên]”,đi học” nằm ở phần nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Sức cuốn hút của tác [MASKED]
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," <MASKED> là D: Cả A, B, C.","phẩm ""Tôi đi học"" là:",0.1538461595773697,0.16666666666666666
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn [MASKED]
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’", là D: Nhân vật ‘tôi’.,bản 'Tôi đi học’ là ai?,0.1666666716337204,0.1818181818181818
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh [MASKED]
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: Biểu cảm 
D: Kết hợp cả A, B, C"," **D: Kết hợp cả A, B, C**","Tịnh sử dụng trong văn bản ""Tôi đi học”?",0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc sắc nghệ thuật của [MASKED]
### Lựa chọn:
A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. 
B: Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.
C: Cả A và B đúng 
D: Cả A và B sai"," câu chuyện có thể được biểu hiện ở cả hai lựa chọn A và B. 

Lựa chọn A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. Đây là một kỹ thuật phổ biến trong văn học giúp tạo nên sự liên kết và tinh thần nội tâm của nhân vật.

Lựa chọn B: Sự kết hợp hài hoà giữa kể, miêu tả với b","truyện ngắn ""Tôi đi học""?",0.0430107526481151,0.07142857142857144
