predict,label,score,retained
Can ngăn A và giúp B.,Cùng với A đánh B cho vui.,0.3076923076923076,True
Gọi điện cho gia đình của em đó và nhờ sự giúp đỡ của người lớn.,Đèo em bé đó đến gặp công an.,0.1666666666666666,True
Không trung thực.,Không tôn trọng lẽ phải.,0.25,True
"Làm giàu bằng chính sức lực, tài năng của mình","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,True
Chính trực. ,Khiêm tốn.,0.0,True
Sang khuyên nhà hàng xóm tắt máy vì đêm đã khuya nên để mọi người ngủ.,Sang đánh nhà hàng xóm.,0.3809523809523809,True
"Nói chuyện to, cười đùa trong lớp học ",Tự nhận lỗi về mình,0.0,True
Biết ăn biết ở hơn người giàu sang,Lời nói không mất tiền mua,0.0,True
Giữ lời hứa. ,Lòng vị tha.,0.0,True
Giữ chữ tín. ,Liêm khiết.,0.0,True
Văn hóa.,Công bằng.,0.0,True
Giúp cho mọi người hoàn thiện mình hơn.,Giúp cho mọi người tôn trọng nhau hơn.,0.625,False
"Đất có lề, quê có thói",Phép vua thua lệ làng,0.0,True
Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người gần nhau hơn.,0.7999999999999999,False
Tình anh em.,Tình đồng chí.,0.3333333333333333,True
"Không có sự ghen tị, đố kỵ.",Phù hợp với nhau về quan niệm sống.,0.0,True
Biết phê bình nhau trong mọi trường hợp.,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.631578947368421,False
Báo cáo với giáo viên để xử lý đúng quy định. ,Nói với cô giáo để bạn bị phạt.,0.3157894736842105,True
Gia đình bà E sống ích kỉ.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.3636363636363636,True
Đảng Cộng sản Việt Nam.,Nhà nước.,0.0,True
"Gây mất trật tự, an toàn xã hội.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.4,True
"Nghiện ma túy, nghiện game không lành mạnh.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.0,True
Tệ nạn xã hội. ,Vi phạm quy chế.,0.0,True
Tử hình. ,Cảnh cáo.,0.0,True
Phạt hành chính.,Phạt tù.,0.4,True
2-3 giờ đầu.,1 tuần.,0.0,True
Viêm gan B. ,Cúm gà.,0.0,True
Sốt kéo dài trên 1 tháng.,Sút cân trên 10% trọng lượng cơ thể.,0.1428571428571428,True
Quan hệ tình dục không an toàn,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.0,True
"Tham gia các hoạt động phòng, chống tại địa phương.",Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.16,True
"Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.",Cá nhân.,0.0,True
Ngày 10 tháng 10,Ngày 14 tháng 10,0.75,False
Không có hành động nào trong các hành động trên.,Dùng dao để đánh nhau.,0.0,True
"Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác chống người thi hành công vụ có độ nguy hiểm cao.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.",0.1481481481481481,True
Thuốc trừ sâu,Vũ khí,0.0,True
Từ 10 năm đến 15 năm. ,Từ 1 năm đến 5 năm.,0.6666666666666666,False
