,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: [MASKED] 
D: Triều Mạc, Lê, Trịnh, Tây Sơn"," Triều Lê, Mạc.","Triều Lê, Trịnh, Tây Sơn",0.5333333611488342
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: [MASKED] 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn", Kêu gọi kẻ sĩ Nam Kỳ ra giúp nước.,Kêu gọi những người giỏi võ ra giúp nước,0.6000000238418579
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: [MASKED] 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ", Chiếu cầu hiền ra đời khi triều đại Tây Sơn sụp đổ,Khi triều đại Lê – Trịnh sụp đổ,0.4516128897666931
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: [MASKED]
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử"," ""Một số người có tài năng nhưng không dám ra giúp nước"".",Người ra làm quan thì giữ mình không dám nói thẳng,0.2142857164144516
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: [MASKED]
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan", Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước.,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước,0.7733333110809326
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: [MASKED]"," ""Thi ca trong thời đại đó"".",Quan điểm nghệ thuật vị nhân sinh,0.0
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: ""Chiếu cầu hiền"" là của tác giả nào?
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: [MASKED] 
D: Quang Trung", Ngô Thì Sơn,Ngô gia văn phái,0.3636363744735718
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?
### Lựa chọn:
A: [MASKED] 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982.","Ở đây bạn cần thay thế [MASKED] bằng thông tin chính xác về năm sinh và năm mất của Hoài Thanh. 

Sau khi tìm hiểu, ta có được thông tin: Hoài Thanh sinh vào năm 1920 và mất vào năm 2002.

Vậy câu trả lời chính xác sẽ là: B: Sinh năm 1920, mất năm 2002.","Sinh năm 1915, mất năm 1951.",0.21739129722118378
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: [MASKED] 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp"," ""Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ <MASKED> trong bài viết “Một thời đại trong thi ca”?"" 

Để hoàn thành câu hỏi trắc nghiệm, tôi cần biết thông tin cụ thể từ nguồn mà bạn đề cập, nhưng với kiến thức hiện tại, tôi không thể cung cấp câu trả lời chính xác. Bạn nên xem lại tài liệu hoặc nguồn gốc của câu hỏi này để tìm ra đáp án chính xác",Lưu Trọng Lư,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: [MASKED]
C: Chế Lan Viên 
D: Hàn Mặc Tử", Nguyễn Du,Huy Cận,0.2857142984867096
10,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?
### Lựa chọn:
A: Nghị luận 
B: Tự sự
C: Biểu cảm 
D: [MASKED]",Ảnh hưởng văn học,Chính luận,0.0
11,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Bài diễn thuyết này được Martin Luther King đọc ở đâu vào thời gian nào?
### Lựa chọn:
A: Tại đài tưởng niệm Lin-cơn ngày 28/8/1963 
B: Tại đài tưởng niệm Lin-cơn ngày 29/8/1963
C: Tại đài tưởng niệm Lin-cơn ngày 29/8/1964 
D: [MASKED]",Ở đâu và khi nào Martin Luther King đã đọc bài diễn thuyết?,Tại đài tưởng niệm Lin-cơn ngày 28/8/1964,0.0
12,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Nguyễn Nhược Pháp 
B: Nguyễn Bính
C: [MASKED] 
D: Tố Hữu",Nguyễn Du,Lưu Trọng Lư,0.0
13,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Thế Lữ 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: [MASKED]", Phan Thị Kính,Nguyễn Bính,0.0
