,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong [MASKED]
### Lựa chọn:
A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết. 
B: Mặc kệ vì không liên quan đến mình.
C: Cùng với A đánh B cho vui. 
D: Chạy đi chỗ khác chơi.", [A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết].,lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?,0.0
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây [MASKED]
### Lựa chọn:
A: Lờ đi chỗ khác và coi như không biết. 
B: Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C: Đèo em bé đó đến gặp công an. 
D: Đạp thật nhanh về nhà."," nguy hiểm cho mọi người.

### Câu hỏi: Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây [MASKED]

### Lựa chọn:
A: Lờ đi chỗ khác và coi như không biết. 
B: Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C: Đèo em bé đó đến gặp công an.
",tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?,0.07547169923782349
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu thành ngữ: Gió chiều nào theo [MASKED]
### Lựa chọn:
A: Không tôn trọng lẽ phải. 
B: Không trung thực.
C: Không chín chắn. 
D: Không có ý thức.", C: Không chín chắn.,chiều ấy nói về người như thế nào?,0.0
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Em rèn tính liêm [MASKED]
### Lựa chọn:
A: Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi 
B: Làm giàu bằng chính sức lực, tài năng của mình
C: Nhặt được của rơi trả lại cho người bị mất 
D: Tất cả đáp án trên", D: Tất cả đáp án trên,khiết trong học tập là:,0.0
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Không hám danh, hám lợi, không [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Khiêm tốn."," <MASKED>. 
Đáp án đúng là D: Khiêm tốn.","nhỏ nhen, ích kỉ được gọi là?",0.10000000149011612
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc [MASKED]
### Lựa chọn:
A: Mặc kệ. 
B: Sang đánh nhà hàng xóm.
C: Sang chửi nhà hàng xóm. 
D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.",", lựa chọn phù hợp nhất là D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.",hát karaoke. Trong tình huống này em sẽ làm gì?,0.0
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những hành vi nào sau đây [MASKED]
### Lựa chọn:
A: Đi nhẹ, nói khẽ trong bệnh viện 
B: Châm chọc, chế giễu người khuyết tật.
C: Biết lắng nghe ý kiến của mọi người. 
D: Tự nhận lỗi về mình"," là đúng và phù hợp?
A: Đi nhẹ, nói khẽ trong bệnh viện 
C: Biết lắng nghe ý kiến của mọi người. 
D: Tự nhận lỗi về mình",thể hiện không tôn trọng người khác:,0.05263157933950424
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Một vài câu ca dao, tục ngữ [MASKED]
### Lựa chọn:
A: Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

 
B: Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C: Cười người hôm trước, hôm sau người cười 
D: Tất cả các ý trên", Khó mà biết lẽ biết lời và Lời nói không mất tiền mua.,nói về sự tôn trọng người khác:,0.0
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu tục ngữ: Nói lời phải giữ lấy lời, đừng [MASKED]
### Lựa chọn:
A: Lòng chung thủy. 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha."," <MASKED>
### Lựa chọn:
A: Lòng chung thủy. 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha.

Đáp án: C: Giữ chữ tín.",như con bướm đậu rồi lại bay nói đến điều gì,0.04878048598766327
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Coi trọng lòng tin của mọi người đối với mình, [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Giữ chữ tín.", D: Giữ chữ tín.,biết trọng lời hứa và tin tưởng nhau được gọi là?,0.0
10,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những quy định, quy ước ở một tập thể, một [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Pháp luật. 
D: Kỉ luật.", **D: Kỉ luật**,cộng đồng người ở phạm vi hẹp hơn được gọi là?,0.0
11,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những quy định của pháp luật và kỉ luật [MASKED]
### Lựa chọn:
A: Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người hoàn thiện mình hơn."," giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động. 

Vậy nên, đáp án chính xác là A: Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động.",có ý nghĩa như thế nào với mọi người?,0.06557376682758331
12,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu ca dao thể hiện tôn [MASKED]
### Lựa chọn:
A: Đất có lề, quê có thói 
B: Phép vua thua lệ làng
C: Thương em anh để trong lòng Việc quan anh cứ phép công anh làm 
D: A, B, C"," ""D: A, B, C"". 

Lý do: Tất cả các câu ca dao trong lựa chọn đều thể hiện tôn trọng. Câu A đề cập đến việc đất có lề và quê có thói, tức là mọi nơi đều có quy tắc và lối sống của mình; Câu B nói về sự tôn trọng lệ làng hơn là pháp luật; Câu C nói về việc anh ta sẽ làm theo công việc của người anh khi cần thiết, thể",trọng pháp luật và kỉ luật,0.043478261679410934
13,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tình bạn trong sáng, lành mạnh [MASKED]
### Lựa chọn:
A: Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người vui vẻ hơn"," A: Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn.",có ý nghĩa như thế nào?,0.0
14,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở [MASKED]
### Lựa chọn:
A: Tình yêu. 
B: Tình bạn.
C: Tình đồng chí. 
D: Tình anh em.", B: Tình bạn.,"hợp nhau về tính tình, sở thích, lí tưởng được gọi là?",0.1111111119389534
15,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc điểm của tình bạn [MASKED]
### Lựa chọn:
A: Bình đẳng và tôn trọng lẫn nhau. 
B: Phù hợp với nhau về quan niệm sống.
C: Thông cảm, đồng cảm sâu sắc với nhau. 
D: Cả A, B, C."," là D: Cả A, B, C.","trong sáng, lành mạnh là?",0.0
16,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Em không tán thành ý kiến [MASKED]
### Lựa chọn:
A: Tình bạn trong sáng, lành mạnh không thể có từ một phía 
B: Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.
C: Biết phê bình nhau trong mọi trường hợp. 
D: Có thể có tình bạn trong sáng, lành mạnh giữa hai người khác giới.", C: Biết phê bình nhau trong mọi trường hợp.,nào sau đây về tình bạn?,0.0
17,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài [MASKED]
### Lựa chọn:
A: Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật. 
B: Nhờ bạn D cho xem tài liệu cùng.
C: Mặc kệ vì không liên quan đến mình. 
D: Nói với cô giáo để bạn bị phạt.", [B: Nhờ bạn D cho xem tài liệu cùng].,cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?,0.06451612710952759
18,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao [MASKED]
### Lựa chọn:
A: Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội. 
B: Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.
C: Gia đình bà E sống ích kỉ. 
D: Gia đình bà E sống vô cảm.", B: Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?,0.2978723347187042
19,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các tổ chức chính trị do [MASKED]
### Lựa chọn:
A: Nhà nước. 
B: Đảng Cộng sản Việt Nam.
C: Không do cơ quan, tổ chức nào quản lí, hoạt động tự do. 
D: Cả A và B.", D: Cả A và B.,"cơ quan, tổ chức nào quản lí?",0.0
20,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi [MASKED]
### Lựa chọn:
A: Tệ nạn xã hội. 
B: Vi phạm pháp luật.
C: Vi phạm đạo đức. 
D: Vi phạm quy chế.", **B: Vi phạm pháp luật**.,"phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?",0.13793103396892548
21,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hình thức cao nhất xử [MASKED]
### Lựa chọn:
A: Tử hình. 
B: Chung thân.
C: Phạt tù. 
D: Cảnh cáo.", A: Tử hình.,phạt vi phạm pháp luật là?,0.0
22,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trẻ dưới 14 tuổi khi vi phạm [MASKED]
### Lựa chọn:
A: Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm. 
B: Cảnh cáo.
C: Phạt tù. 
D: Khuyên răn."," sẽ được xử lý theo quy định của pháp luật, tuy nhiên trong câu hỏi và các lựa chọn bạn đã cung cấp, không có thông tin cụ thể về mức xử phạt. Theo thông thường, trẻ em dưới 14 tuổi khi vi phạm pháp luật thường không bị phạt tù. Vì vậy, lựa chọn phù hợp nhất có thể là D: Khuyên răn hoặc B: Cảnh cáo, tùy thuộc vào mức độ vi phạm và quy định cụ thể của pháp luật tại địa",pháp luật áp dụng hình thức nào?,0.019999999552965164
23,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Thời gian dự phòng lây nhiễm HIV/AIDS [MASKED]
### Lựa chọn:
A: 1 tiếng. 
B: 1 tuần.
C: Ngay sau 2-3 giờ đầu. 
D: 1 tháng.", là B: 1 tuần.,tốt nhất là trong thời gian nào?,0.0
24,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tên gọi của 1 loại vi rút [MASKED]
### Lựa chọn:
A: HIV. 
B: AIDS.
C: Ebola. 
D: Cúm gà.", [MASKED] là A: HIV.,gây suy giảm miễn dịch ở người là?,0.13333334028720856
25,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Dấu hiệu lâm sàng [MASKED]
### Lựa chọn:
A: Sút cân trên 10% trọng lượng cơ thể. 
B: Sốt kéo dài trên 1 tháng.
C: Ỉa chảy kéo dài trên 1 tháng. 
D: Cả A, B, C."," có thể bao gồm một hoặc nhiều trong số các lựa chọn sau: 
A: Sút cân trên 10% trọng lượng cơ thể. 
B: Sốt kéo dài trên 1 tháng.
C: Ỉa chảy kéo dài trên 1 tháng. 
Vì vậy, đáp án chính xác sẽ là D: Cả A, B, C.",chính khi mắc HIV/AIDS là?,0.02985074557363987
26,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản [MASKED]
### Lựa chọn:
A: Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an. 
B: Cá nhân.
C: Công ty tư nhân. 
D: Tổ chức phản động."," [MASKED]

Lựa chọn:

A: Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an. 
B: Cá nhân.
C: Công ty tư nhân. 
D: Tổ chức phản động.

Trả lời: A: Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.","xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?",0.06557376682758331
27,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hành động nào sau đây không thực hiện đúng quy định về phòng [MASKED]
### Lựa chọn:
A: Sử dụng súng tự chế. 
B: Cưa mìn để lấy thuốc nổ.
C: Dùng dao để đánh nhau. 
D: Cả A, B, C."," [ANH HIỆU]?
### Câu hỏi: Hành động nào sau đây không thực hiện đúng quy định về phòng ANH HIỆU
### Lựa chọn:
A: Sử dụng súng tự chế. 
B: Cưa mìn để lấy thuốc nổ.
C: Dùng dao để đánh nhau. 
D: Cả A, B, C.","ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?",0.09090909361839294
