Câu hỏi,A,B,C,D,Answer,Grade,retained
Ngô Thì Nhậm từng làm quan dưới triều đại nào?,"Triều Mạc, Lê, Trịnh","Triều Lê, Mạc, Tây Sơn","Triều Lê, Trịnh, Tây Sơn","Triều Mạc, Lê, Trịnh, Tây Sơn",B,Văn 11,False
Chiếu cầu hiền ra đời với mục đích gì?,Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn,Kêu gọi các Nho sĩ ra giúp nước,Kêu gọi những người giỏi võ ra giúp nước,Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn,D,Văn 11,False
Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?,Khi triều đại Lê – Trịnh sụp đổ,Khi Trịnh Sâm lên ngôi vua,Nguyễn Huệ lên ngôi vua,Khi triều đại Tây Sơn sụp đổ,C,Văn 11,True
Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:,Kẻ sĩ mai danh ẩn tích uổng phí tài năng,Người ra làm quan thì giữ mình không dám nói thẳng,Nhiều người có tài năng còn chưa chịu ra giúp nước,Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử,D,Văn 11,True
Giá trị nội dung của Chiếu cầu hiền là:,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan,A,Văn 11,False
Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?,Các tác phẩm thuộc phong trào Thơ mới.,Tinh thần Thơ mới,Chủ nghĩa hiện thực Việt Nam.,Quan điểm nghệ thuật vị nhân sinh,B,Văn 11,True
"""Chiếu cầu hiền"" là của tác giả nào?",Ngô Thì Nhậm,Ngô Thì Sĩ,Ngô gia văn phái,Quang Trung,A,Văn 11,False
Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?,"Sinh năm 1915, mất năm 1951.","Sinh năm 1920, mất năm 2002.","Sinh năm 1930, mất năm 2008.","Sinh năm 1909, mất năm 1982.",D,Văn 11,False
"Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?",Lưu Trọng Lư,Nguyễn Bính,Huy Thông,Nguyễn Nhược Pháp,C,Văn 11,True
"Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”",Xuân Diệu,Huy Cận,Chế Lan Viên,Hàn Mặc Tử,C,Văn 11,True
