,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: During recess, A teased and hit B, causing him to bleed and break his teeth. No one in [MASKED]
### Choices:
A: Tell the homeroom teacher to find a solution. 
B: Ignore it because it has nothing to do with me.
C: Play B with A for fun. 
D: Go play somewhere else.", **D: Go play somewhere else**.,the class said anything because they were afraid A would hit him. What would you do in this situation?,0.0
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: On the way home from school, I saw a young man speeding on a motorbike [MASKED]
### Choices:
A: Ignore it and pretend you don't know. 
B: With the help of an adult, take the baby to the hospital and call the baby's family.
C: Take that baby to the police. 
D: Pedal home quickly.", (C: Take that baby to the police).,"and causing an accident, breaking a student's arm. What would you do in that situation?",0.08695652335882187
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the proverb: ""Follow [MASKED]
### Choices:
A: No respect for reason. 
B: dishonest
C: immature 
D: Unconscious."," [MASKED] 
### Choices:
A: No respect for reason.
B: dishonest
C: immature 
D: Unconscious.

The correct answer would depend on the specific proverb being referenced. Without knowing the full proverb, it's impossible to accurately fill in the blank or determine the correct choice from the given options. Please provide the full proverb so I can assist you better.","the wind"" say about people?",0.0
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: I practice integrity [MASKED]
### Choices:
A: Enthusiastically help people without calculation or self-interest 
B: Get rich with your own strength and talent
C: Pick up lost property and return it to its owner. 
D: All of the above"," enthusiastically help people without calculation or self-interest. 

Therefore, the answer is A: Enthusiastically help people without calculation or self-interest.",in studying is:,0.07407407462596893
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Not greedy for fame, not greedy [MASKED]
### Choices:
A: Integrity. 
B: Fair.
C: Right. 
D: Modest.", **Modest**.,"for profit, not petty, selfish is called?",0.0
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: At 12 o'clock at night, the neighbor's house is still [MASKED]
### Choices:
A: Whatever. 
B: Go beat up the neighbor.
C: Go scold the neighbor. 
D: Go to the neighbor's house and advise them to turn off the machine because it's late at night so everyone can sleep.", [D: Go to the neighbor's house and advise them to turn off the machine because it's late at night so everyone can sleep.],"playing karaoke music. In this situation, what would you do?",0.0
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following [MASKED]
### Choices:
A: Walk softly and speak softly in the hospital. 
B: Mocking, mocking people with disabilities.
C: Know how to listen to everyone's opinions. 
D: Take the blame on yourself"," is an appropriate behavior in a hospital setting?

A: Walk softly and speak softly in the hospital.
B: Mocking, mocking people with disabilities.
C: Know how to listen to everyone's opinions.
D: Take the blame on yourself.

The correct answer is A: Walk softly and speak softly in the hospital.",behaviors shows disrespect for others:,0.0
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Some folk songs and [MASKED]
### Choices:
A: It is difficult to know reason and words. Knowing how to behave and behave is better than the rich. 
B: Words do not cost money, choose your words carefully to please each other.
C: Laugh at others today, tomorrow others will laugh at you 
D: All of the above"," B: Words do not cost money, choose your words carefully to please each other.",proverbs about respecting others:,0.0
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Proverb: Keep your word, don't be like a butterfly [MASKED]
### Choices:
A: Loyalty. 
B: Loyalty.
C: Keep your word. 
D: Altruism."," that changes its mind frequently.

### Choices:
A: Loyalty. 
B: Loyalty.
C: Keep your word. 
D: Altruism.

Answer: A: Loyalty.","that lands and then flies away, saying something else.",0.06896551698446274
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Respecting people's trust in you, knowing how to [MASKED]
### Choices:
A: Integrity. 
B: Fair.
C: Right. 
D: Keep your word.", **Keep your word**,keep promises and trusting each other is called?,0.1818181872367859
