,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: [MASKED] 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ","Ở thời điểm đất nước gặp nhiều khó khăn và gian khổ do sự xâm lược và nội chiến. 

Vậy câu hỏi hoàn chỉnh sẽ là: ""Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào? Lựa chọn đúng là:

A: Ở thời điểm đất nước gặp nhiều khó khăn và gian khổ do sự xâm lược và nội chiến

B: Khi Trịnh Sâm lên ngôi vua

C: Nguyễn Huệ lên ngôi",Khi triều đại Lê – Trịnh sụp đổ,0.06060606241226196
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: [MASKED] 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử"," ""Người ra làm quan thì không bao giờ thay đổi được bản lĩnh và lòng trung thành"".",Nhiều người có tài năng còn chưa chịu ra giúp nước,0.05714285746216774
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: [MASKED] 
D: Quan điểm nghệ thuật vị nhân sinh"," ""Thời đại trong thi ca"" bàn đến vấn đề về sự thay đổi và phát triển của thơ ca qua các thời kỳ.",Chủ nghĩa hiện thực Việt Nam.,0.0
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: [MASKED]",Nguyễn Du,Nguyễn Nhược Pháp,0.6000000238418579
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử", Hàn Mặc Tử,Xuân Diệu,0.0
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?
### Lựa chọn:
A: Nghị luận 
B: [MASKED]
C: Biểu cảm 
D: Chính luận"," ""B: Bài thơ"". Đây là phương thức mà tác giả Nguyễn Du sử dụng để viết đoạn trích ""Tôi có một ước mơ"" trong bài Hành Trình Truyện Kiều.",Tự sự,0.0
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu"," ""Nguyễn Du"". Trong bài viết ""Một thời đại trong thi ca"" của mình, Hoài Thanh đã nhắc đến nhà thơ Nguyễn Du với hồn thơ ""quê mùa"".",Nguyễn Nhược Pháp,0.15000000596046448
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Thế Lữ 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: [MASKED]",Nguyễn Du,Nguyễn Bính,0.6666666865348816
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?
### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: [MASKED]", D: Nguyễn Hồng,Hàn Mặc Tử,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: “Cầu hiền” ở đây hướng tới đối tượng nào?
### Lựa chọn:
A: Người ăn ở hiền lành 
B: [MASKED]
C: Người có đức 
D: Người có đức và tài", “Cầu hiền” ở đây hướng tới đối tượng có đức và tài.,Người có tài,0.2222222238779068
