Threshold:0.0, retain_rate:0.03966666666666667, average:0.0
Threshold:0.05, retain_rate:0.16566666666666666, average:0.026105089613989316
Threshold:0.1, retain_rate:0.49866666666666665, average:0.05876274340044532
Threshold:0.15000000000000002, retain_rate:0.747, average:0.08050564020364846
Threshold:0.2, retain_rate:0.912, average:0.09716582601709672
Threshold:0.25, retain_rate:0.973, average:0.104984797541887
Threshold:0.30000000000000004, retain_rate:0.9886666666666667, average:0.10760208452044491
Threshold:0.35000000000000003, retain_rate:0.995, average:0.10896985899723248
Threshold:0.4, retain_rate:0.9983333333333333, average:0.10984388524259012
Threshold:0.45, retain_rate:0.9996666666666667, average:0.11025538500376168
Threshold:0.5, retain_rate:0.9996666666666667, average:0.11025538500376168
Threshold:0.55, retain_rate:0.9996666666666667, average:0.11025538500376168
Threshold:0.6000000000000001, retain_rate:0.9996666666666667, average:0.11025538500376168
Threshold:0.65, retain_rate:1.0, average:0.11043075442088165
Threshold:0.7000000000000001, retain_rate:1.0, average:0.11043075442088165
Threshold:0.75, retain_rate:1.0, average:0.11043075442088165
Threshold:0.8, retain_rate:1.0, average:0.11043075442088165
Threshold:0.8500000000000001, retain_rate:1.0, average:0.11043075442088165
Threshold:0.9, retain_rate:1.0, average:0.11043075442088165
Threshold:0.9500000000000001, retain_rate:1.0, average:0.11043075442088165
