Question,predict,label,rouge_score,score
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Mạch truyện diễn biến theo trình tự thời gian nào?
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: [MASKED] 
D: Hiện tại - quá khứ - tương lai","Hiện tại - tương lai

Giải thích: Truyện có thể bắt đầu bằng hiện tại và kết thúc bằng tương lai.",Hiện tại - quá khứ - hiện tại,0.3333333432674408,0.30769230769230765
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: [MASKED]
C: Ven sông Đuống, Gia Lâm (Hà Nội) 
D: Một tỉnh thuộc đồng bằng Bắc Bộ","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: [MASKED]
C: Ven sông Đuống, Gia Lâm (Hà Nội) 
D: Một tỉnh thuộc đồng bằng Bắc Bộassistant

Nội dung của lựa chọn B là ""Quảng Bình"", Thanh Tịnh là một huyện thuộc tỉnh Quảng Bình.","Ven sông Hồng, thành phố Hà Nội",0.1016949117183685,0.1188118811881188
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: [MASKED]",Truyện dài.,Tuỳ bút,0.0,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: [MASKED]
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ","Cô ấy là cô giáo của tôi.

Lời giải:

- Lần ấy trường đối với tôi là một nơi xa lạ (A): Câu văn này nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” khi bước vào trường học lần đầu tiên, nơi mà anh ta chưa từng đặt chân trước đó.

- Cô ấy là cô giáo của tôi (B): Câu văn này không nói lên tâm trạng hồi hộp, cảm giác","Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ",0.1272727251052856,0.07920792079207921
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: [MASKED]","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: [MASKED]assistant

Nội dung của lựa chọn D là nội dung chính của câu hỏi nên có thể chọn: D: Phong cách",Hành động,0.0,0.0
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: A. Nhân hóa. 
B: [MASKED]
C: C. Điệp ngữ. 
D: D. Ẩn dụ.","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: A. Nhân hóa. 
B: [MASKED]
C: C. Điệp ngữ. 
D: D. Ẩn dụ.assistant

Nội dung của lựa chọn B là ""B. Hóm nay""",B. So sánh.,0.0,0.023809523809523808
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: [MASKED] 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: [MASKED] 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trênassistant

Nội dung của lựa chọn A là phù hợp với chủ đề của văn bản “Tôi đi học”.",Nhan đề của văn bản,0.0689655169844627,0.07619047619047618
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: [MASKED]
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C.","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: [MASKED]
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C.assistant

Nội dung của lựa chọn B là hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả.","Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.",0.0416666679084301,0.0625
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: Người mẹ 
B: [MASKED]
C: Ông đốc 
D: Nhân vật ‘tôi’","system

Cutting Knowledge Date: December 2023
Today Date: 26 Jul 2024

user

Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: Người mẹ 
B: [MASKED]
C: Ông đốc 
D: Nhân vật ‘tôi’assistant

Nội dung của lựa chọn B là nhân vật chính trong văn bản 'Tôi đi học’",Người thầy giáo,0.0,0.023529411764705882
"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: [MASKED] 
D: Kết hợp cả A, B, C","Câu chuyện

Văn bản ""Tôi đi học"" của Thanh Tịnh là một tác phẩm văn xuôi sử dụng phương thức biểu đạt tự sự. Tự sự là một trong những phương thức biểu đạt được sử dụng trong văn học, đặc biệt là trong các tác phẩm văn xuôi. 

Tự sự là một loại văn bản được kể bằng cách sử dụng ngôn ngữ tự nhiên, mô tả một sự việc đã xảy ra hoặc một trải nghiệm cá nhân của tác giả.",Biểu cảm,0.0,0.023529411764705882
