Threshold:0.0, retain_rate:0.391, average:0.0
Threshold:0.05, retain_rate:0.4553333333333333, average:0.004956357105610404
Threshold:0.1, retain_rate:0.575, average:0.01947128177874979
Threshold:0.15000000000000002, retain_rate:0.664, average:0.03351053526509035
Threshold:0.2, retain_rate:0.7473333333333333, average:0.049421057285600443
Threshold:0.25, retain_rate:0.802, average:0.06180650657883044
Threshold:0.30000000000000004, retain_rate:0.83, average:0.06911267208558011
Threshold:0.35000000000000003, retain_rate:0.852, average:0.07570749085126707
Threshold:0.4, retain_rate:0.8843333333333333, average:0.08676754501766902
Threshold:0.45, retain_rate:0.899, average:0.0924125091186449
Threshold:0.5, retain_rate:0.9226666666666666, average:0.10250901306023982
Threshold:0.55, retain_rate:0.938, average:0.10955850294363181
Threshold:0.6000000000000001, retain_rate:0.951, average:0.11591796807363994
Threshold:0.65, retain_rate:0.961, average:0.12123288053683116
Threshold:0.7000000000000001, retain_rate:0.971, average:0.12691074540646735
Threshold:0.75, retain_rate:0.9806666666666667, average:0.13282618030381949
Threshold:0.8, retain_rate:0.99, average:0.13889250248409388
Threshold:0.8500000000000001, retain_rate:0.9953333333333333, average:0.14259848373805567
Threshold:0.9, retain_rate:0.9986666666666667, average:0.14505509502509842
Threshold:0.9500000000000001, retain_rate:0.9996666666666667, average:0.14581794212008622
