Threshold:0.0, retain_rate:0.34741338395823446, average:0.0
Threshold:0.05, retain_rate:0.35738016136687234, average:0.001236804190785216
Threshold:0.1, retain_rate:0.42097769340294255, average:0.012781579944960715
Threshold:0.15000000000000002, retain_rate:0.4774560987185572, average:0.02597977978100511
Threshold:0.2, retain_rate:0.5344091124822021, average:0.04216919513021166
Threshold:0.25, retain_rate:0.5927859515899383, average:0.060886407062923364
Threshold:0.30000000000000004, retain_rate:0.6255339345040342, average:0.0723509463830499
Threshold:0.35000000000000003, retain_rate:0.6677740863787376, average:0.08864300625206847
Threshold:0.4, retain_rate:0.7085904129093498, average:0.10554222966004795
Threshold:0.45, retain_rate:0.7337446606549597, average:0.11665507091283385
Threshold:0.5, retain_rate:0.8073089700996677, average:0.1511076256175946
Threshold:0.55, retain_rate:0.8220218319886095, average:0.15797194744673562
Threshold:0.6000000000000001, retain_rate:0.8452776459420978, average:0.1696331649830892
Threshold:0.65, retain_rate:0.8599905078310394, average:0.17753365093177598
Threshold:0.7000000000000001, retain_rate:0.8927384907451352, average:0.19556864524381945
Threshold:0.75, retain_rate:0.9121974371143806, average:0.20711097212030435
Threshold:0.8, retain_rate:0.9235880398671097, average:0.21421134307053794
Threshold:0.8500000000000001, retain_rate:0.9383009017560513, average:0.2237422073677725
Threshold:0.9, retain_rate:0.9492168960607499, average:0.2311904352284571
Threshold:0.9500000000000001, retain_rate:0.9558614143331752, average:0.2360047777025282
