Question,A,B,C,D,Answer,subject
"Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?",Báo với cô giáo chủ nhiệm để tìm cách giải quyết.,Mặc kệ vì không liên quan đến mình.,Cùng với A đánh B cho vui.,Chạy đi chỗ khác chơi.,A,civic_education
Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?,Lờ đi chỗ khác và coi như không biết.,"Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.",Đèo em bé đó đến gặp công an.,Đạp thật nhanh về nhà.,B,civic_education
Câu thành ngữ: Gió chiều nào theo chiều ấy nói về người như thế nào?,Không tôn trọng lẽ phải.,Không trung thực.,Không chín chắn.,Không có ý thức.,C,civic_education
Em rèn tính liêm khiết trong học tập là:,"Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi","Làm giàu bằng chính sức lực, tài năng của mình",Nhặt được của rơi trả lại cho người bị mất,Tất cả đáp án trên,D,civic_education
"Không hám danh, hám lợi, không nhỏ nhen, ích kỉ được gọi là?",Liêm khiết.,Công bằng.,Lẽ phải.,Khiêm tốn.,A,civic_education
Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc hát karaoke. Trong tình huống này em sẽ làm gì?,Mặc kệ.,Sang đánh nhà hàng xóm.,Sang chửi nhà hàng xóm.,Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.,D,civic_education
Những hành vi nào sau đây thể hiện không tôn trọng người khác:,"Đi nhẹ, nói khẽ trong bệnh viện","Châm chọc, chế giễu người khuyết tật.",Biết lắng nghe ý kiến của mọi người.,Tự nhận lỗi về mình,B,civic_education
"Một vài câu ca dao, tục ngữ nói về sự tôn trọng người khác:","Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

","Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau","Cười người hôm trước, hôm sau người cười",Tất cả các ý trên,D,civic_education
"Câu tục ngữ: Nói lời phải giữ lấy lời, đừng như con bướm đậu rồi lại bay nói đến điều gì",Lòng chung thủy.,Lòng trung thành.,Giữ chữ tín.,Lòng vị tha.,C,civic_education
"Coi trọng lòng tin của mọi người đối với mình, biết trọng lời hứa và tin tưởng nhau được gọi là?",Liêm khiết.,Công bằng.,Lẽ phải.,Giữ chữ tín.,D,civic_education
"Những quy định, quy ước ở một tập thể, một cộng đồng người ở phạm vi hẹp hơn được gọi là?",Liêm khiết.,Công bằng.,Pháp luật.,Kỉ luật.,D,civic_education
Những quy định của pháp luật và kỉ luật có ý nghĩa như thế nào với mọi người?,Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động.,Giúp cho mọi người gần nhau hơn.,Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người hoàn thiện mình hơn.,A,civic_education
Câu ca dao thể hiện tôn trọng pháp luật và kỉ luật,"Đất có lề, quê có thói",Phép vua thua lệ làng,Thương em anh để trong lòng Việc quan anh cứ phép công anh làm,"A, B, C",D,civic_education
"Tình bạn trong sáng, lành mạnh có ý nghĩa như thế nào?","Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn.",Giúp cho mọi người gần nhau hơn.,Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người vui vẻ hơn,A,civic_education
"Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở hợp nhau về tính tình, sở thích, lí tưởng được gọi là?",Tình yêu.,Tình bạn.,Tình đồng chí.,Tình anh em.,B,civic_education
"Đặc điểm của tình bạn trong sáng, lành mạnh là?",Bình đẳng và tôn trọng lẫn nhau.,Phù hợp với nhau về quan niệm sống.,"Thông cảm, đồng cảm sâu sắc với nhau.","Cả A, B, C.",D,civic_education
Em không tán thành ý kiến nào sau đây về tình bạn?,"Tình bạn trong sáng, lành mạnh không thể có từ một phía",Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,Biết phê bình nhau trong mọi trường hợp.,"Có thể có tình bạn trong sáng, lành mạnh giữa hai người khác giới.",C,civic_education
"D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?","Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật.",Nhờ bạn D cho xem tài liệu cùng.,Mặc kệ vì không liên quan đến mình.,Nói với cô giáo để bạn bị phạt.,A,civic_education
"Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?",Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,Gia đình bà E sống ích kỉ.,Gia đình bà E sống vô cảm.,A,civic_education
"Các tổ chức chính trị do cơ quan, tổ chức nào quản lí?",Nhà nước.,Đảng Cộng sản Việt Nam.,"Không do cơ quan, tổ chức nào quản lí, hoạt động tự do.",Cả A và B.,D,civic_education
Tác hại của tệ nạn xã hội là?,"Ảnh hưởng đến sức khỏe, tinh thần và đạo đức con người.",Làm tan vỡ hạnh phúc gia đình.,"Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.","Cả A, B, C.",D,civic_education
Các loại tệ nạn xã hội là?,"Tham nhũng, nghiện game không lành mạnh.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.","Ma túy, mại dâm.","Cả A, B, C.",D,civic_education
"Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?",Tệ nạn xã hội.,Vi phạm pháp luật.,Vi phạm đạo đức.,Vi phạm quy chế.,A,civic_education
Hình thức cao nhất xử phạt vi phạm pháp luật là?,Tử hình.,Chung thân.,Phạt tù.,Cảnh cáo.,A,civic_education
Trẻ dưới 14 tuổi khi vi phạm pháp luật áp dụng hình thức nào?,Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm.,Cảnh cáo.,Phạt tù.,Khuyên răn.,D,civic_education
Thời gian dự phòng lây nhiễm HIV/AIDS tốt nhất là trong thời gian nào?,1 tiếng.,1 tuần.,Ngay sau 2-3 giờ đầu.,1 tháng.,C,civic_education
Tên gọi của 1 loại vi rút gây suy giảm miễn dịch ở người là?,HIV.,AIDS.,Ebola.,Cúm gà.,A,civic_education
Dấu hiệu lâm sàng chính khi mắc HIV/AIDS là?,Sút cân trên 10% trọng lượng cơ thể.,Sốt kéo dài trên 1 tháng.,Ỉa chảy kéo dài trên 1 tháng.,"Cả A, B, C.",D,civic_education
Virut HIV lây qua:,"Ăn, uống chung ly, chén với người nhiễm HIV","Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành","Ho, hắt hơi","Hút thuốc lá, uống rượu bia chung với người nhiễm HIV",D,civic_education
"Các việc làm phòng, chống HIV/AIDS là?",Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,"Tham gia các hoạt động phòng, chống tại địa phương.","Không buôn bán, vận chuyển, tàng trữ chất ma túy.","Cả A, B, C.",D,civic_education
"Cơ quan, tổ chức nào được nghiên cứu, chế tạo, sản xuất, kinh doanh, xuất khẩu, nhập khẩu, sửa chữa vũ khí?","Tổ chức, doanh nghiệp thuộc Bộ Quốc Phòng và Bộ Công an.",Cá nhân.,Công ty tư nhân.,Tổ chức phản động.,A,civic_education
Ngày toàn dân phòng cháy chữa cháy là,Ngày 4 tháng 10,Ngày 14 tháng 4,Ngày 14 tháng 10,Ngày 10 tháng 4,A,civic_education
"Hành động nào sau đây không thực hiện đúng quy định về phòng ngừa tai nạn về vũ khí, cháy, nổ và các chất độc hại?",Sử dụng súng tự chế.,Cưa mìn để lấy thuốc nổ.,Dùng dao để đánh nhau.,"Cả A, B, C.",D,civic_education
"Các trường hợp nổ súng quân dụng khi thực hiện nhiệm vụ bảo đảm an ninh, trật tự là?","Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác tấn công hoặc chống trả đe dọa tính mạng, sức khỏe của người thi hành công vụ hoặc người khác.","Đối tượng đang sử dụng vũ khí, vật liệu nổ, vũ lực hoặc công cụ, phương tiện khác gây rối trật tự công cộng đe dọa tính mạng, sức khỏe, tài sản của người khác.","Khi biết rõ đối tượng đang thực hiện hành vi phạm tội nghiêm trọng, phạm tội rất nghiêm trọng, phạm tội đặc biệt nghiêm trọng.","Cả A, B, C.",D,civic_education
"Thuốc trừ sâu, thuốc diệt chuột là",Vũ khí,Chất độc hại,Chất thải,Chất nổ,B,civic_education
Chiếm đoạt tài sản có giá trị từ hai trăm triệu đồng đến dưới năm trăm triệu đồng bị phạt tù bao nhiêu năm?,Từ 7 năm đến 15 năm.,Từ 5 năm đến 15 năm.,Từ 5 năm đến 10 năm.,Từ 1 năm đến 5 năm.,A,civic_education
Chiếm hữu bao gồm?,Chiếm hữu của chủ sở hữu.,Chiếm hữu của người không phải chủ sở hữu.,Chiếm hữu hoàn toàn và chiếm hữu không hoàn toàn.,"Cả A, B.",D,civic_education
Việc ông A cho con gái thừa kế 1 mảnh đất đứng tên mình là ông thực hiện quyền nào?,Quyền sử dụng.,Quyền định đoạt.,Quyền chiếm hữu.,Quyền tranh chấp.,B,civic_education
Nhà nước … quyền sở hữu hợp pháp của công dân. Trong dấu “…” đó là?,Công nhận và chịu trách nhiệm.,Bảo hộ và chịu trách nhiệm.,Công nhận và đảm bảo.,Công nhận và bảo hộ.,D,civic_education
Trách nhiệm nhà nước bao gồm:,Ghi nhận trong Hiến pháp và các văn bản quy định pháp luật quyền sở hữu của công dân.,Quy định các biện pháp và hình thức xử lí đối với các hành vi xâm phạm quyền sở hữu…,"Tuyên truyền, giáo dục công dân cách thức bảo vệ quyền sở hữu của mình và ý thức tôn trọng quyền sở hữu của người khác.",Tất cả các đáp án trên đúng,D,civic_education
Sản xuất của cải vật chất là quá trình,Tạo ra của cải vật chất.,Sản xuất xã hội.,Con người tác động vào tự nhiên để tạo ra các sản phẩm phù hợp với như cầu của mình.,"Tạo ra cơm ăn, áo mặc, tạo ra tư liệu sản xuất.",C,civic_education
Một trong những vai trò của sản xuất của cải vật chất là,Cơ sở tồn tại của xã hội.,Tạo ra các giá trị vật chất và tinh thần,Giúp con người có việc làm.,Thúc đẩy tăng trưởng kinh tế.,A,civic_education
