Question,predict,label,rouge_score,score,Grade,retained
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ngô Thì Nhậm từng làm [MASKED]
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn", quan dưới triều Tây Sơn. ,quan dưới triều đại nào?,0.6000000238418579,0.6,Văn 11,False
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra [MASKED]
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn", B: Kêu gọi các Nho sĩ ra giúp nước ,đời với mục đích gì?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ", thời kỳ Trịnh Sâm lên ngôi vua. ,hoàn cảnh đất nước như thế nào?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử"," [MASKED]
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử ",thái độ của sĩ phu Bắc Hà:,0.0333333350718021,0.0344827586206896,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Giá trị nội dung [MASKED]
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan", của tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước. ,của Chiếu cầu hiền là:,0.1081081107258796,0.1142857142857143,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh", trong thi ca Việt Nam đã mất” là về phong trào Thơ mới. ,trong thi ca” bàn đến vấn đề gì?,0.2857142984867096,0.1904761904761905,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: ""Chiếu cầu hiền"" là [MASKED]
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: Ngô gia văn phái 
D: Quang Trung"," một văn bản nổi tiếng của vua Quang Trung, nhằm kêu gọi các bậc hiền tài ra giúp nước. ",của tác giả nào?,0.0869565233588218,0.0869565217391304,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu nào dưới đây nói đúng về [MASKED]
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982."," [MASKED]?
A: Sinh năm 1915, mất năm 1951.
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008.
D: Sinh năm 1909, mất năm 1982. ",năm sinh và năm mất của Hoài Thanh?,0.1142857149243354,0.2162162162162162,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp", Lưu Trọng Lư. ,nào trong bài viết “Một thời đại trong thi ca”?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử", Hàn Mặc Tử. ,nào trong bài viết “Một thời đại trong thi ca”,0.0,0.0,Văn 11,True
