,Question,Fed_Prompt,Label,Choosed_wrong_answer,True_answer,Subject,Grade
0,"### Câu hỏi: Dựa trên sự khác nhau về hình dạng và định hướng của orbital trong nguyên tử, orbital được chia thành mấy loại?
A. []
B. 3
C. 4
D. 5
","Dựa trên sự khác nhau về hình dạng và định hướng của orbital trong nguyên tử, orbital được chia thành mấy loại?
A. ",2,A,C,chemistry,Hóa 10
1,"### Câu hỏi: Nguyên tắc nào sau đây không đúng khi sắp xếp các nguyên tố trong bảng tuần hoàn các nguyên tố hóa học?
A. Điện tích hạt nhân tăng dần
B. []
C. Cùng số lớp electron xếp cùng hàng
D. Cùng số neutron xếp cùng hàng.
","Nguyên tắc nào sau đây không đúng khi sắp xếp các nguyên tố trong bảng tuần hoàn các nguyên tố hóa học?
A. Điện tích hạt nhân tăng dần
B. ",Cùng số electron hóa trị xếp cùng cột,B,D,chemistry,Hóa 10
2,"### Câu hỏi: Orbital p có dạng hình gì?
A. Hình tròn
B. []
C. Hình bầu dục
D. Hình số 8 nổi.
","Orbital p có dạng hình gì?
A. Hình tròn
B. ",Hình cầu,B,D,chemistry,Hóa 10 
3,"### Câu hỏi: Yếu tố nào ảnh hưởng nhiều nhất đến tính chất hóa học của nguyên tố nhóm A?
A. Cấu hình electron nguyên tử
B. Số khối
C. []
D. Số neutron.
","Yếu tố nào ảnh hưởng nhiều nhất đến tính chất hóa học của nguyên tố nhóm A?
A. Cấu hình electron nguyên tử
B. Số khối
C. ",Khối lượng nguyên tử,C,A,chemistry,Hóa 10
4,"### Câu hỏi: Hạt nhân nguyên tử được cấu tạo bởi:
A. Neutron và electron
B. Proton và electron
C. Proton và neutron
D. []
","Hạt nhân nguyên tử được cấu tạo bởi:
A. Neutron và electron
B. Proton và electron
C. Proton và neutron
D. ",Electron.,D,C,chemistry,Hóa 10
5,"### Câu hỏi: Khi xếp theo chiều tăng dần của điện tích hạt nhân, đại lượng nào sau đây không biến đổi tuần hoàn?
A. []
B. Số neutron
C. Tính kim loại, tính phi kim
D. Độ âm điện.
","Khi xếp theo chiều tăng dần của điện tích hạt nhân, đại lượng nào sau đây không biến đổi tuần hoàn?
A. ",Bán kính nguyên tử,A,B,chemistry,Hóa 10
6,"### Câu hỏi: Hợp chất ion thường được tạo thành giữa
A. Kim loại điển hình và phi kim điển hình
B. Hai kim loại
C. Hai phi kim
D. []
","Hợp chất ion thường được tạo thành giữa
A. Kim loại điển hình và phi kim điển hình
B. Hai kim loại
C. Hai phi kim
D. ",Kim loại yếu và phi kim yếu,D,A,chemistry,Hóa 10
7,"### Câu hỏi: Cho các hợp chất sau: $Cl_2, NaCl, HCl, CO_2, NaF$. Số hợp chất chứa liên kết cộng hóa trị là?
A. 2
B. 3
C. []
D. 5
","Cho các hợp chất sau: $Cl_2, NaCl, HCl, CO_2, NaF$. Số hợp chất chứa liên kết cộng hóa trị là?
A. 2
B. 3
C. ",4,C,B,chemistry,Hóa 10
8,"### Câu hỏi: Nếu orbital có 2 electron thì được biểu diễn như thế nào trong ô orbital?
A. Biểu diễn bằng 2 mũi tên đi lên
B. Biểu diễn bằng 2 mũi tên đi xuống
C. []
D. Biểu diễn bằng 2 mũi tên ngược chiều nhau, mũi tên đi lên viết trước.
","Nếu orbital có 2 electron thì được biểu diễn như thế nào trong ô orbital?
A. Biểu diễn bằng 2 mũi tên đi lên
B. Biểu diễn bằng 2 mũi tên đi xuống
C. ","Biểu diễn bằng 2 mũi tên ngược chiều nhau, mũi tên đi xuống viết trước",C,D,chemistry,Hóa 10
9,"### Câu hỏi: Nguyên tố nào có công thức hydroxide (với hóa trị cao nhất) là $R(OH)_3$?
A. Aluminium(Al)
B. Sodium (Na)
C. []
D. Nitrogen (N).
","Nguyên tố nào có công thức hydroxide (với hóa trị cao nhất) là $R(OH)_3$?
A. Aluminium(Al)
B. Sodium (Na)
C. ",Sulfur (S),C,A,chemistry,Hóa 10
10,"### Câu hỏi: Phát biều nào sau đây sai?
A. Nguyên tố hóa học là tập hợp các nguyên tử có cùng số neutron
B. Trong nguyên tử, số đơn vị điện tích hạt nhân bằng số electron ở vỏ nguyên tử
C. []
D. Số đơn vị điện tích hạt nhân nguyên tử của một nguyên tố hóa học và số khối là đặc trưng cơ bản của một nguyên tử.
","Phát biều nào sau đây sai?
A. Nguyên tố hóa học là tập hợp các nguyên tử có cùng số neutron
B. Trong nguyên tử, số đơn vị điện tích hạt nhân bằng số electron ở vỏ nguyên tử
C. ",Các nguyên tử của cùng một nguyên tố hóa học có tính chất hóa học giống nhau,C,A,chemistry,Hóa 10
11,"### Câu hỏi: Phát biểu nào sau đây sai?
A. []
B. Có thể dự đoán được tính chất hóa học của các nguyên tố dựa vào vị trí của nó trong bảng tuần hoàn
C. Tính chất của các nguyên tố và hợp chất của nó biến thiên theo chiều giảm dần của khối lượng một cách tuần hoàn
D. Có thể dự đoán được tính chất hóa học của các nguyên tố dựa vào cấu hình electron của nó trong bảng tuần hoàn.
","Phát biểu nào sau đây sai?
A. ",Tính chất của các nguyên tố và hợp chất của nó biến thiên theo chiều tăng dần của điện tích hạt nhân một cách tuần hoàn,A,C,chemistry,Hóa 10
12,"### Câu hỏi: Hạt nào sau đây nằm ở lớp vỏ nguyên tử
A. Hạt neutron
B. Hạt alpha
C. []
D. Hạt electron.
","Hạt nào sau đây nằm ở lớp vỏ nguyên tử
A. Hạt neutron
B. Hạt alpha
C. ",Hạt proton,C,D,chemistry,Hóa 10
13,"### Câu hỏi: Nguyên tố oxygen (O) ở ô số 8, chu kì 2, nhóm VIA. Cho các phát biểu sau:

(1) Cấu hình electron của oxygen (O) là: $1s^22s^22p^5$

(2) O là nguyên tố phi kim

(3) Oxide cao nhất là SO2

(4) Nguyên tử O có 6 electron lớp ngoài cùng

(5) O thuộc nguyên tố s

Số phát biểu đúng là?
A. 2
B. []
C. 4
D. 5
","Nguyên tố oxygen (O) ở ô số 8, chu kì 2, nhóm VIA. Cho các phát biểu sau:

(1) Cấu hình electron của oxygen (O) là: $1s^22s^22p^5$

(2) O là nguyên tố phi kim

(3) Oxide cao nhất là SO2

(4) Nguyên tử O có 6 electron lớp ngoài cùng

(5) O thuộc nguyên tố s

Số phát biểu đúng là?
A. 2
B. ",3,B,A,chemistry,Hóa 10
