Threshold:0.0, retain_rate:0.44033333333333335, average:0.0
Threshold:0.05, retain_rate:0.447, average:0.0006110536055543476
Threshold:0.1, retain_rate:0.502, average:0.009229064983708431
Threshold:0.15000000000000002, retain_rate:0.5776666666666667, average:0.024470171445069196
Threshold:0.2, retain_rate:0.6503333333333333, average:0.04151397300409794
Threshold:0.25, retain_rate:0.7043333333333334, average:0.05590014244200355
Threshold:0.30000000000000004, retain_rate:0.7363333333333333, average:0.06549799881115118
Threshold:0.35000000000000003, retain_rate:0.7733333333333333, average:0.0779959843262116
Threshold:0.4, retain_rate:0.8003333333333333, average:0.0883522638275606
Threshold:0.45, retain_rate:0.8183333333333334, average:0.09578686545691989
Threshold:0.5, retain_rate:0.8816666666666667, average:0.12456870900720812
Threshold:0.55, retain_rate:0.8886666666666667, average:0.1277987031671414
Threshold:0.6000000000000001, retain_rate:0.8996666666666666, average:0.13331883978126235
Threshold:0.65, retain_rate:0.9033333333333333, average:0.13531434393727795
Threshold:0.7000000000000001, retain_rate:0.9253333333333333, average:0.14798775567405714
Threshold:0.75, retain_rate:0.9326666666666666, average:0.15266380239670188
Threshold:0.8, retain_rate:0.9436666666666667, average:0.16012085532058443
Threshold:0.8500000000000001, retain_rate:0.9486666666666667, average:0.16361189522682415
Threshold:0.9, retain_rate:0.9593333333333334, average:0.1713949865447738
Threshold:0.9500000000000001, retain_rate:0.9626666666666667, average:0.1740090858991546
