predict,label,score
Can ngăn A và giúp B.,Cùng với A đánh B cho vui.,0.30769230769230765
Gọi điện cho gia đình của em đó và nhờ sự giúp đỡ của người lớn.,Đèo em bé đó đến gặp công an.,0.16666666666666666
Không trung thực.,Không tôn trọng lẽ phải.,0.25
"Làm giàu bằng chính sức lực, tài năng của mình","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0
Chính trực. ,Khiêm tốn.,0.0
Sang khuyên nhà hàng xóm tắt máy vì đêm đã khuya nên để mọi người ngủ.,Sang đánh nhà hàng xóm.,0.38095238095238093
"Nói chuyện to, cười đùa trong lớp học ",Tự nhận lỗi về mình,0.0
Biết ăn biết ở hơn người giàu sang,Lời nói không mất tiền mua,0.0
Giữ lời hứa. ,Lòng vị tha.,0.0
Giữ chữ tín. ,Liêm khiết.,0.0
Văn hóa.,Công bằng.,0.0
Giúp cho mọi người hoàn thiện mình hơn.,Giúp cho mọi người tôn trọng nhau hơn.,0.625
"Đất có lề, quê có thói",Phép vua thua lệ làng,0.0
Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người gần nhau hơn.,0.7999999999999999
Tình anh em.,Tình đồng chí.,0.3333333333333333
"Không có sự ghen tị, đố kỵ.",Phù hợp với nhau về quan niệm sống.,0.0
Biết phê bình nhau trong mọi trường hợp.,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.631578947368421
Báo cáo với giáo viên để xử lý đúng quy định. ,Nói với cô giáo để bạn bị phạt.,0.3157894736842105
Gia đình bà E sống ích kỉ.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.36363636363636365
Đảng Cộng sản Việt Nam.,Nhà nước.,0.0
"Gây mất trật tự, an toàn xã hội.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.4
"Nghiện ma túy, nghiện game không lành mạnh.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.0
Tệ nạn xã hội. ,Vi phạm quy chế.,0.0
Tử hình. ,Cảnh cáo.,0.0
Phạt hành chính.,Phạt tù.,0.4
2-3 giờ đầu.,1 tuần.,0.0
Viêm gan B. ,Cúm gà.,0.0
Sốt kéo dài trên 1 tháng.,Sút cân trên 10% trọng lượng cơ thể.,0.14285714285714288
Quan hệ tình dục không an toàn,"Muỗi, côn trùng chích hút máu người nhiễm HIV rồi chích sang người lành",0.0
"Tham gia các hoạt động phòng, chống tại địa phương.",Tuyên truyền tới mọi người tác hại của ma túy để mọi người phòng chống.,0.16
