predict,label,score
ethically as long as she clarifies her roles with all parties. ,unethically by accepting dual roles.,0.12500000000000003
"Within the context of the war on terror analogy, in which the norms of retaliation and punishment prevail, pre-emptive action is taken against training facilities, headquarters, sources of funding, and even the assassination of key individuals.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.1714285714285714
hearsay.,hearsay.,1.0
Domestic law does not prevail over international law,Only customary international law prevails over domestic law,0.375
],generalized anxiety disorder,0.0
45°,cos–1 (1/g),0.0
Mutation of the RNA genome at many positions,Recombining with another enterovirus,0.0
],mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.0
The seller can obtain only the reasonable value of the use of the car in a restitution action.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.3157894736842105
],Calvin cycle,0.0
"The costs of free trade are dispersed, but benefits are concentrated",Regime type,0.0
"False, True ","False, True",1.0
To provide a permanent airway. ,Prior to neck surgery.,0.22222222222222224
"$45,000. 00","$55,000. 00",0.5
the central city and the adjacent counties.,the central city and its hinterlands.,0.6153846153846153
"Social accounting, Financial accounting.","Financial accounting, Environmental management initiatives",0.4444444444444445
0.05 J,0.005 J,0.5
is prevented from everting by papillary muscles.,is a semilunar valve,0.18181818181818182
is used to determine the content of minerals in a soil sample,was used to demonstrate DNA as the genetic material,0.28571428571428575
Scenario 1,"Wrong, Wrong",0.0
not pure,useful,0.0
Voting Rights Act of 1965],Medicare and Medicaid,0.0
The board of trustees recommends it.,The governor approves of it.,0.5454545454545454
],"In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.0
the spread of religious skepticism among the educated elite of Britain in the eighteenth century,the hatred of all things Roman by British scholars in the eighteenth century,0.42857142857142855
Increasing the total surface area available for diffusion,Decreasing the solubility of the gas in water,0.125
Interacting with a virus infected cell,Interacting with a plasma cell,0.7272727272727272
"A 17-year-old male who is a B student and a talented artist, but who feels that his life is out of control","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.17391304347826086
150,144,0.0
],external influences originating from the Indus Valley.,0.0
],Steps,0.0
Scenario 1,"Wrong, Wrong",0.0
The inferior alveolar nerve,The buccal nerve,0.5714285714285715
cerebellum],visual system,0.0
"Option I if it needs at least $20,000 to pay off an overdue loan",Option II if it wants to maximize expected return,0.34782608695652173
must take into account the interests of all living beings.,make take into account the interests of all sentient beings.,0.8000000000000002
],"The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.0
$82,$85,0.0
It was one of the first well-documented examples of a specific brain area being associated with a set of physical and emotional changes.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.28571428571428575
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.1818181818181818
],6:5,0.0
Egg,Hepatitis,0.0
],Amyotrophic lateral sclerosis,0.0
],"Not wrong, Wrong",0.0
],Introspection,0.0
],Any risk of invasion of privacy,0.0
strike,mulligan,0.0
],"Wrong, Not wrong",0.0
Vitamin A,Vitamin A,1.0
Kinetic energy of the alpha particle.,gamma radiation.,0.0
Reliability of sufficient rainfall,Availability of sufficient rainfall,0.75
they will disagree morally only if they disagree about the facts of the case.,they will share all the same moral opinions.,0.2727272727272727
],Lafayette,0.0
Cliff,Diane,0.0
],"The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.0
Interest rates decrease and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,0.8571428571428571
RL circuit.,RC circuit.,0.5
Emulated the lifestyle and cultural values of the traditional aristocracy,participated in the same leisure pursuits and events of the 'social calendar',0.3636363636363636
],17,0.0
Surgical scalpel wrapped in gauze. ,Foam stick.,0.0
],Matthias Schleiden and Theodor Schwann,0.0
saving increases by less than $X .,consumption increases by more than $X .,0.6666666666666666
They alter the equilibrium constant of a reaction (K_eq) so that more reactant can be converted to product.,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",0.28571428571428575
Buyclasses.,Buyphases.,0.0
"showing that a fetus is not a person with full moral rights, including the right to life.",appealing to the fact that a fetus is biologically human and arguing that it is presumptively morally wrong to kill biologically human beings.,0.25
],"Not wrong, Wrong",0.0
exceptional desires,worldly wisdom,0.0
Scenario 1,"Wrong, Wrong",0.0
15/64,1/64,0.0
72 ÷ 9 = 8,72 – 9 = 63,0.5
],Europe,0.0
Advise the patient to avoid caffeine and nicotine,Prescribe sertraline,0.0
exposure therapy,modeling,0.0
period,wavelength,0.0
],"Not wrong, Wrong",0.0
quotas,bills of attainder,0.0
Increasing the reliability of financial reporting and compliance with applicable laws and regulations.,Establishing a foundation for monitoring.,0.0
Is a matter of personal preference,Cannot be rationalized in every instance,0.0
Lm • ~(Lj • Ll),Lm ∨ ~(Jl ∨ Ll),0.4000000000000001
Visual-spatial processing,Mental rotation,0.0
],Alone,0.0
],responding to an argument with an expression of derision instead of a counter argument,0.0
Scenario 2 ,"Wrong, Wrong",0.0
requiring senators to be at least 30 years old,requiring all spending bills to originate in the House of Representatives,0.19999999999999998
New York,Orlando,0.0
Modify the introductory paragraph to direct the reader to the emphasis-of-matter paragraph.,Notify the appropriate regulatory authority if the auditor's opinion was modified on the basis of the matter.,0.20689655172413793
"2,449,550","2,329,333",0.0
atmosphere and gravitational field ,Neither,0.0
3,three,0.0
The collapse of the Soviet Union ,The acceptance of many Eastern European countries into the EU,0.37499999999999994
],"False, True",0.0
weight,momentum,0.0
Buffy's fantasies indicate that she is not getting enough sex to keep her satisfied.,Buffy's fantasies are indicative of a paraphilia.,0.19047619047619047
"a sharp division between black and white castes, underpinned by beliefs about white superiority",a way of marking out the land so that black people had less space for housing,0.13333333333333333
constructive eviction.,partial constructive eviction.,0.8
less than water. ,none because it sinks.,0.0
the winning candidate receives more than 50% of the popular vote,the Senate declares the formal winner,0.23529411764705885
Use prepared statements,Merge tables,0.0
"Not wrong, Not wrong","Not wrong, Wrong",0.8571428571428571
"Not wrong, Not wrong ","Not wrong, Not wrong",1.0
51%,51%,1.0
Wireshark,BurpSuit,0.0
],Both of these,0.0
Active receivers are not uniformly affected by mass communication messages.,Audiences are more vulnerable and passive than ever before.,0.10526315789473685
they are actually coerced into having sex.,they are dominated by their partners insofar as they are not free to do as they please.,0.16666666666666666
in the nucleus.,in the cytosol.,0.6666666666666666
],virus,0.0
$25000 $75000,$100000 $0,0.0
],"define what is right by what they have learned from others, especially authority figures",0.0
16,7,0.0
Scenario 1,"Wrong, Wrong",0.0
patients are not able to process the material from the group in their individual sessions,screening procedures for patients may be ignored because a therapist is recommending the group experience,0.20000000000000004
A right basal pneumonia,Idiopathic fibrosing alveolitis,0.0
],Sfumato,0.0
],The Affordable Care Act of 2010,0.0
Scenario 2,"Wrong, Wrong",0.0
easement appurtenant.,easement in gross.,0.4
],cricothyroid membrane.,0.0
],his own will,0.0
],Extraneous variables,0.0
separatist groups. ,regionalist groups.,0.5
Treaties are agreements concluded between States in written form and governed by international law,Treaties are agreements concluded between States in written form governed either by international or domestic law,0.8666666666666666
Spouse ,Neighbors,0.0
Scenario 1,"Wrong, Wrong",0.0
],"8,000 books",0.0
P > ATC > MR = MC,P > MR = MC = ATC,0.75
],Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| w)H(k∥m∥w) for any ww,0.0
Equity will relieve Beeson of a bad bargain.,legal title remained in Sloan.,0.0
],64%,0.0
cannot coherently invoke morality to protect one's own interests.,is immoral.,0.0
social facilitation. ,norms.,0.0
"Not wrong, Not wrong","Not wrong, Wrong",0.8571428571428571
The US promoted the democratization of the Russian economy,The US supported public ownership of natural resources,0.35294117647058826
Beck Scale for Suicidal Ideation,Beck Hopelessness Scale,0.5
humans and chimpanzees are closely analogous,humans are related to chimpanzees but not to dogs,0.26666666666666666
Excavation,test pits,0.0
They are zero vectors.,They have different magnitudes and are pointed in opposite directions.,0.28571428571428575
],"proper, as tending to show the informer's bad character for truthfulness.",0.0
existence precedes essence,existence is a myth,0.28571428571428575
guns and butter.,war and peace.,0.3333333333333333
0,less,0.0
],"Yes, because Congress has the power to regulate property for the general welfare.",0.0
It used information obtained through experimentation to conceptualize the universe.,The ideas of the ancient Greeks guided all of their ideas.,0.09523809523809525
Russia developed a centralized bureaucracy.,Russia benefited by becoming the administrative center of Mongol political activity.,0.12500000000000003
sleeping,exercising,0.0
detecting the planet's light using a telescope,detecting the starlight reflected off the planet,0.2857142857142857
They have been excluded from the public sphere because they have been denied access to education.,industrial capitalism separated the middle class home from the workplace,0.15384615384615385
Talmud,Gemarah,0.0
Hiding the love note in the teenager's locker is clearly morally wrong.,"Wrong, Not wrong",0.13333333333333333
],Contradictory,0.0
1,[|ɣe| = 1.761 x 10^11 T^-1 s^-1],0.0
],II only,0.0
],"A defendant was a reporter for a newspaper and was sent on assignment to another state to cover the story of a mining disaster. He was sitting in his hotel room one evening, trying to get a message to his editor, when a victim knocked at the door. The defendant opened the door, and the victim announced a robbery. The defendant took a lamp from the night table and threw it at the victim. The victim was momentarily stunned, and the defendant then pulled a gun out of his own suitcase and shot the victim to death.",0.0
The bill dies.,The bill goes back to each house's committee and restarts the legislative process.,0.25
],I only,0.0
successful interrogation may not require torture.,endorsing a single act of torture requires endorsing torture as a practice.,0.1111111111111111
