Question,Label,Choosed_wrong_answer,True_answer
"Please fill in the [] in option A based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: Lombroso claimed that:
Options:
A: []
B: no act is intrinsically deviant
C: biological failings drove some people into crime
D: women were less likely to be arrested than men
Reply with answer only.
",criminals were socialized into an 'underworld' of crime,A,B
"Please fill in the [] in option B based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: Which of the following kinds of tests is most likely to be an achievement test?
Options:
A: an IQ test
B: []
C: an entrance exam for law school
D: a personality test based on the Big Five personality traits
Reply with answer only.
",a classroom test over a chapter in a textbook,B,A
"Please fill in the [] in option A based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: Which of the following is most likely a violation of ethical guidelines?
Options:
A: []
B: an advertisement offering a free initial therapy session that is published in the campus newspaper just prior to final exams
C: uninvited in-person solicitations for therapy of hurricane victims that destroyed their homes
D: a display ad for psychotherapy services in the yellow pages of the local telephone directory
Reply with answer only.
",a brochure containing client testimonials mailed to potential attendees at a conference for adult children of alcoholics,A,B
"Please fill in the [] in option B based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: A 73-year-old woman comes to the physician because of a 2-month history of diffuse weakness and tingling of her arms and legs. Neurologic examination shows weakness of the extensor and flexor muscles of the lower extremities. Knee and ankle deep tendon reflexes are exaggerated. Sensation to vibration and position is decreased in all extremities, but the decrease is more prominent in the lower extremities than in the upper extremities. This patient most likely has a deficiency of which of the following vitamins?
Options:
A: Vitamin B1 (thiamine)
B: []
C: Vitamin B6 (pyridoxine)
D: Vitamin B12 (cyanocobalamin)
Reply with answer only.
",Vitamin B2 (riboflavin),B,C
"Please fill in the [] in option B based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: A store owner noticed that an expensive electronic device was missing from the store. He assumed that a shoplifter had taken it. Later that day, the store owner was cleaning up the small room in the back of the store that the employees of the store used to store their personal items while they were at work. The store owner was straightening up the coat rack in the back room, when he accidentally knocked one of the employee's coats off the hanger. As the coat fell onto the floor, the missing electronic device fell out of the pocket of the coat. It was still in its original packaging, and the store owner checked the serial number on the package to confirm that it was the device missing from the store's shelves. The store owner knew that the coat belonged to a woman who worked as a cashier in the store. The store owner felt bad, but decided that he had no choice but to call the police. Two police officers arrived at the store. They gathered information from the store owner, who signed a criminal complaint against the woman. The officers then discussed the matter with the woman. Although she denied stealing anything, the officers arrested her and informed her that they would need to take her to the police station. After the police took the woman away, another employee of the store found out that the woman had been arrested. That employee immediately went to the store owner and admitted that he was actually the one who had stolen the device, and that he had hidden it in the woman's coat, intending to retrieve it later before the end of the woman's work shift. The store owner promptly called the police and told them that there had been a mistake and that the theft charge against the woman was invalid. The police released the woman, who spent a total of approximately 30 minutes in police custody. If the woman asserts a claim for false imprisonment against the arresting officers, will the woman prevail?
Options:
A: Yes, because the woman had not committed a crime at the time she was arrested.
B: []
C: No, because the woman was detained for only 30 minutes.
D: No, because the officers had probable cause to arrest the woman based on the store owner's complaint and honest belief that the woman had stolen the device.
Reply with answer only.
","Yes, because the woman was arrested and held in custody.",B,C
"Please fill in the [] in option C based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: Why do jovian planets bulge around the equator that is have a ""squashed"" appearance?
Options:
A: Their large systems of moons and rings gravitationally attract the mass around the equator more.
B: They are much more massive than the terrestrial planets.
C: []
D: Their internal heat sources exert a pressure against the sides of the planets.
Reply with answer only.
",Their rapid rotation flings the mass near the equator outward.,C,B
"Please fill in the [] in option C based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question:  Little argues that the norms governing the moral permission of abortion are
Options:
A: impersonal and categorical.
B: merely a matter of the mother's preferences.
C: []
D: none of the above.
Reply with answer only.
",a complex matter of the mother's personal integrity and her ideals about motherhood and creation.,C,B
"Please fill in the [] in option A based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: Which of the following was an important technique used by Abraham Maslow and the humanistic psychologists during therapy?
Options:
A: []
B: factor analysis
C: unconditional positive regard
D: somatotype theory
Reply with answer only.
",defense mechanisms,A,B
"Please fill in the [] in option B based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I backed up the boat into the lake. Scenario 2 | I helped the elderly lady off the ground for no reason.
Options:
A: Wrong, Wrong
B: []
C: Not wrong, Wrong
D: Not wrong, Not wrong
Reply with answer only.
","Wrong, Not wrong",B,C
"Please fill in the [] in option C based onyour benchmark knowledge.
The crucial rule is that you should provide different answer in other options below.
Question: Which of the following would be the most dependable environmental signal that a plant in a temperate ecosystem could use to initiate flowering at the correct time of the year?
Options:
A: Circadian rhythm
B: Photoperiod
C: []
D: Fluctuations in abscisic acid levels
Reply with answer only.
",Changing air temperature,C,A
