Question,First_half,Label
"Một nền kinh tế trong trạng thái  [MASKED]
A: Không còn lạm phát nhưng có thể còn thất nghiệp 
B: Không còn thất nghiệp nhưng có thể còn lạm phát
C: Không còn thất nghiệp và không còn lạm phát 
D: Vẫn còn một tỷ lệ lạm phát và tỷ lệ thất nghiệp nhất định
",Một nền kinh tế trong trạng thái ,toàn dụng nhân công có nghĩa là:
"Trong cơ chế tỷ giá hối đoái cố định,  [MASKED]
A: Dùng ngoại tệ để mua nội tệ 
B: Dùng nội tệ để mua ngoại tệ
C: Không can thiệp vào thị trường ngoại hối 
D: Các lựa chọn đều sai
","Trong cơ chế tỷ giá hối đoái cố định, ","muốn triệt tiêu lượng dư cung ngoại tệ, NHTƯ phải:"
"Theo lý thuyết của Keynes, những chính sách nào sau  [MASKED]
A: Giảm thuế và gia tăng số mua hàng hóa của chính phủ 
B: Tăng thuế và giảm số mua hàng hóa của chính phủ
C: Tăng thuế thu nhập và tăng số mua hàng hóa của chính phủ 
D: Phá giá, giảm thuế và giảm số mua hàng hóa của chính phủ
","Theo lý thuyết của Keynes, những chính sách nào sau ",đây thích hợp nhất nhằm giảm tỷ lệ thất nghiệp:
"Chính sách nào của chính phủ sẽ  [MASKED]
A: Giảm thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và giảm thâm hụt 
B: Giảm thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và tăng thâm hụt
C: Tăng thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và giảm thâm hụt 
D: Tăng thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và tăng thâm hụt
",Chính sách nào của chính phủ sẽ ,làm kinh tế tăng trưởng nhiều nhất
"Nếu những người cho vay và đi vay thống nhất về một mức lãi suất danh nghĩa nào  [MASKED]
A: Người đi vay sẽ được lợi và người cho vay bị thiệt 
B: Người cho vay được lợi và người đi vay bị thiệt
C: Cả người đi vay và người cho vay đều không được lợi vì lãi suất danh nghĩa được cố định theo hợp đồng 
D: Các lựa chọn đều không đúng
",Nếu những người cho vay và đi vay thống nhất về một mức lãi suất danh nghĩa nào ,đó và lạm phát trong thực tế lại thấp hơn so với mức mà họ kỳ vọng thì:
"Hàm số tiêu dùng: C = 20 + 0,9 Y (Y:thu  [MASKED]
A: S = 10 
B: S = 0
C: S = -10 
D: Không thể tính được
","Hàm số tiêu dùng: C = 20 + 0,9 Y (Y:thu ",nhập). Tiết kiệm S ở mức thu nhập khả dụng 100 là:
"Tác động “hất ra” (hay còn gọi là tác  [MASKED]
A: Tăng chi tiêu của chính phủ làm giảm lãi suất, dẫn tới tăng đầu tư, làm tăng hiệu lực kích thích tổng cầu 
B: Tăng chi tiêu của chính phủ làm tăng lãi suất, dẫn tới giảm đầu tư, làm giảm hiệu lực kích thích tổng cầu
C: Giảm chi tiêu của chính phủ làm tăng lãi suất, dẫn tới giảm đầu tư, làm giảm hiệu lực kích thích tổng cầu 
D: Giảm chi tiêu của chính phủ, làm giảm lãi suất, dẫn tới tăng đầu tư, làm tăng hiệu lực kích thích tổng cầu
",Tác động “hất ra” (hay còn gọi là tác ,động lấn át) của chính sách tài chính là do:
"Theo lý thuyết xác định sản lượng (được minh họa bằng đồ thị có đường 450), nếu  [MASKED]
A: Các doanh nghiệp sẽ giảm sản lượng để giải phóng thặng dư tồn kho so với mức tồn kho dự kiến 
B: Các doanh nghiệp sẽ tăng hoặc giảm sản lượng tuỳ theo tình hình tồn kho thực tế là ít hơn hay nhiều hơn mức tồn kho dự kiến
C: Các doanh nghiệp sẽ không thay đổi sản lượng vì tồn kho thực tế đã bằng mức tồn kho dự kiến 
D: Các doanh nghiệp sẽ tăng sản lượng để bổ sung tồn kho cho đủ mức tồn kho dự kiến
","Theo lý thuyết xác định sản lượng (được minh họa bằng đồ thị có đường 450), nếu ",tổng chi tiêu kế hoạch (tổng cầu dự kiến) lớn hơn GDP thực (hoặc sản lượng) thì:
"Mở rộng tiền tệ  [MASKED]
A: Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách giảm thuế, tăng trợ cấp xã hội, hoặc tăng chi tiêu ngân sách 
B: Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách tăng lãi suất chiết khấu, tăng tỷ lệ dự trữ bắt buộc, hoặc bán ra chứng khoán nhà nước
C: Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách hạ lãi suất chiết khấu, giảm tỷ lệ dự trữ bắt buộc, hoặc mua các chứng khoán nhà nước 
D: Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách phát hành trái phiếu chính phủ
",Mở rộng tiền tệ ,(hoặc nới lỏng tiền tệ):
"Sản lượng tiềm năng (sản lượng  [MASKED]
A: Mà tại đó nếu tăng tổng cầu thì lạm phát sẽ tăng nhanh 
B: Mà tại đó nền kinh tế còn tỷ lệ thất nghiệp thấp nhất
C: Tối đa của nền kinh tế 
D: Các lựa chọn đều đúng
",Sản lượng tiềm năng (sản lượng ,toàn dụng) là mức sản lượng:
