,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what country's context [MASKED]
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: When the Tay Son dynasty collapsed"," did the Tay Son dynasty collapse?
### Choices:
A: When the Le-Trinh dynasty collapsed 
B: When Trinh Sam ascended the throne
C: Nguyen Hue ascended the throne 
D: When the Tay Son dynasty collapsed ",was the edict issued?,0.04444444552063942
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The answer does not correctly reflect [MASKED]
### Choices:
A: Scholars who hide their names waste their talents. 
B: Officials keep to themselves and do not dare to speak frankly.
C: Many talented people are still unwilling to help the country. 
D: Many people admired King Quang Trung's talent and recommended him.", the talents of many people who are still unwilling to help the country. ,the attitude of the Northern scholars:,0.30000001192092896
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the excerpt [MASKED]
### Choices:
A: Works of the New Poetry movement. 
B: Spirit of New Poetry
C: Vietnamese realism. 
D: Art for humanity"," ""The New Poetry movement"" mean?
A: Works of the New Poetry movement.
B: Spirit of New Poetry
C: Vietnamese realism.
D: Art for humanity ","""An era in poetry"" discuss?",0.0625
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The poetic soul ""heroic"", Hoai Thanh used to refer [MASKED]
### Choices:
A: Luu Trong Lu 
B: Nguyen Binh
C: Huy Thong 
D: Nguyen Nhuoc Phap", to Luu Trong Lu. ,"to which poet in the article ""An era in poetry""?",0.13333334028720856
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: ""Strange"" poetic soul, Hoai Thanh used to refer to [MASKED]
### Choices:
A: Xuan Dieu 
B: Huy Can
C: Che Lan Vien 
D: Han Mac Tu", Xuan Dieu. ,"which poet in the article ""An era in poetry""",0.0
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In what method is the [MASKED]
### Choices:
A: Discussion 
B: Narrative
C: Expression 
D: Politics"," [MASKED]
### Choices:
A: Discussion 
B: Narrative
C: Expression 
D: Politics ","excerpt ""I have a dream"" written?",0.10526315867900848
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The phrase ""rustic"" poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: Nguyen Nhuoc Phap 
B: Nguyen Binh
C: Luu Trong Lu 
D: To Huu", to the poetry of Nguyễn Bính. ,"to which poet in the article ""An era in poetry""",0.3333333432674408
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The word ""pure"" in poetry, Hoai Thanh used to refer [MASKED]
### Choices:
A: The Lu 
B: Luu Trong Lu
C: Nguyen Nhuoc Phap 
D: Nguyen Binh", to the Lu. ,"to which poet in the article ""An era in poetry""?",0.3076923191547394
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: In “A Poetic Era”, Hoai Thanh wrote: “Our life lies in the word I. Losing breadth, we seek depth. But the further we go, the colder we feel”. This is [MASKED]
### Choices:
A: The Lu 
B: Xuan Dieu
C: Luu Trong Lu 
D: Han Mac Tu", Han Mac Tu. ,"Hoai Thanh’s assessment of the poetic soul of the “New Poetry” writers in the declining period. The phrase “but the fairy cave has closed”, which poet does he refer to?",0.0
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the ""seeking [MASKED]
### Choices:
A: Good-natured person 
B: Talented person
C: virtuous person 
D: A person of virtue and talent"," [MASKED]"" in the following sentence?

A: Good-natured person 
B: Talented person
C: virtuous person 
D: A person of virtue and talent ","the wise"" aimed at here?",0.06666667014360428
10,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who is the author of [MASKED]
### Choices:
A: Alexander Sergeyevich Pushkin 
B: Martin Luther King
C: Rabindranath Tagore 
D: Victor Hugo"," ""The Raven""?
A: Edgar Allan Poe
B: William Shakespeare
C: John Keats
D: Robert Frost ","the excerpt ""I have a dream""?",0.12121212482452393
11,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: What does the sentence ""The appearance of a wise man [MASKED]
### Choices:
A: Northern talents are as numerous as the stars in the sky. 
B: The virtuous people who followed Quang Trung were as numerous as the stars in the sky.
C: Good people in Bac Ha are very rare. 
D: Compare talented people to stars. Emphasize the position and role of talented people."," [MASKED]
B: The virtuous people who followed Quang Trung were as numerous as the stars in the sky. ","in life is like a bright star in the sky"" convey?",0.19354838132858276
12,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The excerpt “I have [MASKED]
### Choices:
A: Breakfast with diamonds 
B: Our Man in Havana
C: Walk to Freedom, The Montgomery Story 
D: A bear named Paddington, with illustrations by Peggy Fortnum"," [MASKED]

A: Breakfast with diamonds 
B: Our Man in Havana
C: Walk to Freedom, The Montgomery Story 
D: A bear named Paddington, with illustrations by Peggy Fortnum ",a dream” is in:,0.10256410390138626
13,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Who did the first [MASKED]
### Choices:
A: Miss Manh Manh 
B: Nguyen Thi Binh
C: Truong My Hoa 
D: Ho Xuan Huong"," [MASKED]?
### Choices:
A: Miss Manh Manh 
B: Nguyen Thi Binh
C: Truong My Hoa 
D: Ho Xuan Huong ",female reporter write about?,0.0
14,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Mrs. Kiem began [MASKED]
### Choices:
A: Famous for his speeches, writings on gender equality and new poetry 
B: Write poetry
C: Write an article to support new poetry 
D: Write", writing poetry. ,to become famous when:,0.0
