Threshold:0.0, retain_rate:0.20966666666666667, average:0.0
Threshold:0.05, retain_rate:0.31166666666666665, average:0.012291145588865087
Threshold:0.1, retain_rate:0.532, average:0.03861827149618184
Threshold:0.15000000000000002, retain_rate:0.7423333333333333, average:0.06296386433261549
Threshold:0.2, retain_rate:0.8853333333333333, average:0.08072051239718028
Threshold:0.25, retain_rate:0.949, average:0.09029589863263338
Threshold:0.30000000000000004, retain_rate:0.973, average:0.0948777772112986
Threshold:0.35000000000000003, retain_rate:0.9856666666666667, average:0.09783173522378551
Threshold:0.4, retain_rate:0.992, average:0.0996317611718016
Threshold:0.45, retain_rate:0.9943333333333333, average:0.10038571434587537
Threshold:0.5, retain_rate:0.9976666666666667, average:0.10165834510920317
Threshold:0.55, retain_rate:0.9993333333333333, average:0.10236379795296137
Threshold:0.6000000000000001, retain_rate:1.0, average:0.10267121679665409
Threshold:0.65, retain_rate:1.0, average:0.10267121679665409
Threshold:0.7000000000000001, retain_rate:1.0, average:0.10267121679665409
Threshold:0.75, retain_rate:1.0, average:0.10267121679665409
Threshold:0.8, retain_rate:1.0, average:0.10267121679665409
Threshold:0.8500000000000001, retain_rate:1.0, average:0.10267121679665409
Threshold:0.9, retain_rate:1.0, average:0.10267121679665409
Threshold:0.9500000000000001, retain_rate:1.0, average:0.10267121679665409
