predict,label,score
Đi thoát lại giữa các bạn và tránh tình huống đánh.,Cùng với A đánh B cho vui.,0.25
"Đứng tránh lính, tránh tai nạn và tránh những người không có lợi nhuân.",Đèo em bé đó đến gặp công an.,0.125
Động gi lif,Không tôn trọng lẽ phải.,0.08699999749660492
Đáp án trên,"Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.11760000139474869
Đội thúc.,Khiêm tốn.,0.0
Đàn ếch nhà hàng xóm.,Sang đánh nhà hàng xóm.,0.7407000064849854
Đồng tích hợp với người khác và cùng hợp tại một cuộc họp.,Tự nhận lỗi về mình,0.1429000049829483
"Cười người hôm trước, hôm sau người cười",Lời nói không mất tiền mua,0.1777999997138977
Định nghĩa về tinh thần.,Lòng vị tha.,0.17389999330043793
Độ tinh thần.,Liêm khiết.,0.0
Điều lệ.,Công bằng.,0.0
"Đảm bảo an toàn, sự trọng tâm, và bảo hộ trong hệ thống thiếu niên.",Giúp cho mọi người tôn trọng nhau hơn.,0.13109999895095825
ở trên trời có cá thể,Phép vua thua lệ làng,0.08330000191926956
"Đẩy tình yêu cầu cảm thấy tích của, sự đồng hành và động vi trong gia đình.",Giúp cho mọi người gần nhau hơn.,0.11110000312328339
Độ tuộc.,Tình đồng chí.,0.25
"Đồng cảm, đồng bội sâu sắc với nhau.",Phù hợp với nhau về quan niệm sống.,0.26089999079704285
"Ý kiến: Tình bạn có thể trong sáng, lành mạnh giữa hai người khác giống nhau.",Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.2632000148296356
"Đầu tiên, D có thể nhắc nhỏ bạn, khuyên bạn không vi phạm kỉ luật này, sau đó nhờ bạn D cho xem tài liệu cùng, đồng thời giúp bạn nhằm tránh vi phạm kỉ luật này trong giờ kiểm tra.",Nói với cô giáo để bạn bị phạt.,0.16300000250339508
Đồng thái và kính thưởng viên trong nhân thể của gia đình bà E.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.2563999891281128
,Nhà nước.,0.0
"Đột tránh, bức huyết trầm cảnh, sự nghèo, tràn trùng, tránh tránh sự nghiệp.","Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.1298999935388565
"Động vi convictions, chiến tranh chiếm đất.","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.18870000541210175
Đồn xã hội.,Vi phạm quy chế.,0.0
Điều hạn.,Cảnh cáo.,0.13330000638961792
Đẩm thuế.,Phạt tù.,0.0
30 phút.,1 tuần.,0.20000000298023224
β2-thalassemia,Cúm gà.,0.0
Ảnh khô thẳm,Sút cân trên 10% trọng lượng cơ thể.,0.125
