Question,A,B,C,D,Answer,Grade
" During recess, A teased and hit B, causing him to bleed and break his teeth. No one in the class said anything because they were afraid A would hit him. What would you do in this situation?", Tell the homeroom teacher to find a solution., Ignore it because it has nothing to do with me., Play B with A for fun., Go play somewhere else., A,
" On the way home from school, I saw a young man speeding on a motorbike and causing an accident, breaking a student's arm. What would you do in that situation?", Ignore it and pretend you don't know.," With the help of an adult, take the baby to the hospital and call the baby's family.", Take that baby to the police., Pedal home quickly., B,
" What does the proverb: ""Follow the wind"" say about people?", No respect for reason., dishonest, immature, Unconscious., C,
 I practice integrity in studying is:, Enthusiastically help people without calculation or self-interest, Get rich with your own strength and talent, Pick up lost property and return it to its owner., All of the above, D,
" Not greedy for fame, not greedy for profit, not petty, selfish is called?", Integrity., Fair., Right., Modest., A,
" At 12 o'clock at night, the neighbor's house is still playing karaoke music. In this situation, what would you do?", Whatever., Go beat up the neighbor., Go scold the neighbor., Go to the neighbor's house and advise them to turn off the machine because it's late at night so everyone can sleep., D,
 Which of the following behaviors shows disrespect for others:,Walk softly and speak softly in the hospital.," Mocking, mocking people with disabilities.", Know how to listen to everyone's opinions., Take the blame on yourself, B,
 Some folk songs and proverbs about respecting others:, It is difficult to know reason and words. Knowing how to behave and behave is better than the rich.," Words do not cost money, choose your words carefully to please each other."," Laugh at others today, tomorrow others will laugh at you", All of the above, D,
"Proverb: Keep your word, don't be like a butterfly that lands and then flies away, saying something else.", Loyalty., Loyalty., Keep your word., Altruism., C,
" Respecting people's trust in you, knowing how to keep promises and trusting each other is called?", Integrity., Fair., Right., Keep your word., D,
 What are the rules and conventions in a group or community of people on a smaller scale called?, Integrity., Fair., Law., Discipline., D,
 What do laws and regulations mean to people?, Help everyone have a common standard for training and unity in activities., Bringing people closer together., Help people respect each other more., Help people improve themselves., A,
 The folk song shows respect for law and discipline.," Land has borders, hometown has customs", The king's law is weaker than the village's custom.," I love you, I keep it in my heart. I do my official duties as I please."," A, B, C", D,
" What does a pure, healthy friendship mean?"," Helps people feel warm, confident, love life and improve themselves.", Bringing people closer together., Help people respect each other more., Make people happier, A,
" The emotional attachment between two or more people based on compatibility in personality, interests, and ideals is called?", Love., Friendship., Comradeship., Fraternity., B,
" What are the characteristics of a pure, healthy friendship?", Equality and mutual respect., Compatible with each other in terms of life philosophy.," Sympathy, deep empathy with each other."," Both A, B, C.", D,
 Which of the following opinions about friendship do you disagree with?," Pure, healthy friendship cannot be one-sided.", Friends must protect each other in all situations., Know how to criticize each other in all situations.," It is possible to have a pure, healthy friendship between two people of the opposite sex.", C,
" is E's best friend. During the 15-minute test, E didn't study the old lesson so he secretly opened his book to copy. If you were D, what would you do?"," Remind you, advise you not to do so because it violates discipline.", Thanks D for showing me the document., Ignore it because it has nothing to do with me., Tell the teacher so you get punished., A,
" On major holidays of the year, village X often organizes cultural, artistic, physical education and sports exchange activities to celebrate; Mrs. E's family often does not participate because they think it is a waste of time. What do you think about Mrs. E's family?", Mrs. E's family does not actively participate in political and social activities.,Mrs. E's family actively participates in political and social activities., Mrs. E's family lives selfishly., Mrs. E's family lives indifferently., A,
 Which agencies and organizations manage political organizations?, State., Communist Party of Vietnam.," Not managed by any agency or organization, operating freely.", Both A and B., D,
 What are the effects of social evils?," Affects human health, spirit and morality.", Destroy family happiness.," Social disorder, ethnic degradation."," Both A, B, C.", D,
 What are the types of social evils?," Corruption, unhealthy gaming addiction."," Child molestation, theft, fraud."," Drugs, prostitution."," Both A, B, C.", D,
" Social evils are social phenomena that include behaviors that deviate from social norms, violate ethics and the law, causing serious consequences in all aspects of social life. What is called?", Social evils, Violation of the law.,ethical violation, Violation of rules., A,
 What is the highest form of punishment for violating the law?, Death penalty., Life together., Imprisonment., Warning., A,
What form of punishment is applied to children under 14 years old who violate the law?,Sent to reform school for 1 year from the date of violation., Warning., Imprisonment., Advice., D,
 What is the best time to prevent HIV/AIDS infection?, 1 hour., 1 week, Immediately after the first 2-3 hours., 1 month., C,
 What is the name of the virus that causes immunodeficiency in humans?, HIV, AIDS., Ebola., Bird flu., A,
 What are the main clinical signs of HIV/AIDS?, Weight loss of more than 10% of body weight., Fever lasting more than 1 month., Diarrhea lasting more than 1 month.," Both A, B, C.", D,
 HIV virus is transmitted through:, Eating and drinking from the same cup or bowl with someone infected with HIV, Mosquitoes and insects suck blood from people infected with HIV and then inject healthy people.," Cough, sneeze", Smoking and drinking alcohol with people infected with HIV, D,
 What are the measures to prevent and control HIV/AIDS?, Propaganda to everyone about the harmful effects of drugs so that everyone can prevent them., Participate in local prevention and control activities.," Do not trade, transport or store drugs."," Both A, B, C.", D,
" Which agencies and organizations are allowed to research, manufacture, produce, trade, export, import, and repair weapons?", Organizations and enterprises under the Ministry of National Defense and the Ministry of Public Security., Individual., Private company., Reactionary organization., A,
" Which of the following actions does not comply with regulations on preventing accidents involving weapons, fires, explosions and toxic substances?", Use homemade guns., Saw mines to get explosives., Use knife to fight.," Both A, B, C.", D,
 What are the cases of military gunfire when performing tasks to ensure security and order?," The subject is using weapons, explosives, force or other tools and means to attack or resist, threatening the life or health of a law enforcement officer or other person."," The subject is using weapons, explosives, force or other tools and means to disturb public order and threaten the life, health and property of others."," When knowing clearly that the subject is committing a serious crime, very serious crime, or especially serious crime."," Both A, B, C.", D,
 Pesticides and rat poison are, Weapon, Toxic, Waste, Explosive, B,
 Possession includes?, Owner's possession., Possession by a person other than the owner., Complete possession and incomplete possession., Both A and B., D,
"When Mr. A lets his daughter inherit a piece of land in his name, what right does he exercise?", Right of use., Right of disposal., Possession., Dispute rights., B,
 The State … the legal ownership of citizens. What is in the “…”?, Acknowledge and take responsibility., Protection and responsibility., Recognition and guarantee., Recognition and protection., D,
 State responsibilities include:, Recognize in the Constitution and legal documents the ownership rights of citizens.,Prescribe measures and forms of handling of acts of infringement of property rights..., Propaganda and education of citizens on how to protect their property rights and respect the property rights of others.,All of the above answers are correct., D,
 Production of material wealth is a process., Create material wealth., Social production., Humans act on nature to create products that suit their needs.," Create food, clothing, create means of production.", C,
 One of the roles of material wealth production is, The basis of social existence., Create material and spiritual values, Help people have jobs., Promote economic growth., A,
 The production of material wealth plays a decisive role.,All social activities., Number of goods in society, Workers' income., Work of workers., A,
" Among the factors constituting the means of labor, which of the following factors is the most important?", Infrastructure of production.,Tools of labor.,Production tank system., Facilities., B,
 Which of the following factors plays the most important and decisive role in the production process?, Labor object., Labor, Labor materials., Modern machinery., B,
 What conditions are required for a product to become a commodity?, Two conditions, Four conditions, Three conditions, One condition, C,
 Goods have two attributes:, Value and price, Exchange value and use value, Price and value in use, Value and use value, D,
 The value of goods is realized when, Producers supply goods that meet the needs of consumers., Producers bring goods to market for sale., Producers bring goods to market and sell them., Producers can supply goods with many uses., C,
 Which of the following items is not a commodity?, Electricity, Tap water, Air, Vegetables grown for sale, C,
"Fairness, impartiality, handling work with reason, putting the common interest above personal interest are manifestations of character.", Impartial, Tolerant," Self-motivated, creative", Autonomy, A,
 What is the expression of not being impartial?," At work, favor family over outsiders.", Give more work to men than women.," Only punish students who violate the law, not students who are teachers' grandchildren."," Both A, B, C.", D,
 A fair and impartial person is one who always lives," selfish, narrow-minded"," trickery, profiteering"," which way the wind blows, which way it goes."," fair, just", D,
" Being impartial, dealing with things fairly, starting from the common good, and putting the common good above personal interests is called?", Humility, The virtue of thrift, Honesty, Impartiality, D,
 Which of the following opinions shows impartiality?, Always follow the majority opinion to be fair and impartial., Class officers are of course impartial people., It is necessary to frankly criticize other people's mistakes so that they can correct them., Never point out other people's faults in front of a group., C,
" After school hours, E takes advantage of his time to go to the fields to catch crabs to earn money to pay for extra classes. What does that do?", I am an independent person., I am an honest person., I am an honest person., I am a humble person., A,
 Which of the following manifestations shows lack of self-control?," Be gentle, soft and polite when dealing with work.", Calm down and make the right decisions.," Or hot pot, quarrel, fight with people around.", Don't be discouraged or desperate when facing difficulties., C,
" A classmate playfully broke a very meaningful thing of mine. As an independent person, I will", Report to the teacher., Calmly talk to you., Require you to buy the item in return., Think of a way to get back at you., B,
"On the way home from school, N encountered a terrible traffic accident. On the road, there were people bleeding profusely and a child with a broken leg. In that situation, N and everyone helped take them to the hospital and called their families to inform them. What does that action show?", N is an independent person., N is an honest person., N honest people., N is a person who respects others., A,
 Which proverb expresses self-control?, Learning from a teacher is not as good as learning from a friend., Ants carry for a long time and the nest will be full.," Little by little, something becomes something."," No matter what people say, my heart is still as steady as a tripod.", D,
" The saying ""The wind blows in any direction"" is about a person without character.", Autonomy, Creative, Dynamic, Hardworking, A,
" The teacher gave homework in Math, B read and thought for a long time but couldn't do it so B went online to find the solution and copied the solution as if he had finished his homework. What kind of person is B?", B is a dishonest person., B is not a straightforward person., B is a person without self-control., B is not a confident person., C,
 Which of the following behaviors violates student discipline?, Go to school on time, Absent from school without permission., Quit work without notice., Speaking at class meetings., B,
" People are in charge of the collective work of society, are able to contribute opinions, and supervise common work. This is called?", Humble, Democracy, Honest, Discipline., B,
"In the discussion session to build a plan for extracurricular activities for the class, which of the following actions does not promote students' democracy and discipline?", Let the class officer decide.,Actively propose ideas, Respect the collective opinion,Actively participate in class activities., A,
