Threshold:0.0, retain_rate:0.03133333333333333, average:0.0
Threshold:0.05, retain_rate:0.14933333333333335, average:0.026856378364616098
Threshold:0.1, retain_rate:0.5213333333333333, average:0.060067675359978395
Threshold:0.15000000000000002, retain_rate:0.7853333333333333, average:0.08152404504817044
Threshold:0.2, retain_rate:0.938, average:0.0962570092565628
Threshold:0.25, retain_rate:0.9876666666666667, average:0.10254936043251552
Threshold:0.30000000000000004, retain_rate:0.9983333333333333, average:0.10438340135108101
Threshold:0.35000000000000003, retain_rate:0.9996666666666667, average:0.10468492161099319
Threshold:0.4, retain_rate:1.0, average:0.10476767369594639
Threshold:0.45, retain_rate:1.0, average:0.10476767369594639
Threshold:0.5, retain_rate:1.0, average:0.10476767369594639
Threshold:0.55, retain_rate:1.0, average:0.10476767369594639
Threshold:0.6000000000000001, retain_rate:1.0, average:0.10476767369594639
Threshold:0.65, retain_rate:1.0, average:0.10476767369594639
Threshold:0.7000000000000001, retain_rate:1.0, average:0.10476767369594639
Threshold:0.75, retain_rate:1.0, average:0.10476767369594639
Threshold:0.8, retain_rate:1.0, average:0.10476767369594639
Threshold:0.8500000000000001, retain_rate:1.0, average:0.10476767369594639
Threshold:0.9, retain_rate:1.0, average:0.10476767369594639
Threshold:0.9500000000000001, retain_rate:1.0, average:0.10476767369594639
