predict,label,score
unethically,unethically by accepting dual roles.,0.33333333333333337
"The framing of terrorism as warfare, crime, or disease will shape the government's response.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.09638554216867469
hearsay,hearsay.,1.0
"No, international law generally takes precedence over domestic law.",Only customary international law prevails over domestic law,0.5882352941176471
premenstrual dysphoric disorder (PMDD),generalized anxiety disorder,0.28571428571428575
tan⁻¹(1/2),cos–1 (1/g),0.0
Recombination with other poliovirus strains,Recombining with another enterovirus,0.22222222222222224
signing of the Geneva Accords,mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.26666666666666666
The seller may be entitled to a portion of the down payment as restitution for the minor's use of the car.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.2926829268292683
Anaerobic Respiration,Calvin cycle,0.0
Political pressure from domestic industries,Regime type,0.0
"True, False","False, True",0.5
To provide a direct airway when the upper airway is obstructed.,Prior to neck surgery.,0.13333333333333333
"$45,000. 00","$55,000. 00",0.5
a densely populated area with a high concentration of buildings and infrastructure.,the central city and its hinterlands.,0.1111111111111111
"Corporate social responsibility reporting, Financial accounting","Financial accounting, Environmental management initiatives",0.3636363636363636
0.05 J,0.005 J,0.5
prevents backflow of blood from the right ventricle to the right atrium.,is a semilunar valve,0.0
amplifies specific DNA sequences,was used to demonstrate DNA as the genetic material,0.15384615384615383
"Scenario 1, Scenario 2","Wrong, Wrong",0.0
more mixed,useful,0.0
the balanced budget mandate,Medicare and Medicaid,0.0
Both the governor approves of it and the board of trustees recommends it,The governor approves of it.,0.5555555555555556
The decision paved the way for the Civil Rights Movement to gain momentum and achieve further legal victories.,"In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.1212121212121212
the influence of Enlightenment thought on historical interpretation,the hatred of all things Roman by British scholars in the eighteenth century,0.1904761904761905
Increasing the temperature,Decreasing the solubility of the gas in water,0.18181818181818182
Interacting with an antigen presented by an antigen-presenting cell (APC),Interacting with a plasma cell,0.4
"Sarah, a 17-year-old Caucasian female, who is preoccupied with her weight and body image, and frequently diets.","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.2926829268292683
125,144,0.0
the fertile valleys of the Yellow and Yangtze Rivers.,external influences originating from the Indus Valley.,0.125
Green,Steps,0.0
Scenario 2,"Wrong, Wrong",0.0
The ,The buccal nerve,0.5
cerebral cortex,visual system,0.0
Option II,Option II if it wants to maximize expected return,0.3636363636363636
are based on mutual respect and recognition of others as rational agents.,make take into account the interests of all sentient beings.,0.0909090909090909
"The resident would succeed, because the logging company's activity constituted a commercial purpose and violated the condition of the grant.","The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.4285714285714286
$82,$85,0.0
It demonstrated the importance of the frontal lobe in personality and social behavior.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.18749999999999997
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.1818181818181818
1.69:1,6:5,0.0
"Measles, Mumps, and Rubella (MMR)",Hepatitis,0.0
Vascular dementia,Amyotrophic lateral sclerosis,0.0
"Right, Wrong","Not wrong, Wrong",0.4
Immersion/Emersion,Introspection,0.0
Ethical considerations regarding consent and representation,Any risk of invasion of privacy,0.0
turkey,mulligan,0.0
"Wrong, Not Wrong","Wrong, Not wrong",1.0
Vitamin E,Vitamin A,0.5
kinetic energy of both the alpha particle and the neutron.,gamma radiation.,0.0
Availability of skilled labor,Availability of sufficient rainfall,0.5
they will disagree morally only if they disagree about the facts of the case.,they will share all the same moral opinions.,0.2727272727272727
],Lafayette,0.0
Carla,Diane,0.0
"The net force is zero, because the puck is moving with constant velocity.","The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.3888888888888889
Interest rates increase and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,0.7142857142857143
RC circuit,RC circuit.,1.0
accumulated wealth and social standing through industrial and financial success,participated in the same leisure pursuits and events of the 'social calendar',0.1818181818181818
28,17,0.0
Saline-soaked gauze,Foam stick.,0.0
G. Evelyn Hutchinson and Charles Elton,Matthias Schleiden and Theodor Schwann,0.1818181818181818
saving increases by more than $X,consumption increases by more than $X .,0.8333333333333334
They provide a favorable microenvironment for the reaction to occur.,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",0.29629629629629634
New buys,Buyphases.,0.0
arguing that it violates the fetus's right to have a future,appealing to the fact that a fetus is biologically human and arguing that it is presumptively morally wrong to kill biologically human beings.,0.2352941176470588
"Scenario 1, Scenario 2","Not wrong, Wrong",0.0
an unhealthy soul,worldly wisdom,0.0
"Scenario 1, Scenario 2","Wrong, Wrong",0.0
1 - (1/2^4 + 1/2^5 + 1/2^6),1/64,0.0
72 ÷ 9 = [],72 – 9 = 63,0.5714285714285715
Southeast Asia,Europe,0.0
],Prescribe sertraline,0.0
systematic desensitization,modeling,0.0
cycle,wavelength,0.0
"Not wrong, Wrong","Not wrong, Wrong",1.0
equity initiatives,bills of attainder,0.0
Focusing solely on financial reporting risks.,Establishing a foundation for monitoring.,0.0
Develops through a series of distinct stages,Cannot be rationalized in every instance,0.0
Lm • ¬(Lj ∧ Ll),Lm ∨ ~(Jl ∨ Ll),0.4000000000000001
Verbal fluency,Mental rotation,0.0
Driving,Alone,0.0
misrepresenting someone's argument to make it easier to attack,responding to an argument with an expression of derision instead of a counter argument,0.08695652173913043
Scenario 2,"Wrong, Wrong",0.0
