Threshold:0.0, retain_rate:0.38133333333333336, average:0.0
Threshold:0.05, retain_rate:0.3863333333333333, average:0.00048341257735414725
Threshold:0.1, retain_rate:0.43433333333333335, average:0.00938956186274218
Threshold:0.15000000000000002, retain_rate:0.5, average:0.024600715820306752
Threshold:0.2, retain_rate:0.5813333333333334, average:0.04601691922404406
Threshold:0.25, retain_rate:0.643, average:0.06383632505931261
Threshold:0.30000000000000004, retain_rate:0.6846666666666666, average:0.07682129431352654
Threshold:0.35000000000000003, retain_rate:0.7283333333333334, average:0.09188719681745022
Threshold:0.4, retain_rate:0.7613333333333333, average:0.10449971981305436
Threshold:0.45, retain_rate:0.7786666666666666, average:0.11158397376689415
Threshold:0.5, retain_rate:0.839, average:0.13909183670035702
Threshold:0.55, retain_rate:0.848, average:0.14326954439040818
Threshold:0.6000000000000001, retain_rate:0.8596666666666667, average:0.14918620996626084
Threshold:0.65, retain_rate:0.8643333333333333, average:0.15173910651060996
Threshold:0.7000000000000001, retain_rate:0.8916666666666667, average:0.1675775742422348
Threshold:0.75, retain_rate:0.8993333333333333, average:0.17246578943316043
Threshold:0.8, retain_rate:0.9156666666666666, average:0.18355895361827904
Threshold:0.8500000000000001, retain_rate:0.9213333333333333, average:0.18745947507839772
Threshold:0.9, retain_rate:0.9356666666666666, average:0.1977654563872193
Threshold:0.9500000000000001, retain_rate:0.937, average:0.19879243115634887
