Question,A,B,C,D,Answer,Grade
Mạch truyện diễn biến theo trình tự thời gian nào?,Hiện tại - quá khứ,Hiện tại - tương lại,Hiện tại - quá khứ - hiện tại,Hiện tại - quá khứ - tương lai,A,Ngữ văn 8
Quê hương của Thanh Tịnh là ở đâu?,"Ven sông Hương, thành phố Huế","Ven sông Hồng, thành phố Hà Nội","Ven sông Đuống, Gia Lâm (Hà Nội)",Một tỉnh thuộc đồng bằng Bắc Bộ,A,Ngữ văn 8
Tôi đi học của Thanh Tịnh được viết theo thể loại nào?,Bút kí,Truyện ngắn trữ tình,Tiểu thuyết,Tuỳ bút,B,Ngữ văn 8
"Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?",Lần ấy trường đối với tôi là một nơi xa lạ,"Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ","Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập","Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ",D,Ngữ văn 8
Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?,Ngoại hình,Tính cách,Tâm trạng,Hành động,B,Ngữ văn 8
Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?,A. Nhân hóa.,B. So sánh.,C. Điệp ngữ.,D. Ẩn dụ.,D,Ngữ văn 8
Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?,Nhan đề của văn bản,Quan hệ giữa các phần của văn bản,"Các từ ngữ, câu then chốt trong văn bản",Cả ba yếu tố trên,D,Ngữ văn 8
"Sức cuốn hút của tác phẩm ""Tôi đi học"" là:",Bản thân tình huống truyện.,"Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.","Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả.","Cả A, B, C.",D,Ngữ văn 8
Nhân vật chính trong văn bản 'Tôi đi học’ là ai?,Người mẹ,Người thầy giáo,Ông đốc,Nhân vật ‘tôi’,D,Ngữ văn 8
"Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?",Tự sự,Miêu tả,Biểu cảm,"Kết hợp cả A, B, C",D,Ngữ văn 8
"Đặc sắc nghệ thuật của truyện ngắn ""Tôi đi học""?","Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường.","Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.",Cả A và B đúng,Cả A và B sai,C,Ngữ văn 8
Hai câu văn sau trong tác phẩm “Tôi đi học” đã thể hiện những đức tính gì của ông đốc và thầy giáo trẻ?,Rất vui vẻ.,Hết lòng săn sóc và thương yêu học sinh.,Rất hiền hậu.,Cả 3 ý trên đều đúng,D,Ngữ văn 8
