predict,label,score
"unethically, as this dual role can create a conflict of interest and may compromise her objectivity.",unethically by accepting dual roles.,0.3077000081539154
"Governments may employ a range of measures, including military action, law enforcement, and intelligence gathering, depending on their perspective on terrorism.",],0.0
hearsay.,hearsay.,1.0
"No, countries cannot rely on their domestic law as an excuse to violate their obligations under international law",Only customary international law prevails over domestic law,0.14810000360012054
premenstrual dysphoric disorder (PMDD),generalized anxiety disorder,0.1429000049829483
45°,cos–1 (1/g),0.0
Reassortment of the viral genome,Recombining with another enterovirus,0.125
"The Southeast Asia Collective Defense Treaty, also known as the Manila Pact, which led to the formation of the Southeast Asia Treaty Organization (SEATO) and provided a collective defense commitment to South Vietnam.",mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.24490000307559967
The seller can obtain the reasonable value of the car's use and the down payment minus the reasonable value of the car's use.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.3043000102043152
Lactic acid fermentation or Alcohol fermentation,Calvin cycle,0.0
"The costs of free trade are concentrated among a few domestic firms that may lose their competitive advantage in the global market, while the benefits are dispersed among many consumers who enjoy lower prices.",],0.0
"True, True",],0.0
"To provide a permanent airway when a patient has difficulty breathing through their mouth and nose, such as in cases of severe respiratory failure or obstruction.",],0.0
"$45,000.00",],0.0
"the central city and the surrounding metropolitan area, including suburbs and adjacent counties.",],0.0
"Corporate social responsibility, Financial accounting.","Financial accounting, Environmental management initiatives",0.1817999929189682
0.01 J,0.005 J,0.75
],is a semilunar valve,0.0
is used to determine the content of minerals in a soil sample,was used to demonstrate DNA as the genetic material,0.2856999933719635
"Wrong, Not wrong","Wrong, Wrong",0.800000011920929
overlapping or mixed,useful,0.0
the Economic Opportunity Act of 1964,Medicare and Medicaid,0.0
The university raises tuition.,],0.0
"The decision paved the way for the Civil Rights Movement, leading to further desegregation and equal rights for African Americans.","In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.10260000079870224
The tolerance of the Roman government towards different religions.,the hatred of all things Roman by British scholars in the eighteenth century,0.26089999079704285
Increasing the partial pressure gradient of the gas,Decreasing the solubility of the gas in water,0.4000000059604645
"Interacting with antigens (or more specifically, through the presentation of antigens by antigen-presenting cells to T helper cells, which then stimulate B cells).",],0.0
"Samantha, a 17-year-old female, who is a perfectionist and has a family history of eating disorders, and is currently dieting to lose weight for an upcoming school dance","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.2856999933719635
75,],0.0
"the Yangtze River Valley, specifically the area around the modern-day city of Xi'an.",external influences originating from the Indus Valley.,0.07999999821186066
"Links is a common term for a golf course, especially those located near the sea. ",Steps,0.0
I shot an arrow through the bulleye.],"Wrong, Wrong",0.0
The inferior alveolar nerve,],0.0
cerebellum],visual system,0.0
"Option I if it needs at least $25,000 to pay off an overdue loan",Option II if it wants to maximize expected return,0.3077000081539154
"are those that would be accepted by rational individuals in a hypothetical ""original position"" where they would have to choose rules that would apply to everyone.",make take into account the interests of all sentient beings.,0.0
"The resident would not succeed, because the state's use of the land for a recreational purpose, rather than a commercial purpose, would not trigger the re-entry clause in the deed.","The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.37929999828338623
$100 / (1 + 0.04)^5 ≈ $82.42,$85,0.0
It was one of the first well-documented examples of a specific brain area being associated with a set of physical and emotional changes.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.26669999957084656
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.15379999577999115
],6:5,0.0
Measles,Hepatitis,0.0
Hypertensive encephalopathy,Amyotrophic lateral sclerosis,0.0
"Wrong, Not wrong","Not wrong, Wrong",0.33329999446868896
Intimacy/emergence,Introspection,0.0
],Any risk of invasion of privacy,0.0
"three-bagger or more commonly, three-bagger",],0.0
"Wrong, Not wrong","Wrong, Not wrong",1.0
Vitamin C,Vitamin A,0.666700005531311
],gamma radiation.,0.0
Availability of arable land,],0.0
they will disagree morally only if they disagree about the facts of the case.,],0.0
Napoleon,Lafayette,0.0
Cliff Clavin,Diane,0.0
"The net force is in the negative direction, because the puck is slowing down, indicating a deceleration, which is typically caused by a net force in the opposite direction of motion.","The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.421099990606308
Contractionary fiscal policy is likely to increase domestic interest rates and cause the dollar to appreciate.,Interest rates decrease and the dollar appreciates.,0.3077000081539154
RLC circuit.,RC circuit.,0.4000000059604645
"had accumulated wealth and social status through their business ventures and investments, and thus gained acceptance and integration into the upper class]",],0.0
25,17,0.0
"Small, soft toothbrush is the first choice for cleaning the mouth, but if the patient has a severe dental condition or is unable to use a toothbrush, the first choice would be a gloved finger wrapped in gauze.",],0.0
Charles Elton and David Lack,Matthias Schleiden and Theodor Schwann,0.11760000139474869
saving increases by more than $X.,consumption increases by more than $X .,0.7692000269889832
They alter the equilibrium constant of a reaction (K_eq) so that more reactant can be converted to product.,"They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",0.3158000111579895
"Problem recognition, search, and purchase.",Buyphases.,0.0
"pointing out that killing a fetus results in the loss of a potentially long and valuable life, which is a greater harm than the harm of not being born.",appealing to the fact that a fetus is biologically human and arguing that it is presumptively morally wrong to kill biologically human beings.,0.17239999771118164
"Not wrong, Wrong","Not wrong, Wrong",1.0
an unhealthy soul,],0.0
Wrong],"Wrong, Wrong",0.666700005531311
1 - (1/2^4 + 1/2^4),1/64,0.25
72 ÷ 9 = 8,],0.0
Southeast Asia,Europe,0.0
"Encourage the patient to establish a relaxing bedtime routine, such as reading a book or listening to soothing music, and to avoid stimulating activities before bedtime.",Prescribe sertraline,0.0
Exposure Therapy,modeling,0.0
time period,],0.0
"Not wrong, Wrong","Not wrong, Wrong",1.0
quotas and set-asides.,bills of attainder,0.0
],Establishing a foundation for monitoring.,0.0
"Evolves through stages of moral reasoning, with individuals progressing from lower to higher levels of moral understanding",Cannot be rationalized in every instance,0.0
Lm ∧ ~(Lj ∨ Ll),Lm ∨ ~(Jl ∨ Ll),0.666700005531311
Verbal memory and language skills,Mental rotation,0.0
"Driving, especially if they have health issues or are taking certain medications that may impair their reaction time or judgment.",Alone,0.0
"misrepresenting or exaggerating someone's argument to make it easier to attack, often by focusing on an extreme or irrelevant aspect.",responding to an argument with an expression of derision instead of a counter argument,0.15000000596046448
"Not wrong, Wrong",],0.0
providing a longer term for senators (six years) compared to representatives (two years),requiring all spending bills to originate in the House of Representatives,0.14810000360012054
O'Hare International Airport (Chicago),Orlando,0.0
Express a conclusion regarding the appropriateness of the selected accounting principles.,Notify the appropriate regulatory authority if the auditor's opinion was modified on the basis of the matter.,0.19349999725818634
"2,475,000",],0.0
magnetic field,],0.0
three,],0.0
The dissolution of Yugoslavia and the end of communist rule in Eastern Europe.,],0.0
"True, True","False, True",0.5
mass,momentum,0.0
Buffy's fantasies suggest that she is open-minded and comfortable with exploring different aspects of her sexuality.,Buffy's fantasies are indicative of a paraphilia.,0.3447999954223633
"a sharp division between black and white castes, underpinned by beliefs about white superiority",a way of marking out the land so that black people had less space for housing,0.12120000272989273
constructive eviction.,partial constructive eviction.,0.33329999446868896
less.,],0.0
"the winning candidate receives the most votes in the election, but not necessarily more than 50% of the popular vote",],0.0
Use parameterized queries or prepared statements,Merge tables,0.0
"Not wrong, Wrong","Not wrong, Wrong",1.0
"Not wrong, Wrong",],0.0
27% ,],0.0
Airodump-ng,BurpSuit,0.0
"form an intense pattern of bright and dark regions, known as an interference pattern",Both of these,0.11760000139474869
"Audiences are now seen as active, critical thinkers who can select and interpret media messages in a variety of ways.",],0.0
they have compromised their autonomy by allowing their partner to dictate their sexual decisions.,],0.0
"in the nucleus, specifically in the region known as the nucleolus or the nucleoplasm.",in the cytosol.,0.26089999079704285
malware,virus,0.0
$0 $75000,$100000 $0,0.25
"think for themselves and consider what is morally right, regardless of what others think","define what is right by what they have learned from others, especially authority figures",0.3571000099182129
15,7,0.0
I am morally wrong because I told my coworker I did not love her and never will love her.,"Wrong, Wrong",0.0908999964594841
the therapist may have difficulty in maintaining a clear therapeutic focus and boundaries in both individual and group settings,screening procedures for patients may be ignored because a therapist is recommending the group experience,0.17139999568462372
A large left apical pneumothorax,],0.0
Atmospheric perspective,Sfumato,0.0
],The Affordable Care Act of 2010,0.0
Wrong,"Wrong, Wrong",0.666700005531311
easement appurtenant.,easement in gross.,0.5454999804496765
the first and second tracheal rings.,cricothyroid membrane.,0.0
the lawfully appointed representatives or the law itself.,his own will,0.0
],Extraneous variables,0.0
ethnic minority groups seeking greater autonomy or independence.,regionalist groups.,0.16670000553131104
"Treaties are international agreements governed by international law, concluded in written form between States and international organizations, and sometimes between States and non-State entities.",],0.0
Family members or caregivers,Neighbors,0.0
"Not wrong, Wrong","Wrong, Wrong",0.4000000059604645
"100,000 books","8,000 books",0.75
P > MR > MC > ATC,],0.0
Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| \text{PB} \| k)H(k∥m∥PB∥k) for any k,Given H(k \| m)H(k∥m) anyone can compute H(k \| m \| w)H(k∥m∥w) for any ww,0.800000011920929
Beeson had no knowledge of the zoning restriction at the time of contracting.,],0.0
79%,64%,0.0
is a moral nihilist.,],0.0
"social influence or more specifically, the ""observer effect"" or ""social facilitation"" but more specifically ""social facilitation"" is the correct answer but the more specific answer is the ""observer effect"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is ""social facilitation"" but the most accurate answer is """,],0.0
"Not wrong, Wrong",],0.0
The US provided significant economic aid to Russia through the IMF and other institutions to support its transition to a market-based economy.,The US supported public ownership of natural resources,0.12120000272989273
"The Minnesota Multiphasic Personality Inventory (MMPI) is not typically used for assessing suicide risk, but the other options are.",Beck Hopelessness Scale,0.0
humans and chimpanzees share a more recent common ancestor than humans and dogs,],0.0
Remote sensing,test pits,0.0
They have equal magnitude and are pointed in opposite directions.,They have different magnitudes and are pointed in opposite directions.,0.761900007724762
"proper, as relevant to the informer's possible bias.","proper, as tending to show the informer's bad character for truthfulness.",0.5600000023841858
human beings are fundamentally free to choose their actions,],0.0
guns and butter.,],0.0
greater,less,0.0
"Yes, because Congress has the power to regulate the channels of interstate commerce and to regulate activities that have a substantial effect on interstate commerce.","Yes, because Congress has the power to regulate property for the general welfare.",0.47369998693466187
The passage demonstrates the use of empirical evidence to challenge prevailing geocentric models of the universe.,The ideas of the ancient Greeks guided all of their ideas.,0.19349999725818634
"The Mongol conquest facilitated the exchange of goods, ideas, and innovations between Russia and other parts of the Mongol Empire.",Russia benefited by becoming the administrative center of Mongol political activity.,0.22220000624656677
reviewing the material,],0.0
detecting the decrease in the star's brightness as the planet passes in front of it (transit method),],0.0
They have been confined to the domestic sphere and have been denied access to education and other opportunities that would enable them to participate in the public sphere.,industrial capitalism separated the middle class home from the workplace,0.10260000079870224
],Gemarah,0.0
"Wrong, Not wrong","Wrong, Not wrong",1.0
C ⊃ (D ∨ C) is equivalent to ~C ∨ (D ∨ C) and C · ~D is equivalent to ~D. ,Contradictory,0.0
1.793,|ɣe| = 1.761 x 10^11 T^-1 s^-1],0.21050000190734863
I and III only,],0.0
],"A defendant was a reporter for a newspaper and was sent on assignment to another state to cover the story of a mining disaster. He was sitting in his hotel room one evening, trying to get a message to his editor, when a victim knocked at the door. The defendant opened the door, and the victim announced a robbery. The defendant took a lamp from the night table and threw it at the victim. The victim was momentarily stunned, and the defendant then pulled a gun out of his own suitcase and shot the victim to death.",0.0
The two legislative bodies form a conference committee.,The bill goes back to each house's committee and restarts the legislative process.,0.17389999330043793
I and II only,I only,0.666700005531311
],endorsing a single act of torture requires endorsing torture as a practice.,0.0
"Jean-Baptiste Colbert, his finance minister","Cardinal Mazarin, his regent and foreign policy advisor",0.09520000219345093
"The statute is unconstitutional because it allows the school board to make subjective judgments about what is ""worthwhile"" and ""of public benefit,"" giving them too much discretion to restrict speech.",],0.0
"The statute is a legitimate exercise of the state's police power to regulate the health and welfare of its citizens, and the funding limitation is a reasonable means of achieving that goal.",The Tenth Amendment reserves to the states plenary power over the allocation of their public funds.,0.20000000298023224
10,12,0.0
"the conscious part of the mind that regulates emotional drives on a practical, rational level",the self as a whole: an unstable mix of conscious and unconscious elements,0.1429000049829483
Triangular wave,],0.0
why preserving the environment is a moral obligation.,whether plants have interests.,0.0
moderate and/or controlled use of illegal drugs is the norm.,],0.0
The equilibrium price level decreases while the equilibrium quantity of output decreases.,The equilibrium price level decreases while the equilibrium quantity of output increases.,0.916700005531311
high task-orientation and low relationship orientation,],0.0
"Ongoing professional development is essential to ensure that school psychologists stay current with best practices, research, and laws affecting their practice.",Textbooks from graduate school should be reread annually.,0.060600001364946365
"Not wrong, Wrong",],0.0
fusion,],0.0
A two-thirds majority in both the Senate and the House of Representatives vote to override the veto.,The president's successful reelection campaign advocated bipartisanship.,0.0
"They embody the contradictions of militarism and motherhood, highlighting the societal expectations placed on women in the context of war and national security.",Mothers are not passive objects but the specific target of military recruiters who rely on their active engagement to fuel recruitment.,0.12770000100135803
Domestic steel producers will experience a decrease in demand for their products.,Imports fall.,0.0
"not guilty, because the man did not have the requisite intent to commit arson.","not guilty, because he did not intend to burn down the restaurant.",0.46149998903274536
Inducing the production of enzymes that break down viral RNA and DNA,Binding to viruses,0.0
emphasize the goodness of the world and the importance of living in harmony with nature and society.,reject both the goals and means of conventional society and provide utopian alternatives,0.24240000545978546
deontology.,consequentialism.,0.0
Inuit,Clovis,0.0
"The greenhouse effect is counteracted by the low atmospheric pressure and the presence of dust particles that reflect sunlight, rather than trapping it.",the greenhouse effect requires an ozone layer which Mars does not have,0.16670000553131104
"a more covert and subtle form of racism, often expressed through cultural and symbolic means, rather than overtly.",a post-modern deconstruction of racist ideas to reveal their lack of depth,0.12120000272989273
"Circadian rhythm disorders or more specifically, Non-seasonal circadian rhythm disorders, but more commonly, it is related to the disorder: ",claustrophobia,0.0
dispersion.,skewness.,0.0
drawing universal conclusions from a wide range of concrete data],demonstrating high social status through large vocabulary,0.0
"Public services, social, economic and environmental benefits","Public services, social, cultural and environmental",0.7692000269889832
"Edy's approach creates a positive association with her name and face, making voters more likely to remember her and associate her with positive feelings.",central route of persuasion,0.0
7,],0.0
morally equivalent to killing a person.,always permissible.,0.0
firms produce at a level where the long-run average total cost is above the minimum point on the long-run average total cost curve.,there exist no barriers to entry.,0.0
],the development of universal public education in many European countries,0.0
smooth.,],0.0
A surgical procedure that creates an airway by making an incision in the anterior wall of the trachea below the cricoid cartilage.,An opening in the anterior chest wall.,0.22220000624656677
inform the administrator that using outdated test forms may not provide an accurate assessment of current student abilities and may not be in the best interest of the students.,recommend that the assessment be canceled,0.17139999568462372
"$\boxed{(-\frac{1}{20}, \frac{1}{2})}$","-1,1]",0.428600013256073
"As a complex and multifaceted phenomenon, globalization encompasses economic, cultural, political, and environmental dimensions, shaping the interconnectedness of societies worldwide.","Globalization is best described as the 'shrinking' of the global community, drawing people into closer contact with one another primarily at the economic and technical levels. This process began in the early 20th century and was based on the ideological expeditions that originated from western Europe.",0.08219999819993973
hearing perception,],0.0
"Wrong, Not wrong","Wrong, Not wrong",1.0
1 - 0.05 = 0.95,0.95,0.5
deliberate with us.,],0.0
multimedia performance art,],0.0
"may be waived if the research is deemed to be of minimal risk to the participant and the participant is given a general explanation of the research, including the reasons why certain information is being withheld.","is not necessary, bur some explanation of the research situation to the participant is essential",0.2353000044822693
Burden of proof,Complex question,0.0
fluid in the interstitial space or tissues.,excessive intracranial fluid.,0.0
"arguing that something must be good because it is new, or must be bad because it is old",drawing a conclusion by applying irrelevant criteria to a subject,0.0
"global warming or environmental degradation, but more specifically]",unequal social order.,0.0
"False, False","True, False",0.5
Oat Os,Raisin Bran,0.0
embezzlement.,],0.0
Complex molecules that DNA wraps around to form chromatin in the nucleus of eukaryotic cells.,Carbohydrates,0.0
The categories should be mutually exclusive and exhaustive.,Observed frequencies should be whole numbers.,0.26669999957084656
Louis XIV,Louis XVI,0.75
NH4Cl and NH4OH,],0.0
"generous financial benefits for single parents, students and the unemployed","individual freedom, choice and responsibility",0.125
"Through a process involving a single-stranded RNA intermediate, where the viral genome is first transcribed into a complementary RNA strand, which is then used as a template for the synthesis of a new viral genome.",As negative strand RNA viruses,0.08889999985694885
controlled access to and distribution of water resources.,incorporated other societies through conquest warfare.,0.0
"Yes, because the fumigation company was negligent in failing to discover the hole in the wall, despite its own inspection.",],0.0
"Wrong, Not wrong","Not wrong, Not wrong",0.571399986743927
ability to think abstractly and reason logically about hypothetical situations,simple motor responses to sensory stimuli,0.11760000139474869
"Wrong, Not wrong","Wrong, Wrong",0.800000011920929
encourage borrowing by depository institutions so that the money supply may expand.,give depository institutions a break on their borrowings.,0.25
From the highest authority to the lowest authority or from the top to the bottom.,Laterally,0.0
"Wrong, Not wrong","Not wrong, Not wrong",0.571399986743927
],Vajrayana,0.0
The monopoly would earn a positive economic profit.,],0.0
without a strong magnetic field the solar wind stripped away most of the atmosphere significantly reducing the greenhouse effect and cooling Mars down.,],0.0
],Mental incapacity,0.0
"No, because the sister's testimony is admissible under the hearsay exception for statements against interest, which allows statements that are against the speaker's interest to be admitted into evidence, even if the speaker is not available to testify.",],0.0
ectotherm.,thermophyle.,0.2856999933719635
