Question,predict,label,rouge_score,score,Grade,retained
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ngô Thì Nhậm từng làm [MASKED]
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: Triều Mạc, Lê, Trịnh, Tây Sơn"," which tribe/dynasty among the following: Triều Mạc, Lê, Trịnh, Tây Sơn? 
### Câu hỏi: Ngô Thì Nhậm từng làm được gì trong số điền này: 
D: Triều Mạc, Lê, Trịnh, T",quan dưới triều đại nào?,0.1666666716337204,0.0571428571428571,Văn 11,False
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra [MASKED]
### Lựa chọn:
A: Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn", D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn,đời với mục đích gì?,0.25,0.1,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chiếu cầu hiền ra đời trong [MASKED]
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: Khi Trịnh Sâm lên ngôi vua
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ", D: Khi triều đại Tây Sơn sụp đổ,hoàn cảnh đất nước như thế nào?,0.1304347813129425,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đáp án không thể hiện đúng [MASKED]
### Lựa chọn:
A: Kẻ sĩ mai danh ẩn tích uổng phí tài năng 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử"," ""D: Nhiều người ngư�uteur mộ tài năng của vua Quang Trung đã ra tiến cử""
Câu hỏi: Đáp án không thể hiển nhiên về việc nhiều người trong sự ngưỡng mộ tài",thái độ của sĩ phu Bắc Hà:,0.1403508782386779,0.0512820512820512,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Giá trị nội dung [MASKED]
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan"," [MASKED] คือ ""Ngô Thì Nhậm""? Để hoàn thành câu hỏi, cần phản ánh lực lượng và mục tiêu trong tác phẩm, trong trường hợp này, ngô thì nhậm. Câu hỏ",của Chiếu cầu hiền là:,0.1010100990533828,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung của đoạn trích “Một thời đại [MASKED]
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: Quan điểm nghệ thuật vị nhân sinh"," [MASKED]” thì nhất định sẽ tiếp tục thể hiện định nghĩa về tinh thần hay điều kiện nền, nên câu hỏi đầy đủ nhất sẽ nhấn mạch với lựa ch",trong thi ca” bàn đến vấn đề gì?,0.1754385977983474,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: ""Chiếu cầu hiền"" là [MASKED]
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: Ngô gia văn phái 
D: Quang Trung"," gì nghízh ngô [MASKED]? 

### Câu hỏi: ""Chiếu cầu hiền"" là ngô thì [MASKED], tên gọi làng nghízh ngô thì [MASKED] và nghízh ngô thì [MASKED], nếu lựa chọn A, chiếu c",của tác giả nào?,0.0689655169844627,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu nào dưới đây nói đúng về [MASKED]
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: Sinh năm 1920, mất năm 2002.
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982."," [MASKED]? D: Sinh năm 1909, mất năm 1982.

Câu hỏi: Chiều năm nào đã mất, khiến cho người sinh năm 1909 tránh tránh năm 1982?

Cách làm câ",năm sinh và năm mất của Hoài Thanh?,0.2242990583181381,0.1666666666666666,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Lưu Trọng Lư 
B: Nguyễn Bính
C: Huy Thông 
D: Nguyễn Nhược Pháp"," _Nguyễn Bính_?

### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ năm gì?
A: Lưu Trọng Lư
B: Nguyễn Bính
C: Huy Thông
D: Nguyễn Nh",nào trong bài viết “Một thời đại trong thi ca”?,0.1308411210775375,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Xuân Diệu 
B: Huy Cận
C: Chế Lan Viên 
D: Hàn Mặc Tử"," Hàn Mặc Tử?
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ Hàn Mặc Tử?",nào trong bài viết “Một thời đại trong thi ca”,0.0975609719753265,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đoạn trích “Tôi có một ước [MASKED]
### Lựa chọn:
A: Nghị luận 
B: Tự sự
C: Biểu cảm 
D: Chính luận"," [MASKED]” có thể được hoàn thành như: 
D: Chính luận - ""Tôi có một ước chính luận như thế nào?""",mơ” được viết theo phương thức nào?,0.3055555522441864,0.1538461538461538,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Bài diễn thuyết này được Martin Luther [MASKED]
### Lựa chọn:
A: Tại đài tưởng niệm Lin-cơn ngày 28/8/1963 
B: Tại đài tưởng niệm Lin-cơn ngày 29/8/1963
C: Tại đài tưởng niệm Lin-cơn ngày 29/8/1964 
D: Tại đài tưởng niệm Lin-cơn ngày 28/8/1964"," tại đài tưởng niệm Lin-cơn ngày 29/8/1963 __.

Lựa chọn: B",King đọc ở đâu vào thời gian nào?,0.1875,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Nguyễn Nhược Pháp 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu"," C: Lưu Trọng Lư

### Câu hỏi: Định văn thơ của Hồn Thanh, “Hồn thơ quê mùa”, đã được bài họp nào trong nhà thơ của Lưu Trọng Lư?

(Tại sao Lư",nào trong bài viết “Một thời đại trong thi ca”,0.1769911497831344,0.0975609756097561,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ [MASKED]
### Lựa chọn:
A: Thế Lữ 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: Nguyễn Bính"," _B: Lưu Trọng Lư_.

Cậu hộ: Lưu Trọng Lư

Câu hỏi: Hồn thơ “trong sáng” được phục vụ bởi thơ viên nào, Hoài Thanh dùng chỉ nhà thơ là Lưu Trọng Lư",nào trong bài viết “Một thời đại trong thi ca”?,0.1403508782386779,0.0476190476190476,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”. [MASKED]
### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: Hàn Mặc Tử"," D: Hàn Mặc Tử
Câu hỏi: Hàn Mặc Tử như thứi này đã kể thế nào trong “Một thời đại thi ca” của Hoài Thanh?

### Câu hỏi: Trong “Một thờ","là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?",0.219780221581459,0.0983606557377049,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: “Cầu hiền” ở đây [MASKED]
### Lựa chọn:
A: Người ăn ở hiền lành 
B: Người có tài
C: Người có đức 
D: Người có đức và tài"," __D: Người có đức và tài__

Cậu học, đoạn đầy thức thể này để thức thể, chỉ trích ""Cầu hiền"" đồng nghị người có đức và tài. Nhưng để cung cấ",hướng tới đối tượng nào?,0.1666666716337204,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tác giả của đoạn trích “Tôi [MASKED]
### Lựa chọn:
A: Aleksandr Sergeyevich Pushkin 
B: Mác –tin Lu-thơ Kinh
C: Rabindranath Tagore 
D: Vic-to Huy-gô"," [MASKED]
#### Câu hỏi: Tôi gọi là ai, đã ủy ban thế giới với đoạn trích này?
#### Cho số liên quan:
A: Aleksandr Sergeyevich Pushkin - Điền thế giới không liên quan đến đoạn tr",có một ước mơ” là ai?,0.0404040403664112,0.1025641025641025,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tác giả đã nêu ra cách nhận [MASKED]
### Lựa chọn:
A: So sánh bài hay với bài hay. 
B: So sánh bài hiện đại với bài cổ điển.
C: So sánh bài hay với bài tầm thường. 
D: So sánh bài tầm thường với bài tầm thường."," [C: So sánh bài hay với bài tầm thường], trả lời câu hỏi như thế này để xem phần thức tra có sự khác biệt với bài tầm thường, đồng thời tạo ra trắc nghiệm v",diện tinh thần Thơ mới như thế nào?,0.2051282078027725,0.0909090909090909,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu văn “Người hiền xuất hiện ở đời, thì như [MASKED]
### Lựa chọn:
A: Nhân tài Bắc Hà nhiều như sao trên trời. 
B: Người hiền theo Quang Trung rất nhiều như sao trời
C: Người hiền ở Bắc Hà rất hiếm có 
D: So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài."," [MASKED] D: So sánh người hiền tài như vì sao tinh tú. Đề cao vị trí, vai trò của người hiền tài.",ngôi sao sáng trên trời cao” nói lên nội dung gì?,0.2222222238779068,0.0606060606060606,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đoạn trích “Tôi có [MASKED]
### Lựa chọn:
A: Ăn sáng với kim cương 
B: Người đàn ông của chúng tôi ở Havana
C: Bước đến tự do, Câu chuyện Mon-ga-mo- ri- Montgomery 
D: Một con gấu tên là Paddington, với hình minh họa của Peggy Fortnum"," [MASKED]"", nhằm tìm hiểu về một thứ đối với cá thể, vùng địa chỉ hay cái mặt, chúng ta có thể sử dụ đột xuống như: B: Người đàn ông của chú",một ước mơ” nằm trong:,0.1481481492519378,0.054054054054054,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nữ phóng viên đầu [MASKED]
### Lựa chọn:
A: Manh Manh nữ sĩ 
B: Nguyễn Thị Bình
C: Trương Mỹ Hoa 
D: Hồ Xuân Hương"," [B: Nguyễn Thị Bình], năm nay nào?",tiên là viết về ai?,0.0,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tên thật của Manh [MASKED]
### Lựa chọn:
A: Nguyễn Thị Khiêm 
B: Nguyễn Thị Kiêm
C: Nguyễn Thị Hoa 
D: Nguyễn Thị Lan"," Nguyễn Thị Kiêm, hãy thử đố thành câu: ""Hãy nhắc lại tên Manh [MASKED], không thể bị đánh gilè với Nguyễn Thị Kiêm."" 
Câu hỏi: Tên thật của Manh Nguyễn Th",Manh nữ sĩ là:,0.0606060624122619,0.0571428571428571,Văn 11,False
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Bà Kiêm bắt đầu [MASKED]
### Lựa chọn:
A: Nổi tiếng về những bài diễn thuyết, những bài viết về bình đẳng giới và thơ mới 
B: Viết thơ
C: Viết bài ủng hộ thơ mới 
D: Viết kí", viết bài ủng hộ thơ mới?,trở nên nổi tiếng khi:,0.125,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Dòng nào nói đúng nhất về [MASKED]
### Lựa chọn:
A: Sinh 1914 mất 2015 
B: Sinh 1914 mất 2005
C: Sinh 1913 mất 2005 
D: Sinh 1912 mất 2005", [MASKED] Đố tháp: B: Sinh 1914 mất 2005,năm sinh năm mất của bà Kiêm?,0.2380952388048172,0.2666666666666666,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Sở trường của [MASKED]
### Lựa chọn:
A: Thơ 
B: Diễn thuyết
C: Phỏng vấn 
D: Phê bình"," [C], phê bình, học sinh nào được xem nhận thông báo sẽ thực hiện đúng không?",bà Kiêm là gì?,0.0701754391193389,0.0,Văn 11,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Bà Kiêm là phóng [MASKED]
### Lựa chọn:
A: Phụ nữ Tân thời 
B: Đuốc An Nam
C: Phụ nữ Tân văn 
D: Thần chung"," _Phụ nữ Tân văn_.

Câu hỏi: Bà Kiêm là phóng Phụ nữ Tân văn không?",viên của tờ báo nào?,0.1176470592617988,0.0,Văn 11,False
