predict,label,score,Subject,retained
unethically without proper disclosure and consent from all parties involved.,unethically by accepting dual roles.,0.1333333333333333,civic_education,True
"1) It shapes the strategies and tactics employed, ranging from military interventions to intelligence operations.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.0476190476190476,civic_education,True
hearsay,hearsay.,1.0,civic_education,True
Domestic law does not automatically override international law,Only customary international law prevails over domestic law,0.25,civic_education,True
,generalized anxiety disorder,0.0,civic_education,True
45°,cos–1 (1/g),0.0,civic_education,True
1. Acquiring mutations that enhance its ability to bind to host cell receptors,Recombining with another enterovirus,0.0,civic_education,True
1964 Gulf of Tonkin incident where North Vietnamese forces were reported to have attacked U.S. naval vessels,mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.1481481481481481,civic_education,True
1. The seller may be entitled to keep the down payment as it was a valid part of the contract.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.2,civic_education,True
Krebs Cycle or Citric Acid Cycle,Calvin cycle,0.25,civic_education,True
"Domestic industries need time to adjust and compete, and protection can provide a buffer for these industries to innovate and improve efficiency.",Regime type,0.0,civic_education,True
,"False, True",0.0,civic_education,False
To provide an alternative airway for patients who cannot breathe or speak normally due to blockages or obstructions in the upper airway.,Prior to neck surgery.,0.0769230769230769,civic_education,True
"45,000.00","$55,000. 00",0.0,civic_education,False
the central city and its surrounding rural areas.,the central city and its hinterlands.,0.7142857142857143,civic_education,True
"Social accounting, Financial accounting.","Financial accounting, Environmental management initiatives",0.4444444444444445,civic_education,True
0.005 J,0.005 J,1.0,civic_education,False
regulates blood flow from the right atrium to the right ventricle,is a semilunar valve,0.0,civic_education,True
amplifies specific DNA sequences in vitro.,was used to demonstrate DNA as the genetic material,0.1333333333333333,civic_education,True
