Question,A,B,C,D,Answer,Grade
"Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?",Báo với cô giáo chủ nhiệm để tìm cách giải quyết.,Mặc kệ vì không liên quan đến mình.,Cùng với A đánh B cho vui.,Chạy đi chỗ khác chơi.,A,
Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?,Lờ đi chỗ khác và coi như không biết.,"Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.",Đèo em bé đó đến gặp công an.,Đạp thật nhanh về nhà.,B,
Câu thành ngữ: Gió chiều nào theo chiều ấy nói về người như thế nào?,Không tôn trọng lẽ phải.,Không trung thực.,Không chín chắn.,Không có ý thức.,C,
Em rèn tính liêm khiết trong học tập là:,"Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi","Làm giàu bằng chính sức lực, tài năng của mình",Nhặt được của rơi trả lại cho người bị mất,Tất cả đáp án trên,D,
"Không hám danh, hám lợi, không nhỏ nhen, ích kỉ được gọi là?",Liêm khiết.,Công bằng.,Lẽ phải.,Khiêm tốn.,A,
Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc hát karaoke. Trong tình huống này em sẽ làm gì?,Mặc kệ.,Sang đánh nhà hàng xóm.,Sang chửi nhà hàng xóm.,Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.,D,
Những hành vi nào sau đây thể hiện không tôn trọng người khác:,"Đi nhẹ, nói khẽ trong bệnh viện","Châm chọc, chế giễu người khuyết tật.",Biết lắng nghe ý kiến của mọi người.,Tự nhận lỗi về mình,B,
"Một vài câu ca dao, tục ngữ nói về sự tôn trọng người khác:","Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

","Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau","Cười người hôm trước, hôm sau người cười",Tất cả các ý trên,D,
"Câu tục ngữ: Nói lời phải giữ lấy lời, đừng như con bướm đậu rồi lại bay nói đến điều gì",Lòng chung thủy.,Lòng trung thành.,Giữ chữ tín.,Lòng vị tha.,C,
"Coi trọng lòng tin của mọi người đối với mình, biết trọng lời hứa và tin tưởng nhau được gọi là?",Liêm khiết.,Công bằng.,Lẽ phải.,Giữ chữ tín.,D,
"Những quy định, quy ước ở một tập thể, một cộng đồng người ở phạm vi hẹp hơn được gọi là?",Liêm khiết.,Công bằng.,Pháp luật.,Kỉ luật.,D,
Những quy định của pháp luật và kỉ luật có ý nghĩa như thế nào với mọi người?,Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động.,Giúp cho mọi người gần nhau hơn.,Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người hoàn thiện mình hơn.,A,
