Question,predict,label,rouge_score,score,Subject,retained
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nguyên nhân nào gây ra bệnh sốt rét? Khoanh [MASKED]
### Lựa chọn:
A: Lây qua đường hô hấp từ người bệnh sang người lành 
B: Do ăn uống mất vệ sinh
C: Do tiêm chích ma túy 
D: Do muỗi a-nô-phen truyền kí sinh trùng từ người bệnh sang người lành"," [D: Do muỗi a-nô-phen truyền kí sinh trùng từ người bệnh sang người lành]

Có thể được trình so sáng nhất bằng cách thay [D] vào đoạn [MASKED], đồng ng",vào chữ cái trước ý trả lời đúng nhất:,0.2105263173580169,0.0512820512820512,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Khẩu hiệu ""Đánh đuổi Nhật- Pháp"" được thay bằng khẩu hiệu [MASKED]
### Lựa chọn:
A: Chỉ thị ""Nhật -Pháp bắn nhau và hành động của chúng ta"" 
B: Văn kiện Đại hội quốc dân Tân Trào (16-17/8/1945)
C: Văn kiện Hội nghị toàn quốc của Đảng ngày (14-15/8/1945) 
D: Văn kiện Hội nghị Ban chấp Hành trung ương Đảng (9/3/1945)"," __B: Văn kiện Hội nghị toàn quốc của Đảng ngày (14-15/8/1945)__.

Cậu, để xem xét hơn, vấn đề này liên quan đến một trong những văn kiện quan trọng trong l","""Đánh đuổi phát xít Nhật ” nêu ra trong văn kiện nào",0.2380952388048172,0.1395348837209302,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong Kế hoạch giáo dục năm học, việc xây dựng nội dung giáo dục cho [MASKED]
### Lựa chọn:
A: Lựa chọn, cụ thể hóa, liệt kê các nội dung-> Rà soát nội dung->Tổng hợp và hoàn thiện nội dung giáo dục 
B: Rà soát, liệt kê nội dung->lựa chọn, cụ thể hóa, diễn đạt các nội dung-> tổng hợp và hoàn thiện nội dung giáo dục
C: Tổng hợp hoàn thiện nội dung giáo dục-> rà soát liệt kê nội dung->lựa chọn, cụ thể hóa và diễn đạt các nội dung giáo dục 
D: Rà soát, liệt kê nội dung->tổng hợp và hoàn thiện nội dung-> lựa chọn và cụ thể hóa nội dung"," __D: Rà soát, liệt kê nội dạng->tổng hợp và hoàn thiệu nội dung giáo dục-> lựa chọn và cụ thể hóa nội dung.

Có thể sắp xếp lại để nhấn mạ dao động n",trẻ mầm non ở các độ tuổi được tiến hành theo trình tự nào sau đây?,0.1857142895460128,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Dòng nào nêu không đúng cách [MASKED]
### Lựa chọn:
A: Diệt muỗi, diệt bọ gậy và tránh để muỗi đốt 
B: Rửa tay sạch trước khi ăn và sau khi đi đại tiện
C: Ăn chín, uống nước đã đun sôi 
D: Tiêm vắc-xin phòng bệnh"," tiêm vắc-xin phòng bệnh?
### Lựa chọn: C: Ăn chín, uống nước đã đun sôi",phòng bệnh viêm gan A ?,0.2641509473323822,0.2105263157894736,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Cấu hình emitter chung có [MASKED]
### Lựa chọn:
A: Trở kháng vào cao và trở kháng ra thấp 
B: Trở kháng vào thấp và trở kháng ra bằng Rc
C: Trở kháng vào trung bình và trở kháng ra bằng Rc 
D: Ngoài các trường hợp trên", trở kháng vào trung bình và trở kháng ra bằng Rc?,. . . . .,0.0,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Phương trình tổng quát của đường thẳng d đi [MASKED]
### Lựa chọn:
A: -x+2y-5=0 
B: X+2y-3=0
C: X+2y=0 
D: X+2y-5=0"," X+2y-5=0

Câu hỏi: Phương trình tổng quát của đường thẳng d đi X+2y-5=0 khẳng lấy nó là gì?

Opción: D: X+2y-5=0",qua \left(1;{2}\right). và vuông góc với đường thẳng là,0.2522522509098053,0.2,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chọn câu trả lời đúng [MASKED]
### Lựa chọn:
A: Nhà nước mở rộng, phát triển hợp tác quốc tế về giáo dục theo nguyên tắc tôn trọng độc lập, bình đẳng 
B: Nhà nước mở rộng, phát triển hợp tác quốc tế về giáo dục theo nguyên tắc tôn trọng độc lập, chủ quyền quốc gia, bình đẳng và các bên cùng có lợi
C: Nhà nước mở rộng, phát triển hợp tác quốc tế về giáo dục theo nguyên tắc bình đẳng và các bên cùng có lợi 
D: Nhà nước mở rộng, phát triển hợp tác quốc tế về giáo dục theo nguyên tắc tôn trọng độc lập, các bên cùng có lợi",": D: Nhà nước mở rộng, phát triển hợp tác quốc tế về giáo dục theo nguyên tắc tôn trọng độc lập, các bên cùng có lợi

Cậu hỏi: Đối với nhà nước",nhất theo điều 107 Luật GD.,0.1592920422554016,0.0526315789473684,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Theo hướng dẫn hiện hành của Ban Bí thư về một số vấn đề cụ thể thi hành Điều lệ [MASKED]
### Lựa chọn:
A: Ban Bí thư trung ương Đảng 
B: Tỉnh ủy, thành ủy trực thuộc Trung ương
C: Ban thường vụ cấp ủy trực thuộc Trung ương 
D: Ban thường vụ cấp uỷ cấp trên cơ sở"," [C: Ban thường vụ cấp uỷ cấp trên cơ sở], câu hỏi có trên là: Theo hướng dẫn hiện hành của Ban Bí thư về một số vấn đề cụ thể thi hành, điều lệ này","Đảng, kết nạp đảng đối với những người trên 60 tuổi phải được sự đồng ý bằng văn bản của?",0.195121943950653,0.0714285714285714,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Mâu thuẫn chỉ được [MASKED]
### Lựa chọn:
A: Sự thương lượng giữa các mặt đối lập 
B: Sự điều hoà mâu thuẫn
C: Sự đấu tranh giữa các mặt đối lập 
D: Tất cả đều đúng"," _B: Sự điều hoà mâu thuẫn_.

Câu hỏi hoàn chỉnh: Mâu thuẫn chỉ được nói thành gì?

A: Sự thương lượng giữa các mặt đối lập
",giải quyết bằng cách nào?,0.0943396240472793,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Một loài động vật, tính trạng màu mắt do một gen có 4 alen nằm trên nhiễm sắc thể thường quy định. Thực hiện hai phép lai, thu được kết quả sau: - Phép lai 1: (P) Cá thể đực mắt đỏ lai với cá thể cái mắt nâu (P), thu được F1 kiểu hình phân li theo tỉ lệ 1 cá thể mắt đỏ : 2 cá thể mắt nâu : 1 cá thể mắt vàng. - Phép lai 2: (P) Cá thể đực mắt vàng lai với cá thể cái mắt vàng (P), thu được F1 có kiểu u hình phân li theo 1 tỉ lệ 3 cá thể mắt vàng : 1 cá thể mắt trắng. Cho biết không xảy ra đột [MASKED]
### Lựa chọn:
A: 3 
B: 2
C: 4 
D: 1"," biến mà F1 có kiểu u hình phân li theo 1 tỉ lệ 3 cá thể mắt vàng : 1 cá thể mắt trắng, cho thấy đột biến xảy ra theo alen đến kiểu u. Vì gen này có 4 alen, alen trực","biến. Theo lí thuyết, có bao nhiêu phát biểu sau đây đúng? I. Ở loài này, kiểu hình mắt nâu được quy định bởi nhiều loại kiểu gen nhất II. Ở loài này, cho cá thể đực mắt nâu giao phối với các cá thể cái có kiểu hình khác, có tối đa 6 phép lai đều cho đời con gồm toàn cá thể mắt nâu III. F1 của phép lai 1 có kiểu gen phân li theo tỉ lệ 1 : 1 : 1 : 1. 1 IV. Cho cá thể đực mắt đỏ ở P của phép lai 1 giao phối với cá thể cái mắt vàng ở P của phép lai 2, thu được đời con có 75% số cá thể mắt đỏ.",0.2384428232908249,0.206060606060606,civic_education,True
