,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Ngô Thì Nhậm từng làm quan dưới triều đại nào?
### Lựa chọn:
A: Triều Mạc, Lê, Trịnh 
B: Triều Lê, Mạc, Tây Sơn
C: Triều Lê, Trịnh, Tây Sơn 
D: [MASKED]"," Triều Lê, Trịnh, Tây Sơn 
D: Ngô Thì Nhậm từng làm quan đến Triều Lê, Trịnh, Tây Sơn","Triều Mạc, Lê, Trịnh, Tây Sơn",0.43478259444236755
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời với mục đích gì?
### Lựa chọn:
A: [MASKED] 
B: Kêu gọi các Nho sĩ ra giúp nước
C: Kêu gọi những người giỏi võ ra giúp nước 
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đình Tây Sơn","Để giúp nước chiếu cầu hiền ra đời
### Câu hỏi: Chiếu cầu hiền ra đời [MASKED] để giúp nước?
D: Kêu gọi kẻ sĩ Bắc Hà ra cộng tác với triều đì",Kêu gọi những người theo Nguyễn Ánh ra giúp Tây Sơn,0.1599999964237213
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào?
### Lựa chọn:
A: Khi triều đại Lê – Trịnh sụp đổ 
B: [MASKED]
C: Nguyễn Huệ lên ngôi vua 
D: Khi triều đại Tây Sơn sụp đổ","Đối thoại Phan Đình Phước với triều đại Tây Sơn sụp đổ, điều quan trọng để chiếu cầu hiền ra đời trong hoàn cảnh đất nước như thế nào.
### Câu",Khi Trịnh Sâm lên ngôi vua,0.0714285746216774
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đáp án không thể hiện đúng thái độ của sĩ phu Bắc Hà:
### Lựa chọn:
A: [MASKED] 
B: Người ra làm quan thì giữ mình không dám nói thẳng
C: Nhiều người có tài năng còn chưa chịu ra giúp nước 
D: Nhiều người ngưỡng mộ tài năng của vua Quang Trung đã ra tiến cử","Đáp án không thể hiểu đúng thái độ của sĩ phu Bắc Hà có nghĩa là ""Nhiều người ngư�uteur một vua có tài năng của vua Quang Trung đã ra tiến cử"", nơi đối tư count(**",Kẻ sĩ mai danh ẩn tích uổng phí tài năng,0.17322835326194763
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Giá trị nội dung của Chiếu cầu hiền là:
### Lựa chọn:
A: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước 
B: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Ngô Thì Nhậm nhằm động viên tri thức Bắc Hà tham gia xây dựng đất nước
C: Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Tây Sơn tham gia xây dựng đất nước 
D: [MASKED]",Đồng Nguyễn Thiện Tông nhằm động viên quân Tây Sơn tham gia xây dựng đất nước,Tác phẩm là một văn kiện quan trọng thể hiện chủ trương đúng đắn của Nguyễn Huệ nhằm động viên quân Bắc Hà đi thi ra làm quan,0.3787878751754761
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nội dung của đoạn trích “Một thời đại trong thi ca” bàn đến vấn đề gì?
### Lựa chọn:
A: Các tác phẩm thuộc phong trào Thơ mới. 
B: Tinh thần Thơ mới
C: Chủ nghĩa hiện thực Việt Nam. 
D: [MASKED]","Đối thoại giữa Thơ mới và Thi ca. 

Cậu, hãy nhớ và giải thích về động vật giữa Thơ mới và Thi ca trong thời đại này, thể hiện những gì?",Quan điểm nghệ thuật vị nhân sinh,0.19607843458652496
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: ""Chiếu cầu hiền"" là của tác giả nào?
### Lựa chọn:
A: Ngô Thì Nhậm 
B: Ngô Thì Sĩ
C: [MASKED] 
D: Quang Trung"," [C: C], đoạn đói thích hơn trong câu hỏi ""Chiếu cầu hiền"" là của [C], đoạn này được yêu cầu điền thành vậy để phù hợp với câu hỏi. Do ",Ngô gia văn phái,0.05999999865889549
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Câu nào dưới đây nói đúng về năm sinh và năm mất của Hoài Thanh?
### Lựa chọn:
A: Sinh năm 1915, mất năm 1951. 
B: [MASKED]
C: Sinh năm 1930, mất năm 2008. 
D: Sinh năm 1909, mất năm 1982."," Năm 1930
Lưu ý đến năm sinh và năm mất của Hoài Thanh để nhấn mạng với lựa chọn B, đồng thời đối contra động với các lựa chọn khác.","Sinh năm 1920, mất năm 2002.",0.22018349170684814
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “hùng tráng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Lưu Trọng Lư 
B: [MASKED]
C: Huy Thông 
D: Nguyễn Nhược Pháp","
B: [Bà Tràu Pháp]",Nguyễn Bính,0.11764705926179886
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “kì dị"", Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: Xuân Diệu 
B: [MASKED]
C: Chế Lan Viên 
D: Hàn Mặc Tử","
B: Hồn thơ “kì dị"" Hoài Thanh dùng nhà thơ [MASKED] trong bài viết “Một thời đại trong thi ca""
### Câu hỏi: Hồn thơ “kì dị"", nhà thơ thành viên trong bài viết ""M",Huy Cận,0.06741572916507721
10,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đoạn trích “Tôi có một ước mơ” được viết theo phương thức nào?
### Lựa chọn:
A: Nghị luận 
B: [MASKED]
C: Biểu cảm 
D: Chính luận","
B: Phản luận",Tự sự,0.0
11,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Bài diễn thuyết này được Martin Luther King đọc ở đâu vào thời gian nào?
### Lựa chọn:
A: Tại đài tưởng niệm Lin-cơn ngày 28/8/1963 
B: [MASKED]
C: Tại đài tưởng niệm Lin-cơn ngày 29/8/1964 
D: Tại đài tưởng niệm Lin-cơn ngày 28/8/1964","28/8/1964
Câu hỏi: Bài diễn thuyết này được Martin Luther King đọc ở đâu vào thời gian nào? D: Tại đài tưởng niệm Lin-cơn ngày 28/8/1964",Tại đài tưởng niệm Lin-cơn ngày 29/8/1963,0.47328245639801025
12,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “quê mùa”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”
### Lựa chọn:
A: [MASKED] 
B: Nguyễn Bính
C: Lưu Trọng Lư 
D: Tố Hữu","
A: Hoài Thanh
Viếu tượng trên câu hỏi: Hoài Thanh dùng chỉ nhà thơ [MASKED] trong bài viết “Một thời đại trong thi ca”.
Cập nhật của câu hỏi: Hồn thơ",Nguyễn Nhược Pháp,0.07920791953802109
13,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng chỉ nhà thơ nào trong bài viết “Một thời đại trong thi ca”?
### Lựa chọn:
A: Thế Lữ 
B: Lưu Trọng Lư
C: Nguyễn Nhược Pháp 
D: [MASKED]","Đối tượng chứng tả thơ này trong bài viết ""Một thời đại trong thi ca"" để đượcđến tìm, bao gồm gì?
### Câu hỏi: Hồn thơ “trong sáng”, Hoài Thanh dùng ch��",Nguyễn Bính,0.10309278219938278
14,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong “Một thời đại thi ca”, Hoài Thanh viết: “Đời chúng ta nằm trong một chữ tôi. Mất bề rộng ta đi tìm bề sâu. Nhưng càng đi càng ớn lạnh”.  là nhận định của Hoài Thanh về hồn thơ của các nhà “Thơ mới” ở giai đoạn thoái trào. Cụm từ “nhưng động tiên đã khép”, ông chỉ nhà thơ nào?
### Lựa chọn:
A: Thế Lữ 
B: Xuân Diệu
C: Lưu Trọng Lư 
D: [MASKED]","Để thú vci nhà thơ nào đượcchỷ trên đoạn <MASKED>, phản ánh Hoài Thanh về hồn thơ của giai đoạn thoái trào. 

Việp trán dựa trên truyền thống và nghiên cứu",Hàn Mặc Tử,0.057692307978868484
15,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: “Cầu hiền” ở đây hướng tới đối tượng nào?
### Lựa chọn:
A: [MASKED] 
B: Người có tài
C: Người có đức 
D: Người có đức và tài"," [MASKED] 
Học đọc thuật ngữ trong câu hỏi, ""Cầu hiền"" ở đây thường xảy ra với đối tượng nào? 

Hãy đố tháp giữa các lựa chọn, để thuậ",Người ăn ở hiền lành,0.1538461595773697
16,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tác giả của đoạn trích “Tôi có một ước mơ” là ai?
### Lựa chọn:
A: Aleksandr Sergeyevich Pushkin 
B: Mác –tin Lu-thơ Kinh
C: [MASKED] 
D: Vic-to Huy-gô"," [MASKED], đoạn học này có ngh� hơn nữa là: Tôi có một ước mơ chiếc [MASKED]?

Nếu yêu cầu lài thử trên thối thức, bảng giả thì:
C: [MASKED], đoạn học",Rabindranath Tagore,0.0
17,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tác giả đã nêu ra cách nhận diện tinh thần Thơ mới như thế nào?
### Lựa chọn:
A: So sánh bài hay với bài hay. 
B: So sánh bài hiện đại với bài cổ điển.
C: [MASKED] 
D: So sánh bài tầm thường với bài tầm thường.",Đối hung bài tầm thường với bài tầm thường. Vậy câu hỏi hoàn thành: Tác giả đã nêu ra cách nhận diện tinh thần Thơ mới như thế nào? C: Đối hung bài tầm thườ,So sánh bài hay với bài tầm thường.,0.2711864411830902
