Threshold:0.0, retain_rate:0.1, average:0.0
Threshold:0.05, retain_rate:0.4, average:0.02540803247169402
Threshold:0.1, retain_rate:0.6, average:0.048047650274488464
Threshold:0.15000000000000002, retain_rate:0.7, average:0.060601175963431175
Threshold:0.2, retain_rate:0.8, average:0.07625007268384926
Threshold:0.25, retain_rate:0.9, average:0.09306061018338166
Threshold:0.30000000000000004, retain_rate:1.0, average:0.11270191758609611
Threshold:0.35000000000000003, retain_rate:1.0, average:0.11270191758609611
Threshold:0.4, retain_rate:1.0, average:0.11270191758609611
Threshold:0.45, retain_rate:1.0, average:0.11270191758609611
Threshold:0.5, retain_rate:1.0, average:0.11270191758609611
Threshold:0.55, retain_rate:1.0, average:0.11270191758609611
Threshold:0.6000000000000001, retain_rate:1.0, average:0.11270191758609611
Threshold:0.65, retain_rate:1.0, average:0.11270191758609611
Threshold:0.7000000000000001, retain_rate:1.0, average:0.11270191758609611
Threshold:0.75, retain_rate:1.0, average:0.11270191758609611
Threshold:0.8, retain_rate:1.0, average:0.11270191758609611
Threshold:0.8500000000000001, retain_rate:1.0, average:0.11270191758609611
Threshold:0.9, retain_rate:1.0, average:0.11270191758609611
Threshold:0.9500000000000001, retain_rate:1.0, average:0.11270191758609611
