predict,label,score,Subject,retained
Can ngăn A và giúp B.,Cùng với A đánh B cho vui.,0.3076923076923076,civic_education,True
Gọi điện cho gia đình của em đó và nhờ sự giúp đỡ của người lớn.,Đèo em bé đó đến gặp công an.,0.1666666666666666,civic_education,True
Không trung thực.,Không tôn trọng lẽ phải.,0.25,civic_education,True
"Làm giàu bằng chính sức lực, tài năng của mình","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,civic_education,True
Chính trực. ,Khiêm tốn.,0.0,civic_education,True
Sang khuyên nhà hàng xóm tắt máy vì đêm đã khuya nên để mọi người ngủ.,Sang đánh nhà hàng xóm.,0.3809523809523809,civic_education,True
"Nói chuyện to, cười đùa trong lớp học ",Tự nhận lỗi về mình,0.0,civic_education,True
Biết ăn biết ở hơn người giàu sang,Lời nói không mất tiền mua,0.0,civic_education,True
Giữ lời hứa. ,Lòng vị tha.,0.0,civic_education,True
Giữ chữ tín. ,Liêm khiết.,0.0,civic_education,True
Văn hóa.,Công bằng.,0.0,civic_education,True
Giúp cho mọi người hoàn thiện mình hơn.,Giúp cho mọi người tôn trọng nhau hơn.,0.625,civic_education,False
"Đất có lề, quê có thói",Phép vua thua lệ làng,0.0,civic_education,True
Giúp cho mọi người tôn trọng nhau hơn.,Giúp cho mọi người gần nhau hơn.,0.7999999999999999,civic_education,False
Tình anh em.,Tình đồng chí.,0.3333333333333333,civic_education,True
"Không có sự ghen tị, đố kỵ.",Phù hợp với nhau về quan niệm sống.,0.0,civic_education,True
Biết phê bình nhau trong mọi trường hợp.,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.631578947368421,civic_education,False
Báo cáo với giáo viên để xử lý đúng quy định. ,Nói với cô giáo để bạn bị phạt.,0.3157894736842105,civic_education,True
Gia đình bà E sống ích kỉ.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.3636363636363636,civic_education,True
Đảng Cộng sản Việt Nam.,Nhà nước.,0.0,civic_education,True
