,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Mạch truyện diễn biến theo [MASKED]
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai"," hiện tại - quá khứ - hiện tại.

Câu trả lời đúng: A

Giải thích: Mạch truyện được cấu tạo từ các đoạn truyện theo thứ tự: hiện tại (mô tả hiện trạng của một tình huống), quá khứ (mô tả nguyên nhân dẫn đến tình huống hiện tại), hiện tại (mô tả kết quả của tình huống).

Ví dụ: ""Tôi vừa nhận được tin tức về việc tôi được tuyển dụng",trình tự thời gian nào?,0.02380952425301075
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tôi đi học của Thanh Tịnh [MASKED]
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," là B: Truyện ngắn trữ tình.

Câu trả lời đúng: Truyện ngắn trữ tình là thể loại truyện ngắn mang tính chất nghệ thuật, thường có nội dung sâu sắc, tình cảm và nhân vật được xây dựng một cách tinh tế. Truyện ngắn trữ tình thường được sử dụng để thể hiện cảm xúc, suy nghĩ và tâm trạng của người sáng tác.

Câu hỏi này có thể liên quan đến tác phẩm ""Tôi đi học của Thanh Tịnh"" của nhà",được viết theo thể loại nào?,0.04210526496171951
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên [MASKED]
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ"," cảm giác sợ hãi hoặc bỡ ngỡ:

A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ

Câu A và B đều thể hiện cảm giác sợ hãi hoặc bỡ ngỡ khi đi đến trường học lần đầu tiên.

C: Trong lúc ông ta đọc tên từng người","tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?",0.16363635659217834
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học [MASKED]
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: Hành động"," là tính cách.

Văn bản Tôi đi học được viết theo thể loại tự truyện, kể về một người con trai đã được cha mẹ gửi đi học tại một trường tư ở thành phố. Trong văn bản, người kể tự nhận mình là một đứa trẻ hiền lành, hiếu học, nhưng lại không thích học hành. Khi được cha mẹ cho đi học, đứa trẻ rất vui mừng và cảm thấy tự hào. Tuy nhiên, khi đến trường, đứ",được miêu tả chủ yếu ở phương diện nào?,0.020408162847161293
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Biện pháp tu từ nào được tác [MASKED]
### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ."," giả sử dụng trong văn bản?

Câu trả lời đúng: A. Nhân hóa

Giải thích: Nhân hóa là biện pháp tu từ được sử dụng khi tác giả muốn thể hiện một hiện tượng, sự vật, sự việc hoặc một tính chất nào đó bằng cách cho rằng chúng có những tính chất, hành động của con người.

Ví dụ: ""Sự xám xỉn của thời tiết"" (xám xỉn là tính chất của thời tiết)

Tuy",giả sử dụng trong đoạn văn trên?,0.13333334028720856
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chủ đề của văn bản “Tôi [MASKED]
### Lựa chọn:
A: Nhan đề của văn bản 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên"," [MASKED] là A: Nhan đề của văn bản

Vì nhan đề của văn bản chính là nội dung chính của văn bản, thể hiện được nội dung và ý nghĩa của văn bản.",đi học” nằm ở phần nào?,0.0
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Sức cuốn hút của tác [MASKED]
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," phẩm nằm ở cả ba yếu tố A, B, C. 

- Bản thân tình huống truyện đã mang đến cho người đọc những câu chuyện thú vị, phong phú về cuộc sống, sự việc của các em học sinh trong nhà trường và gia đình. 
- Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ là điều khiến cho các em cảm thấy được quan tâm, yêu thương và có động lực học tập.
- Hình","phẩm ""Tôi đi học"" là:",0.08791209012269974
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn [MASKED]
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’"," là 'tôi' nên đáp án đúng là D: Nhân vật ‘tôi’

Văn có thể là văn bản tự sự, nhật ký, hồi ký, nhật ký học sinh, nhật ký du lịch, nhật ký học tập, nhật ký hành trình, nhật ký thi cử, nhật ký công tác, nhật ký kinh doanh, nhật ký khoa học, nhật ký chính trị, nhật ký thể thao, nhật ký âm nhạc, nhật ký nghệ thuật, nhật ký văn học,",bản 'Tôi đi học’ là ai?,0.048192769289016724
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh [MASKED]
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: Biểu cảm 
D: Kết hợp cả A, B, C"," Thúy sử dụng trong tác phẩm ""Cô gái Xóm Rác"" là tự sự, miêu tả và biểu cảm.

Vậy, đáp án đúng là: D: Kết hợp cả A, B, C","Tịnh sử dụng trong văn bản ""Tôi đi học”?",0.13636364042758942
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc sắc nghệ thuật của [MASKED]
### Lựa chọn:
A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. 
B: Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.
C: Cả A và B đúng 
D: Cả A và B sai"," ""Truyện Kiều"" là sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.

Hence, câu trả lời đúng là B.","truyện ngắn ""Tôi đi học""?",0.10810811072587967
