,Question,Answer,Label,rouge_score
0,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Mạch truyện diễn biến theo trình tự thời gian nào?
### Lựa chọn:
A: Hiện tại - quá khứ 
B: [MASKED]
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai", Hiện tại - quá khứ,Hiện tại - tương lại,0.5454545617103577
1,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Quê hương của Thanh Tịnh là ở đâu?
### Lựa chọn:
A: Ven sông Hương, thành phố Huế 
B: Ven sông Hồng, thành phố Hà Nội
C: Ven sông Đuống, Gia Lâm (Hà Nội) 
D: [MASKED]","Ở phía nam, thành phố Hồ Chí Minh",Một tỉnh thuộc đồng bằng Bắc Bộ,0.0
2,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: [MASKED] 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," ""Truyện trường học"". 

Vậy nên câu hỏi sẽ hoàn chỉnh như sau:

### Câu hỏi: Tôi đi học của Thanh Tịnh được viết theo thể loại nào?
### Lựa chọn:
A: Truyện trường học
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút",Bút kí,0.03773584961891174
3,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?
### Lựa chọn:
A: [MASKED] 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ","Ở ngôi nhà cũ kia, tôi vẫn còn nhớ mùi sương sớm của mùa thu, tiếng rì rầm của cỏ dại và tiếng chim hót. 

Vậy nên, đáp án hoàn chỉnh cho câu hỏi sẽ là:

### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu",Lần ấy trường đối với tôi là một nơi xa lạ,0.042553190141916275
4,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học được miêu tả chủ yếu ở phương diện nào?
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: [MASKED]", Hoạt động hoặc sự nghiệp.,Hành động,0.2222222238779068
5,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Biện pháp tu từ nào được tác giả sử dụng trong đoạn văn trên?
### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: [MASKED] 
D: D. Ẩn dụ.",Ẩn dụ.,C. Điệp ngữ.,0.0
6,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Chủ đề của văn bản “Tôi đi học” nằm ở phần nào?
### Lựa chọn:
A: [MASKED] 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên",Ở nội dung chính của văn bản.,Nhan đề của văn bản,0.4615384638309479
7,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Sức cuốn hút của tác phẩm ""Tôi đi học"" là:
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: [MASKED]
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," Sức cuốn hút của tác phẩm ""Tôi đi học"" đến từ sự kết hợp giữa bản thân tình huống truyện, hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả.","Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.",0.09375
8,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Nhân vật chính trong văn bản 'Tôi đi học’ là ai?
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: [MASKED] 
D: Nhân vật ‘tôi’"," ""Người con trai"".",Ông đốc,0.0
9,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh Tịnh sử dụng trong văn bản ""Tôi đi học”?
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: [MASKED] 
D: Kết hợp cả A, B, C",Ảnh minh.,Biểu cảm,0.0
10,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Đặc sắc nghệ thuật của truyện ngắn ""Tôi đi học""?
### Lựa chọn:
A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. 
B: [MASKED]
C: Cả A và B đúng 
D: Cả A và B sai"," Truyện ""Tôi đi học"" được viết theo phong cách tự sự, miêu tả chân thực cuộc sống học đường của một cậu bé ở thời điểm chuyển đổi từ thời kỳ học tiểu học sang học trung học.","Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.",0.095238097012043
11,"Dựa vào trí nhớ của bạn về các bộ dữ liệu, hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm. 
### Câu hỏi: Hai câu văn sau trong tác phẩm “Tôi đi học” đã thể hiện những đức tính gì của ông đốc và thầy giáo trẻ?
### Lựa chọn:
A: Rất vui vẻ. 
B: Hết lòng săn sóc và thương yêu học sinh.
C: [MASKED] 
D: Cả 3 ý trên đều đúng",Ưu ái và dạy dỗ học sinh một cách tận tâm.,Rất hiền hậu.,0.0
