,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Mạch truyện diễn biến theo [MASKED]
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai"," **C: Hiện tại - quá khứ - hiện tại** 

**Giải thích:**

Mạch truyện diễn biến theo trình tự thời gian:

* **Hiện tại:**  Đây là thời điểm diễn ra câu chuyện.
* **Quá khứ:**  Là thời gian trước đó, dẫn dắt câu chuyện.
* **Hiện tại:**  Là kết thúc câu chuyện.

**Lý do chọn C:**

* **Hiển thị sự liên kết",trình tự thời gian nào?,0.09375
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tôi đi học của Thanh Tịnh [MASKED]
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," **C: Tiểu thuyết** 

**Giải thích:**

Câu hỏi này đề cập đến tác phẩm của Thanh Tịnh.  Thanh Tịnh là một nhà văn Việt Nam nổi tiếng, nổi tiếng với các tác phẩm tiểu thuyết. 

* **Bút kí:**  Là loại viết tay, không liên quan đến Thanh Tịnh.
* **Truyện ngắn trữ tình:**  Là một thể loại văn học khác, không phải là tác phẩm của Thanh Tịnh.",được viết theo thể loại nào?,0.07894736528396606
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên [MASKED]
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ"," **sự lạ lùng**? 

**Đáp án: D**

**Giải thích:**

* **A:**  Câu văn này nói về sự xa lạ của trường đối với nhân vật.
* **B:** Câu văn này nói về sự bỡ ngỡ của nhân vật và các bạn học sinh.
* **C:** Câu văn này nói về sự bối rối của nhân vật khi gặp ông ta đọc tên.
* **D:** Câu","tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?",0.1627907007932663
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học [MASKED]
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: Hành động"," là **C: Tâm trạng**. 

**Giải thích:**

* **Tâm trạng** là tâm tư, cảm xúc, suy nghĩ, tình cảm của nhân vật chính. 
* **Ngoại hình** là hình dáng, vẻ ngoài của nhân vật.
* **Tính cách** là tính cách, phẩm chất, hành vi của nhân vật.
* **Hành động** là những gì nhân vật làm.


Trong văn bản ""Tôi đi học"", tâm trạng",được miêu tả chủ yếu ở phương diện nào?,0.0
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Biện pháp tu từ nào được tác [MASKED]
### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ."," **[A]  nhân hóa** 

**Giải thích:**

* **Nhân hóa** là biện pháp tu từ dùng để cho các vật thể, hiện tượng, hoặc ý tưởng có tính năng động, hoạt động như con người. 

Cụ thể hơn:

* **A. Nhân hóa:**  là biện pháp tu từ dùng để cho các vật thể, hiện tượng, hoặc ý tưởng có tính năng động, hoạt động như con người. ",giả sử dụng trong đoạn văn trên?,0.0
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chủ đề của văn bản “Tôi [MASKED]
### Lựa chọn:
A: Nhan đề của văn bản 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên"," **[MASKED]**” là **D: Cả ba yếu tố trên** 

**Giải thích:**

* **Nhan đề của văn bản:**  Là chủ đề chính của văn bản, nó cung cấp thông tin chung về nội dung.
* **Quan hệ giữa các phần của văn bản:**  Là cách các phần trong văn bản liên kết với nhau, thể hiện mối quan hệ giữa các ý tưởng, câu, đoạn văn.
* **Các từ ngữ, câu",đi học” nằm ở phần nào?,0.02777777798473835
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Sức cuốn hút của tác [MASKED]
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," **A: Bản thân tình huống truyện.** 

**Giải thích:**

Câu hỏi liên quan đến sức cuốn hút của tác phẩm, trong đó ""tình huống truyện"" là yếu tố chính trực tiếp gây cuốn hút. 

* **A: Bản thân tình huống truyện** là lựa chọn chính xác nhất vì nó trực tiếp thể hiện sức cuốn hút của tác phẩm. 
* **B: Tình cảm ấm áp, trìu mến của những người","phẩm ""Tôi đi học"" là:",0.025641025975346565
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn [MASKED]
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’"," bản là **D: Nhân vật ‘tôi’**. 

**Giải thích:**

Câu hỏi này yêu cầu bạn điền vào chỗ trống để hoàn thành câu hỏi trắc nghiệm.  Câu hỏi là ""Nhân vật chính trong văn [MASKED]"" nên cần điền vào chỗ trống là từ ngữ liên quan đến nhân vật chính. 

Trong các lựa chọn, chỉ có ""Nhân vật 'tôi'"" là một nhân vật chính trong văn bản. 

Cụ",bản 'Tôi đi học’ là ai?,0.10526315867900848
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh [MASKED]
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: Biểu cảm 
D: Kết hợp cả A, B, C"," **[A: Tự sự]** 

**Giải thích:**

Câu hỏi hỏi về phương thức biểu đạt của tác giả Thanh.  

* **Tự sự:**  Là phương thức biểu đạt chính trong văn học, thường được sử dụng để kể chuyện, kể về những sự kiện, hành động, cảm xúc của nhân vật. 
* **Miêu tả:** Là phương thức biểu đạt để mô tả hình ảnh, cảnh vật, nhân vật, tình huống,","Tịnh sử dụng trong văn bản ""Tôi đi học”?",0.07792207598686218
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc sắc nghệ thuật của [MASKED]
### Lựa chọn:
A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. 
B: Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.
C: Cả A và B đúng 
D: Cả A và B sai"," **A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường.** 

**Giải thích:**

* **Câu hỏi:**  Đặt câu hỏi về đặc sắc nghệ thuật của truyện.
* **Lựa chọn A:**  Câu trả lời A chính xác. Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tự","truyện ngắn ""Tôi đi học""?",0.02631578966975212
