Threshold:0.0, retain_rate:0.343, average:0.0
Threshold:0.05, retain_rate:0.42933333333333334, average:0.006658833394119422
Threshold:0.1, retain_rate:0.52, average:0.0187014384642226
Threshold:0.15000000000000002, retain_rate:0.6, average:0.03296381086630261
Threshold:0.2, retain_rate:0.6683333333333333, average:0.047664786673005166
Threshold:0.25, retain_rate:0.717, average:0.06035833698431243
Threshold:0.30000000000000004, retain_rate:0.753, average:0.07082651970988606
Threshold:0.35000000000000003, retain_rate:0.8136666666666666, average:0.09005834888991729
Threshold:0.4, retain_rate:0.8533333333333334, average:0.10361927226146447
Threshold:0.45, retain_rate:0.8696666666666667, average:0.1097735841784901
Threshold:0.5, retain_rate:0.905, average:0.12459149555821028
Threshold:0.55, retain_rate:0.9176666666666666, average:0.13025018609316788
Threshold:0.6000000000000001, retain_rate:0.937, average:0.1395445485431919
Threshold:0.65, retain_rate:0.945, average:0.14365248755005916
Threshold:0.7000000000000001, retain_rate:0.9593333333333334, average:0.1514954020806205
Threshold:0.75, retain_rate:0.973, average:0.15961964617995889
Threshold:0.8, retain_rate:0.982, average:0.16533925673324434
Threshold:0.8500000000000001, retain_rate:0.9913333333333333, average:0.1716267714906334
Threshold:0.9, retain_rate:0.9973333333333333, average:0.17584715410421473
Threshold:0.9500000000000001, retain_rate:1.0, average:0.17782792898610805
