Threshold:0.0, retain_rate:0.7113333333333334, average:0.0
Threshold:0.05, retain_rate:0.712, average:2.813670515651334e-05
Threshold:0.1, retain_rate:0.7273333333333334, average:0.0016492667226385453
Threshold:0.15000000000000002, retain_rate:0.7556666666666667, average:0.006264270023234519
Threshold:0.2, retain_rate:0.7766666666666666, average:0.010747210311307669
Threshold:0.25, retain_rate:0.8123333333333334, average:0.020120394043547964
Threshold:0.30000000000000004, retain_rate:0.8306666666666667, average:0.02579735154375721
Threshold:0.35000000000000003, retain_rate:0.852, average:0.033310328612427616
Threshold:0.4, retain_rate:0.865, average:0.03835460499488894
Threshold:0.45, retain_rate:0.8866666666666667, average:0.04752545123219602
Threshold:0.5, retain_rate:0.9103333333333333, average:0.05914166981728795
Threshold:0.55, retain_rate:0.9183333333333333, average:0.06327415605814292
Threshold:0.6000000000000001, retain_rate:0.924, average:0.06635826110670512
Threshold:0.65, retain_rate:0.9333333333333333, average:0.07183292862094406
Threshold:0.7000000000000001, retain_rate:0.948, average:0.08105267241201593
Threshold:0.75, retain_rate:0.9556666666666667, average:0.08626707369168649
Threshold:0.8, retain_rate:0.9586666666666667, average:0.08840417261500953
Threshold:0.8500000000000001, retain_rate:0.9673333333333334, average:0.09488159909569688
Threshold:0.9, retain_rate:0.9766666666666667, average:0.102281433654752
Threshold:0.9500000000000001, retain_rate:0.9813333333333333, average:0.10620030591266898
