Question,Label,Choosed_wrong_answer,True_answer
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Đọc đoạn văn sau và trả lời câu hỏi Tiếng sáo và tiếng hò reo của bọn trẻ gợi cho tác giả nhớ về điều gì?: 
TIẾNG SÁO DIỀU

Không biết tự bao giờ, mùa hạ đã in đậm trong tôi. Đó là mùa của những cánh diều no gió, mùa của những tâm hồn khát vọng tuổi thơ.

Mỗi buổi chiều, khi những tia nắng chói chang tắt dần cũng là lúc tụi trẻ chúng tôi ùa ra cánh đồng, tung lên trời những cánh diều nhỏ. Xếp lại những lo toan bài vở, chúng tôi đau đáu nhìn theo những cánh diều trên bầu trời cao rộng. Thả điều trong buổi chiều lộng gió, được lắng nghe tiếng sáo vi vu hòa lẫn tiếng reo hò của bọn trẻ. Chẳng có bản nhạc của một nghệ sĩ thiên tài nào có thể so sánh nổi bản nhạc ấy của đồng quê. Tiếng sáo ấy trong và thanh như tiếng gọi của mùa hè, tiếng gọi của những tâm hồn đi tìm về kí ức tuổi thơ.

Tôi xa cánh điều tuổi thơ đã khá lâu.. Tiếng sáo diều vẫn len lỏi trong từng giấc mơ tôi, gợi về một miền kí ức.

Một mùa hè lại đến. Tôi khoác ba lộ về thăm quê với tiếng sáo diều giục giã. Tôi bắt gặp hình ảnh những cậu bé đang mải mê với nan tre uốn cánh diều giống tôi ngày trước. Bất chợt, tiếng sáo diều vút lên ngân nga trên cánh đồng yên ả khiến tôi sững người. Tôi đã nhận ra bao điều trong tiếng sáo ấy... Ôi. sáo diều... có lẽ sẽ theo tôi suốt cả cuộc đời này...
Lựa chọn: 
A: Thể hiện tình yêu của tác giả với âm thanh của tiếng sáo
B: Thể hiện niềm yêu thích của tác giả với đồng quê
C: Gợi cho tác giả nhớ về những kí ức của tuổi thơ
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Gợi cho tác giả nhớ về những buổi trưa hè oi ả,D,C
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Cuối thế kỉ XIX, thực dân Pháp hoàn thành quá trình xâm lược các nước nào ở Đông Nam Á?
Lựa chọn: 
A: Thái Lan, Việt Nam, Cam-pu-chia.
B: []
C: Việt Nam, Lào, Cam-pu-chia, Thái Lan.
D: Việt Nam, Lào, Cam-pu-chia, Xin-ga-po.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","Việt Nam, Lào, Cam-pu-chia.",B,C
"Hãy điền vào trong dấu [] tại lựa chọn D dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Minh và 11 người bạn mua mỗi người một cốc nước mía. Trên tấm biển của cửa hàng có ghi giá 1 cốc nước mía là 10 000 đồng. Khi Minh thay mặt các bạn trả tiền, người bán hàng nói rằng: cửa hàng đang có chương trình khuyến mãi “mua 5 tặng 1”, mua 5 cốc nước mía được tặng 1 cốc. Vậy số tiền Minh phải trả người bán hàng là?
Lựa chọn: 
A: 100 000 đồng
B: 110 000 đồng
C: 90 000 đồng
D: []
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",120 000 đồng,D,A
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Hiện tượng khúc xạ ánh sáng là:
Lựa chọn: 
A: []
B: Hiện tượng ánh sáng đổi phương truyền khi truyền từ môi trường này sang môi trường khác.
C: Hiện tượng ánh sáng tăng độ sáng khi truyền từ môi trường này sang môi trường khác
D: Hiện tượng ánh sáng giảm độ sáng khi truyền từ môi trường này sang môi trường khác.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Hiện tượng ánh sáng đổi màu khi truyền từ môi trường này sang môi trường khác.,A,B
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Một nười có khối lượng 60kg, đứng trên mặt đất. Diện tích 2 bàn chân là $3dm^{2}$. Áp suất người đó gây trên mặt đất là :
Lựa chọn: 
A: $20N/m^{2}$
B: []
C: $2000N/m^{2}$
D: $20000N/m^{2}$
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",$200N/m^{2}$,B,D
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Cho dân số huyện Vạn Ninh là 12000 người, số trẻ em sinh ra trong năm là 120 người, số người chết là 60 người. Hãy cho biết tỉ suất gia tăng dân số tự nhiên là bao nhiêu
Lựa chọn: 
A: 1,0%
B: []
C: 0,5%0
D: 0,5%
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","1,0%0",B,D
"Hãy điền vào trong dấu [] tại lựa chọn A dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Hội thề nào thể hiện tinh thần đoàn kết của các tướng lĩnh trong buổi đầu cuộc khởi nghĩa Lam Sơn?
Lựa chọn: 
A: []
B: Bình Than
C: Như Nguyệt
D: Lũng Nhai
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",Đông Quan,A,D
"Hãy điền vào trong dấu [] tại lựa chọn C dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Ở nước ta chăn nuôi chiếm tỉ trọng thấp trong nông nghiệp nguyên nhân chủ yếu là?
Lựa chọn: 
A: Nước ta đất hẹp người đông nên chăn nuôi khó phát triển.
B: Không có nhiều đồng cỏ, nguồn thức ăn còn thiếu.
C: []
D: Cơ sở vật chất cho chăn nuôi còn yếu kém
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","Giống gia súc, gia cầm có chất lượng thấp.",C,D
"Hãy điền vào trong dấu [] tại lựa chọn B dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Este đơn chức X có tỉ khối hơi so với CH4 là 6,25. Cho 20 gam X tác dụng với 300 ml dung dịch KOH 1M (đun nóng). Cô cạn dung dịch sau phản ứng thu được 28 gam chất rắn khan. Công thức cấu tạo của X là
Lựa chọn: 
A: CH3-CH2-COO-CH=CH2
B: []
C: CH2=CH-CH2- COO -CH3
D: CH3-COO-CH=CH-CH3
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
",CH2=CH-COO-CH2-CH3,B,D
"Hãy điền vào trong dấu [] tại lựa chọn C dựa vào kiến thức của bạn.
Hãy nhớ một luật quan trọng rằng: câu trả lời của bạn phải khác các lựa chọn còn lại
Câu hỏi: Các quốc gia cổ đại trong lịch sử loài người xuất hiện sớm nhất ở:
Lựa chọn: 
A: Ai Cập, Rô-ma, Ấn Độ, Trung Quốc.
B: Trung Quốc, Ấn Độ, Lưỡng Hà, Ai Cập.
C: []
D: Hi Lạp, Rô-ma, Ấn Độ, Ai Cập.
Hãy đưa ra câu trả lời chỉ chứa duy nhất nội dung của phần lựa chọn được yêu cầu.
","Hi lạp, Rô-ma, Ấn Độ, Lưỡng Hà.",C,B
