,Question,Answer,Label,rouge_score
0,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Giá tính thuế GTGT đối với hàng [MASKED]
### Lựa chọn:
A: Giá bán đã có thuế Tiêu thụ đặc biệt 
B: Giá bán đã có thuế Tiêu thụ đặc biệt nhưng chưa có thuế GTGT
C: Giá bán đã có thuế Tiêu thụ đặc biệt và thuế GTGT 
D: nan"," hoá, dịch vụ là giá bán chưa có thuế giá trị gia tăng. ",hoá chịu thuế TTĐB là giá bán:,0.3636363744735718
1,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Cần phải đặt vật sáng cách thấu kính hội tụ có tiêu cự f = 5 cm một [MASKED]
### Lựa chọn:
A: D = 12 cm 
B: D = 6 cm
C: D = 25 cm 
D: D = 4 cm", khoảng D = 6 cm. ,khoảng cách bằng bao nhiêu để thu được ảnh thật có độ phóng đại gấp 5 lần vật?,0.1666666716337204
2,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Theo Hiến pháp 2013, Bỏ phiếu tín nhiệm đối với người giữ chức vụ [MASKED]
### Lựa chọn:
A: UBTVQH 
B: Chính Phủ
C: Quốc hội 
D: Thủ tướng", Thủ tướng Chính phủ. ,do Quốc hội bầu hoặc phê chuẩn là nhiệm vụ và quyền hạn của,0.0
3,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong số các câu sau, [MASKED]
### Lựa chọn:
A: Số 15 chia hết cho 2 
B: Các bạn có làm được bài kiểm tra này không?
C: Chúc các bạn đạt điểm như mong đợi! 
D: Thời tiết hôm nay thật đẹp!"," [MASKED]
A: Số 15 chia hết cho 2 
B: Các bạn có làm được bài kiểm tra này không?
C: Chúc các bạn đạt điểm như mong đợi! 
D: Thời tiết hôm nay thật đẹp! ",câu nào là mệnh đề,0.0
4,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Sắp xếp 5 hình thức vận động theo thứ tự [MASKED]
### Lựa chọn:
A: Lý học, cơ học, hóa học, sinh học, xã hội 
B: Cơ học, lý học, hóa học, sinh học, xã hội
C: Xã hội, sinh học, hóa học, lý học, cơ học 
D: Sinh học, cơ học, hóa học, xã hội, lý học",": Lý học, cơ học, hóa học, sinh học, xã hội. ",từ thấp lên cao theo cách chia của Ph. Ănghen.,0.0
5,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hiện thực thời vua Lê chúa Trịnh [MASKED]
### Lựa chọn:
A: Thối nát, mục ruỗng, đầy những giả dối, bất công 
B: Thời đại rực rỡ, huy hoàng, người dân sống êm ấm
C: Quan lại lo hưởng thụ, cướp bóc, dân chúng đói khổ, cơ cực 
D: Cả 3 đáp án trên"," là thời đại thối nát, mục ruỗng, đầy những giả dối, bất công. ",được khắc họa qua bài như thế nào?,0.0
6,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Theo Nghị quyết số 76/NQ-CP của Chính phủ ngày 15/07/2021 Ban hành Chương trình tổng thể cải cách hành chính nhà nước [MASKED]
### Lựa chọn:
A: 90% hệ thống báo cáo của các bộ, ngành, địa phương được kết nối liên thông, chia sẻ dữ liệu với Hệ thống thông tin báo cáo quốc gia 
B: 95% hệ thống báo cáo của các bộ, ngành, địa phương được kết nối liên thông, chia sẻ dữ liệu với Hệ thống thông tin báo cáo quốc gia
C: 99% hệ thống báo cáo của các bộ, ngành, địa phương được kết nối liên thông, chia sẻ dữ liệu với Hệ thống thông tin báo cáo quốc gia 
D: 100% hệ thống báo cáo của các bộ, ngành, địa phương được kết nối liên thông, chia sẻ dữ liệu với Hệ thống thông tin báo cáo quốc gia"," giai đoạn 2021-2030, đến năm 2025, phấn đấu đạt được các mục tiêu sau đây :
A: 90% hệ thống báo cáo của các bộ, ngành, địa phương được kết nối liên thông, chia sẻ dữ liệu với Hệ thống thông tin báo cáo quốc gia 
B: 95% hệ thống báo cáo của các bộ, ngành, địa phương được kết nối liên thông, chia sẻ dữ liệu với","giai đoạn 2021 - 2030, Mục tiêu Xây dựng và phát triển Chính phủ điện tử, Chính phủ số Đến năm 2025:",0.32478633522987366
7,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trường hợp nào sau [MASKED]
### Lựa chọn:
A: Sĩ quan, hạ sĩ quan trong các cơ quan, đơn vị thuộc quân đội nhân dân Việt Nam 
B: Cá nhân người nước ngoài
C: Cán bộ lãnh đạo, quản lý nghiệp vụ trong các DN 100% vốn sở hữu nhà nước 
D: Người đang chấp hành hình phạt tù"," đây không được coi là người lao động theo quy định của pháp luật về lao động?
A: Sĩ quan, hạ sĩ quan trong các cơ quan, đơn vị thuộc quân đội nhân dân Việt Nam
B: Cá nhân người nước ngoài
C: Cán bộ lãnh đạo, quản lý nghiệp vụ trong các DN 100% vốn sở hữu nhà nước
D: Người đang chấp hành hình phạt tù ",đây được phép mở DNTN?,0.10126582533121109
8,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các hành vi nào dưới đây [MASKED]
### Lựa chọn:
A: Có giấy phép kinh doanh, đóng thuế đầy đủ 
B: Trốn thuế , kinh doanh bất hợp pháp
C: Lấn chiếm vỉa hè để kinh doanh 
D: Lấy hàng hóa không đảm bảo yêu cầu"," là vi phạm pháp luật?
A: Có giấy phép kinh doanh, đóng thuế đầy đủ
B: Trốn thuế, kinh doanh bất hợp pháp
C: Lấn chiếm vỉa hè để kinh doanh
D: Lấy hàng hóa không đảm bảo yêu cầu ",cho là kinh doanh hợp pháp ?,0.25925925374031067
9,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chọn đáp án trả lời đúng nhất: Kiên trì [MASKED]
### Lựa chọn:
A: Giữ vững nền độc lập dân tộc 
B: Thực hiện triệt để cuộc cách mạng dân tộc dân chủ nhân dân
C: Thực hiện mục tiêu độc lập dân tộc gắn liền với chủ nghĩa xã hội 
D: Hội nhập với nền kinh tế thế giới", mục tiêu độc lập dân tộc gắn liền với chủ nghĩa xã hội. ,con đường Hồ Chí Minh đã lựa chọn nghĩa là:,0.08695652335882187
10,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhóm phương pháp nào sau đây được [MASKED]
### Lựa chọn:
A: Nhóm phương pháp thực hành trải nghiệm, nhóm phương pháp trực quan - minh họa, nhóm phương pháp dùng tình cảm và khích lệ 
B: Nhóm phương pháp thực hành trải nghiệm, nhóm phương pháp trực quan - minh họa, nhóm phương pháp dùng lời nói
C: Nhóm phương pháp thực hành trải nghiệm, nhóm phương pháp trực quan - minh họa, nhóm phương pháp quan sát 
D: Nhóm phương pháp thực hành trải nghiệm, nhóm phương pháp trực quan - minh họa, nhóm phương pháp dùng lời nói, nhóm phương pháp dùng tình cảm và khích lệ, nhóm phương pháp nêu gương, đánh giá"," sử dụng trong giáo dục?
A: Nhóm phương pháp thực hành trải nghiệm, nhóm phương pháp trực quan - minh họa, nhóm phương pháp dùng lời nói
B: Nhóm phương pháp thực hành trải nghiệm, nhóm phương pháp trực quan - minh họa, nhóm phương pháp dùng lời nói, nhóm phương pháp dùng tình cảm và khích lệ, nhóm phương pháp nêu gương, đánh giá
C: Nhóm phương pháp thực hành trải nghiệm, nhóm phương pháp trực quan - minh họa, nhóm phương pháp",sử dụng để giáo dục trẻ mẫu giáo?,0.08988764137029648
11,"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: TƯƠNG TÁC giữa Pralidoxim và gốc [MASKED]
### Lựa chọn:
A: Đối kháng dược lý cạnh tranh 
B: Đối kháng hóa học
C: Đối kháng sinh lý 
D: Đối kháng dược lý không thuận nghịch", Phospho hữu cơ là đối kháng dược lý không thuận nghịch. ,Phospho của THUỐC TRỪ SÂU là:,0.380952388048172
