Question,A,B,C,D
Một nền kinh tế trong trạng thái toàn dụng nhân công có nghĩa là:,Không còn lạm phát nhưng có thể còn thất nghiệp,Không còn thất nghiệp nhưng có thể còn lạm phát,Không còn thất nghiệp và không còn lạm phát,Vẫn còn một tỷ lệ lạm phát và tỷ lệ thất nghiệp nhất định
"Trong cơ chế tỷ giá hối đoái cố định, muốn triệt tiêu lượng dư cung ngoại tệ, NHTƯ  phải:",Dùng ngoại tệ để mua nội tệ,Dùng nội tệ để mua ngoại tệ,Không can thiệp vào thị trường ngoại hối,Các lựa chọn đều sai
Tỷ  giá thay đổi sẽ ảnh hưởng đến,Cán cân thương mại,Cán cân thanh toán,Sản lượng quốc gia,Các lựa chọn đều đúng
"Theo lý thuyết của Keynes, những chính sách nào sau đây thích hợp nhất nhằm giảm tỷ lệ  thất nghiệp:",Giảm thuế và gia tăng số mua hàng hóa của chính phủ,Tăng thuế và giảm số mua hàng hóa của chính phủ,Tăng thuế thu nhập và tăng số mua hàng hóa của chính phủ,"Phá giá, giảm thuế và giảm số mua hàng hóa của chính phủ"
Chính sách nào của chính phủ sẽ làm kinh tế tăng trưởng nhiều nhất,"Giảm thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và giảm thâm hụt","Giảm thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và tăng thâm hụt","Tăng thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và giảm thâm hụt","Tăng thuế thu nhập từ tiết kiệm, cung cấp tín dụng thuế đầu tư, và tăng thâm hụt"
Nếu những người cho vay và đi vay thống nhất về một mức lãi suất danh nghĩa nào đó và lạm phát trong thực tế lại thấp hơn so với mức mà họ kỳ vọng thì:,Người đi vay sẽ được lợi và người cho vay bị thiệt,Người cho vay được lợi và người đi vay bị thiệt,Cả người đi vay và người cho vay đều không được lợi vì lãi suất danh nghĩa được cố định theo hợp đồng,Các lựa chọn đều không đúng
"Hàm số tiêu dùng: C = 20 + 0,9 Y (Y:thu nhập). Tiết kiệm S ở mức thu nhập  khả dụng 100 là:",S = 10,S = 0,S = -10,Không thể tính được
Tác động “hất ra” (hay còn gọi là tác động lấn át) của chính sách tài chính là do:,"Tăng chi tiêu của chính phủ làm giảm lãi suất, dẫn tới tăng đầu tư, làm tăng hiệu lực kích thích tổng cầu","Tăng chi tiêu của chính phủ làm tăng lãi suất, dẫn tới giảm đầu tư, làm giảm hiệu lực kích thích tổng cầu","Giảm chi tiêu của chính phủ làm tăng lãi suất, dẫn tới giảm đầu tư, làm giảm hiệu lực kích thích tổng cầu","Giảm chi tiêu của chính phủ, làm giảm lãi suất, dẫn tới tăng đầu tư, làm tăng hiệu lực kích thích tổng cầu"
"Theo lý thuyết xác định sản lượng (được minh họa bằng đồ thị có đường 450), nếu tổng chi tiêu kế hoạch (tổng cầu dự kiến) lớn hơn GDP thực (hoặc sản lượng) thì:",Các doanh nghiệp sẽ giảm sản lượng để giải phóng thặng dư tồn kho so với mức tồn kho dự kiến,Các doanh nghiệp sẽ tăng hoặc giảm sản lượng tuỳ theo tình hình tồn kho thực tế là ít hơn hay nhiều hơn mức tồn kho dự kiến,Các doanh nghiệp sẽ không thay đổi sản lượng vì tồn kho thực tế đã bằng mức tồn kho dự kiến,Các doanh nghiệp sẽ tăng sản lượng để bổ sung tồn kho cho đủ mức tồn kho dự kiến
Mở rộng tiền tệ (hoặc nới lỏng tiền tệ):,"Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách giảm thuế, tăng trợ cấp xã hội, hoặc tăng chi tiêu ngân sách","Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách tăng lãi suất chiết khấu, tăng tỷ lệ dự trữ bắt buộc, hoặc bán ra chứng khoán nhà nước","Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách hạ lãi suất chiết khấu, giảm tỷ lệ dự trữ bắt buộc, hoặc mua các chứng khoán nhà nước",Là một chính sách do NHTƯ thực hiện để kích cầu bằng cách phát hành trái phiếu chính phủ
Sản  lượng tiềm năng (sản lượng toàn dụng) là mức sản lượng:,Mà tại đó nếu tăng tổng cầu thì lạm phát sẽ tăng nhanh,Mà tại đó nền kinh tế còn tỷ lệ thất nghiệp thấp nhất,Tối đa của nền kinh tế,Các lựa chọn đều đúng
"Giả định lãi suất là 8%. Nếu phải lựa chọn giữa 100$ ngày hôm nay và 116$ ngày này hai năm sau, bạn sẽ chọn:",100$ ngày hôm nay,116$ ngày này 2 năm sau,Không có gì khác biệt giữa hai phương án trên,Không chọn phương án nào
Khoản  mục nào sau đây không được tính vào GDP của năm 1989? Doanh  thu của:,Một chiếc xe Honda sản xuất năm 1989 ở Tennessee,Dịch vụ cắt tóc,Dịch vụ của nhà môi giới bất động sản,
"Nếu một người thợ giày mua một miếng da trị giá 100$, một cuộn chỉ trị giá 50$, và sử dụng chúng để sản xuất và bán những đôi giày trị giá 500$ cho người tiêu dùng, giá trị đóng góp vào GDP là:",50$,100$,500$,
Nếu GDP lớn hơn GNP của Việt Nam thì:,Người nước ngoài đang sản xuất ở Việt Nam nhiều hơn so với người Việt Nam đang sản xuất ở nước ngoài,Người VN đang sản xuất ở nước ngoài nhiều hơn so với người nước ngoài đang sản xuất ở VN,GDP thực tế lớn hơn GDP danh nghĩa,
Khoản chi tiêu 40.000$ mua một chiếc xe BMW được sản xuất tại Đức của bạn được tính vào GDP của Mỹ như thế nào:,Đầu tư tăng 40.000$ và xuất khẩu ròng tăng 40.000$,Tiêu dùng tăng 40.000$ và xuất khẩu ròng giảm 40.000$,Xuất khẩu ròng giảm 40.000$,
Lạm phát có thể được đo lường bằng tất cả các chỉ số sau đây trừ:,Chỉ số điều chỉnh GDP,Chỉ số giá tiêu dùng,Chỉ số giá sản xuất,
CPI sẽ bị ảnh hưởng nhiều nhất bởi sự gia tăng 10% giá cả của mặt hàng tiêu dùng nào sau đây:,Nhà ở,Giao thông,Thực phẩm và đồ uống,
“Giỏ hàng hóa” được sử dụng để tính CPI bao gồm:,Nguyên vật liệu thô được mua bởi các doanh nghiệp,Tất cả các sản phẩm hiện hành,Các sản phẩm được mua bởi người tiêu dùng điển hình,
"Để thúc đẩy tăng trưởng, chính phủ không nên làm gì sau đây:",Thúc đẩy thương mại tự do,Khuyến khích tiết kiệm và đầu tư,Kiểm soát sự gia tăng dân số,
Thước đo hợp lý đối với mức sống của một nước là:,GDP thực bình quân đầu người,GDP thực,GDP danh nghĩa bình quân đầu người,
Nhiều nước Đông Á đang tăng trưởng rất nhanh vì:,Họ có nguồn tài nguyên dồi dào,Họ là các nước đế quốc và đã vơ vét được của cải từ chiến thắng trước đây trong chiến tranh,Họ đã dành một tỷ lệ rất lớn của GDP cho tiết kiệm và đầu tư,
Khi một nước có GDP bình quân rất nhỏ:,Nước này phải chịu số mệnh nghèo mãi mãi,Nước này chắc hẳn là một nước nhỏ,Nước này có tiềm năng tăng trưởng tương đối nhanh nhờ “hiệu ứng bắt kịp”,
"Khi một nước giàu có,",Nước này hầu như không thể nghèo đi một cách tương đối,Nước này sẽ khó có thể tăng trưởng nhanh chóng do quy luật lợi tức giảm dần đối với tư bản,Tư bản trở nên có năng suất hơn nhờ “hiệu ứng bắt kịp”,
