predict,label,score,Subject,retained
ethically as long as she clarifies her roles with all parties. ,unethically by accepting dual roles.,0.125,civic_education,True
"Within the context of the war on terror analogy, in which the norms of retaliation and punishment prevail, pre-emptive action is taken against training facilities, headquarters, sources of funding, and even the assassination of key individuals.","Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.",0.1714285714285714,civic_education,True
hearsay.,hearsay.,1.0,civic_education,True
Domestic law does not prevail over international law,Only customary international law prevails over domestic law,0.375,civic_education,True
],generalized anxiety disorder,0.0,civic_education,True
45°,cos–1 (1/g),0.0,civic_education,True
Mutation of the RNA genome at many positions,Recombining with another enterovirus,0.0,civic_education,True
],mutual defense provisions of the North Atlantic Treaty Organization (NATO),0.0,civic_education,True
The seller can obtain only the reasonable value of the use of the car in a restitution action.,The seller can sue the minor for misrepresentation and fraud in not revealing his age prior to buying the car.,0.3157894736842105,civic_education,True
],Calvin cycle,0.0,civic_education,True
"The costs of free trade are dispersed, but benefits are concentrated",Regime type,0.0,civic_education,True
"False, True ","False, True",1.0,civic_education,False
To provide a permanent airway. ,Prior to neck surgery.,0.2222222222222222,civic_education,True
"$45,000. 00","$55,000. 00",0.5,civic_education,False
the central city and the adjacent counties.,the central city and its hinterlands.,0.6153846153846153,civic_education,True
"Social accounting, Financial accounting.","Financial accounting, Environmental management initiatives",0.4444444444444445,civic_education,True
0.05 J,0.005 J,0.5,civic_education,False
is prevented from everting by papillary muscles.,is a semilunar valve,0.1818181818181818,civic_education,True
is used to determine the content of minerals in a soil sample,was used to demonstrate DNA as the genetic material,0.2857142857142857,civic_education,True
Scenario 1,"Wrong, Wrong",0.0,civic_education,True
not pure,useful,0.0,civic_education,True
Voting Rights Act of 1965],Medicare and Medicaid,0.0,civic_education,True
The board of trustees recommends it.,The governor approves of it.,0.5454545454545454,civic_education,True
],"In the twentieth century, jobs in advanced technical and medical industries generally require postgraduate degrees.",0.0,civic_education,True
the spread of religious skepticism among the educated elite of Britain in the eighteenth century,the hatred of all things Roman by British scholars in the eighteenth century,0.4285714285714285,civic_education,True
Increasing the total surface area available for diffusion,Decreasing the solubility of the gas in water,0.125,civic_education,True
Interacting with a virus infected cell,Interacting with a plasma cell,0.7272727272727272,civic_education,True
"A 17-year-old male who is a B student and a talented artist, but who feels that his life is out of control","Rosa, a 26-year old Hispanic female, who has just received her law degree, is struggling with debt from school, and having difficulty finding employment",0.1739130434782608,civic_education,True
150,144,0.0,civic_education,True
],external influences originating from the Indus Valley.,0.0,civic_education,True
],Steps,0.0,civic_education,True
Scenario 1,"Wrong, Wrong",0.0,civic_education,False
The inferior alveolar nerve,The buccal nerve,0.5714285714285715,civic_education,True
cerebellum],visual system,0.0,civic_education,True
"Option I if it needs at least $20,000 to pay off an overdue loan",Option II if it wants to maximize expected return,0.3478260869565217,civic_education,True
must take into account the interests of all living beings.,make take into account the interests of all sentient beings.,0.8000000000000002,civic_education,False
],"The resident would not succeed, because the reservation of the resident's right to terminate would be violative of the rule against perpetuities.",0.0,civic_education,True
$82,$85,0.0,civic_education,False
It was one of the first well-documented examples of a specific brain area being associated with a set of physical and emotional changes.,Gage's accident was one of the first to be treated with drugs that alter the neurotransmitters in the brain.,0.2857142857142857,civic_education,True
The attack on Pearl Harbor,The bombing of the U.S.S. Liberty,0.1818181818181818,civic_education,True
],6:5,0.0,civic_education,True
Egg,Hepatitis,0.0,civic_education,True
],Amyotrophic lateral sclerosis,0.0,civic_education,False
],"Not wrong, Wrong",0.0,civic_education,True
],Introspection,0.0,civic_education,True
],Any risk of invasion of privacy,0.0,civic_education,False
strike,mulligan,0.0,civic_education,False
],"Wrong, Not wrong",0.0,civic_education,True
Vitamin A,Vitamin A,1.0,civic_education,True
Kinetic energy of the alpha particle.,gamma radiation.,0.0,civic_education,True
Reliability of sufficient rainfall,Availability of sufficient rainfall,0.75,civic_education,True
they will disagree morally only if they disagree about the facts of the case.,they will share all the same moral opinions.,0.2727272727272727,civic_education,True
],Lafayette,0.0,civic_education,True
Cliff,Diane,0.0,civic_education,True
],"The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",0.0,civic_education,True
Interest rates decrease and the dollar depreciates.,Interest rates decrease and the dollar appreciates.,0.8571428571428571,civic_education,False
RL circuit.,RC circuit.,0.5,civic_education,True
Emulated the lifestyle and cultural values of the traditional aristocracy,participated in the same leisure pursuits and events of the 'social calendar',0.3636363636363636,civic_education,True
],17,0.0,civic_education,True
Surgical scalpel wrapped in gauze. ,Foam stick.,0.0,civic_education,True
