Question,predict,label,rouge_score,score
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Mạch truyện diễn biến theo [MASKED]
### Lựa chọn:
A: Hiện tại - quá khứ 
B: Hiện tại - tương lại
C: Hiện tại - quá khứ - hiện tại 
D: Hiện tại - quá khứ - tương lai"," **D: Hiện tại - quá khứ - tương lai** 


Đây là cách diễn đạt thông thường cho câu hỏi về cấu trúc mạch truyện. 
",trình tự thời gian nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tôi đi học của Thanh Tịnh [MASKED]
### Lựa chọn:
A: Bút kí 
B: Truyện ngắn trữ tình
C: Tiểu thuyết 
D: Tuỳ bút"," là một **[B: Truyện ngắn trữ tình]** 


Let me know if you'd like to try another one! 
",được viết theo thể loại nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong tác phẩm “Tôi đi học” của Thanh Tịnh, câu văn nào sau đây không nói lên [MASKED]
### Lựa chọn:
A: Lần ấy trường đối với tôi là một nơi xa lạ 
B: Cũng như tôi, mấy cậu học trò bỡ ngỡ đứng nép bên người thân, chỉ dám nhìn một nửa hay dám đi từng bước nhẹ
C: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập 
D: Con đường này tôi đã quen đi lại lắm lần, nhưng lần này tự nhiên thấy lạ"," **cảm giác hồi hộp, bỡ ngỡ của tác giả khi đến trường lần đầu tiên**? 


**Giải thích:**

* **A, B, C, D** đều miêu tả cảm giác hồi hộp, bỡ ngỡ của tác giả khi đến trường lần đầu tiên. 

* **A** nói về sự xa lạ của trường với tác giả.
* **B** miêu tả sự bỡ ngỡ của cả tác giả và các bạn","tâm trạng hồi hộp, cảm giác bỡ ngỡ của nhân vật “tôi” trong buổi tựu trường đầu tiên?",0.2553191483020782,0.24691358024691357
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn bản Tôi đi học [MASKED]
### Lựa chọn:
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: Hành động"," **là ai**? 


**Lựa chọn:**
A: Ngoại hình 
B: Tính cách
C: Tâm trạng 
D: Hành động 


**Đáp án:** C 
",được miêu tả chủ yếu ở phương diện nào?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Biện pháp tu từ nào được tác [MASKED]
### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ."," **dụng** trong câu: ""Nắng như tấm lụa vàng trải dài trên đồng lúa""?

### Lựa chọn:
A: A. Nhân hóa. 
B: B. So sánh.
C: C. Điệp ngữ. 
D: D. Ẩn dụ. 


**Đáp án: B** 


**Giải thích:**

Câu trên sử dụng biện pháp **so sánh** ""Nắng như tấm lụa vàng""",giả sử dụng trong đoạn văn trên?,0.0655737668275833,0.10714285714285714
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Chủ đề của văn bản “Tôi [MASKED]
### Lựa chọn:
A: Nhan đề của văn bản 
B: Quan hệ giữa các phần của văn bản
C: Các từ ngữ, câu then chốt trong văn bản 
D: Cả ba yếu tố trên"," **thấy**” là gì? 


Vậy câu trả lời đúng là **D: Cả ba yếu tố trên**. 

Để hiểu chủ đề của một văn bản, ta cần xem xét:

* **Nhan đề:** Nhan đề thường gợi ý về chủ đề chính của văn bản.
* **Quan hệ giữa các phần của văn bản:** Cách các đoạn văn được sắp xếp và liên kết với nhau giúp ta hiểu được mạch lạc và trọng tâm của văn bản.",đi học” nằm ở phần nào?,0.025000000372529,0.02531645569620253
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Sức cuốn hút của tác [MASKED]
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
D: Cả A, B, C."," **giả** 


Vậy câu hỏi hoàn chỉnh là:

### Câu hỏi: Sức cuốn hút của tác **giả** 
### Lựa chọn:
A: Bản thân tình huống truyện. 
B: Tình cảm ấm áp, trìu mến của những người lớn đối với các em nhỏ lần đầu tiên đến trường.
C: Hình ảnh thiên nhiên, ngôi trường và các so sánh giàu sức gợi cảm của tác giả. 
","phẩm ""Tôi đi học"" là:",0.0277777779847383,0.029850746268656716
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhân vật chính trong văn [MASKED]
### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’"," **truyện** 


### Lựa chọn:
A: Người mẹ 
B: Người thầy giáo
C: Ông đốc 
D: Nhân vật ‘tôi’ 
",bản 'Tôi đi học’ là ai?,0.0833333358168602,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các phương thức biểu đạt được tác giả Thanh [MASKED]
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: Biểu cảm 
D: Kết hợp cả A, B, C"," **Tịnh** sử dụng là: 
### Lựa chọn:
A: Tự sự 
B: Miêu tả
C: Biểu cảm 
D: Kết hợp cả A, B, C 


Let me know if you'd like to try another one! 
","Tịnh sử dụng trong văn bản ""Tôi đi học”?",0.1777777820825576,0.14634146341463417
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc sắc nghệ thuật của [MASKED]
### Lựa chọn:
A: Truyện được bố cục theo dòng hồi tưởng, cảm nghĩ của nhân vật ""tôi"" theo trình tự thời gian của buổi tựu trường. 
B: Sự kết hợp hài hoà giữa kể, miêu tả với bộc lộ tâm trạng cảm xúc.
C: Cả A và B đúng 
D: Cả A và B sai"," **Truyện ngắn ""Buổi tựu trường""** 


Vậy câu trả lời đúng là **C: Cả A và B đúng** 
","truyện ngắn ""Tôi đi học""?",0.2399999946355819,0.1818181818181818
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hai câu văn sau trong tác phẩm “Tôi đi học” đã thể [MASKED]
### Lựa chọn:
A: Rất vui vẻ. 
B: Hết lòng săn sóc và thương yêu học sinh.
C: Rất hiền hậu. 
D: Cả 3 ý trên đều đúng"," **hiện** 

**Câu hỏi hoàn chỉnh:** Hai câu văn sau trong tác phẩm “Tôi đi học” đã thể hiện 

### Lựa chọn:
A: Rất vui vẻ. 
B: Hết lòng săn sóc và thương yêu học sinh.
C: Rất hiền hậu. 
D: Cả 3 ý trên đều đúng 


",hiện những đức tính gì của ông đốc và thầy giáo trẻ?,0.0983606576919555,0.07017543859649122
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu từ so sánh được sử dụng trong câu văn: “Tôi quên thế nào [MASKED]
### Lựa chọn:
A: Tô đậm cảm giác trong trẻo, tươi sáng của nhân vật “tôi” ngay trong ngày đến trường đầu tiên. 
B: Nói lên nỗi nhớ thường trực của nhân vật “tôi” về ngày đến trường đầu tiên.
C: Cho người được thấy được những kỉ niệm trong buổi sáng đến trường đầu tiên luôn được in đậm trong tâm trí nhân vật “tôi”. 
D: Tô đậm vẻ đẹp của những cành hoa tươi nở giữa bầu trời quang đãng."," **như**” 

### Lựa chọn:
A: Tô đậm cảm giác trong trẻo, tươi sáng của nhân vật “tôi” ngay trong ngày đến trường đầu tiên. 
B: Nói lên nỗi nhớ thường trực của nhân vật “tôi” về ngày đến trường đầu tiên.
C: Cho người được thấy được những kỉ niệm trong buổi sáng đến trường đầu tiên luôn được in đậm trong tâm trí nhân vật “tôi”. 
D: Tô đậm",được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng”?,0.1568627506494522,0.10752688172043011
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ý nào nói đúng nhất tác dụng của biện pháp tu [MASKED]
### Lựa chọn:
A: Tô đậm tâm trạng, cảm giác của nhân vật 'tôi' khi nhìn các bạn, thấy các bạn cũng sợ sệt, vụng về như mình 
B: Tô đậm tâm trạng, cảm giác của mấy cậu học trò mới khi đứng bên người thân trước giờ vào lớp học
C: Tô đậm niềm mong ước được biết lớp, biết thầy để khỏi phải rụt rè trong khung cảnh trường lớp xa lạ của mấy cậu học trò mới 
D: Cả A, B, C đều đúng"," **từ** 

### Lựa chọn:
A: Tô đậm tâm trạng, cảm giác của nhân vật 'tôi' khi nhìn các bạn, thấy các bạn cũng sợ sệt, vụng về như mình 
B: Tô đậm tâm trạng, cảm giác của mấy cậu học trò mới khi đứng bên người thân trước giờ vào lớp học
C: Tô đậm niềm mong ước được biết lớp, biết thầy để khỏi phải rụt rè trong khung cảnh trường lớp xa lạ",từ được tác giả Thanh Tịnh sử dụng trong đoạn văn,0.0869565233588218,0.07058823529411765
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Văn bản “ Tôi đi [MASKED]
### Lựa chọn:
A: Kỷ niệm sâu sắc về tuổi học trò của tác giả. 
B: Ý nghĩa và vai trò của nhà trường đối với cuộc đời mỗi con người.
C: Dòng cảm nghĩ thiết tha sâu lắng của tác giả khi nhớ lại ngày đầu tiên đi học. 
D: Tâm trạng hồi hộp của nhân vật trong buổi tựu trường đầu tiên."," **đón học**” 


### Lựa chọn:
A: Kỷ niệm sâu sắc về tuổi học trò của tác giả. 
B: Ý nghĩa và vai trò của nhà trường đối với cuộc đời mỗi con người.
C: Dòng cảm nghĩ thiết tha sâu lắng của tác giả khi nhớ lại ngày đầu tiên đi học. 
D: Tâm trạng hồi hộp của nhân vật trong buổi tựu trường đầu tiên. 


 
",học” có chủ đề gì?,0.0,0.028571428571428574
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhận xét nào không đúng về thái độ, cử chỉ của [MASKED]
### Lựa chọn:
A: Ông đốc là một người lãnh đạo nhà trường rất hiền từ, nhân ái với học sinh. 
B: Thầy giáo trẻ niềm nở, tươi cười đón nhận học sinh lớp mới.
C: Cha mẹ đều chuẩn bị chu đáo cho con em mình trong buổi đầu tựu trường 
D: Thầy giáo nghiêm khắc nhắc nhở, đón nhận học sinh lớp mới."," **học sinh** 


**Giải thích:**

Câu hỏi đề cập đến thái độ, cử chỉ của học sinh, còn các lựa chọn A, B, C, D đều miêu tả thái độ của giáo viên hoặc cha mẹ. 
",những người lớn đối với các em bé lần đầu đi học?,0.0416666679084301,0.0425531914893617
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong các từ sau, từ nào [MASKED]
### Lựa chọn:
A: Nức nở 
B: Khóc
C: Thút thít 
D: Sụt sịt"," **biểu thị tiếng khóc nhỏ, yếu ớt**? 

### Lựa chọn:
A: Nức nở 
B: Khóc
C: Thút thít 
D: Sụt sịt 


Let me know if you'd like to try another one! 
",có ý nghĩa khái quát nhất?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu văn nào sau đây trong văn bản Tôi đi học của Thanh Tịnh không [MASKED]
### Lựa chọn:
A: Họ như con chim non đứng bên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ 
B: Tôi quên thế nào được những cảm giác trong sáng ấy nảy nở trong lòng tôi như mấy cành hoa tươi mỉm cười giữa bầu trời quang đãng
C: Ý nghĩ ấy thoáng qua trong trí tôi nhẹ nhàng như một làn mây lướt ngang trên ngọn núi 
D: Trong lúc ông ta đọc tên từng người, tôi cảm thấy như quả tim tôi ngừng đập"," **đánh tả** cảm xúc của người học trò?


**Giải thích:**

* **A, B, C, D** đều miêu tả trực tiếp cảm xúc của người học trò trong những khoảnh khắc khác nhau của buổi đi học đầu tiên. 

*  Chọn **đánh tả** để tạo thành câu hỏi trắc nghiệm phù hợp. 


","sử dụng biện pháp so sánh để nói lên tâm trạng của nhân vật ""tôi""",0.0285714287310838,0.03125
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nội dung chính tác giả muốn làm [MASKED]
### Lựa chọn:
A: Sự làm quen nhanh chóng của nhân vật 'tôi' với lớp học và người bạn tí hon ngồi bên cạnh. 
B: Cảm giác vừa xa lạ, vừa gần gũi với mọi vật trong lớp học và với người bạn ngồi bên cạnh.
C: Sự quyến luyến của nhân vật 'tôi' với lớp học và người bạn tí hon ngồi bên cạnh. 
D: Cảm giác vừa ngỡ ngàng vừa tự tin của nhân vật 'tôi' khi bước vào lớp học cùng các bạn."," **gợi tả** 


Let me know if you'd like me to create more example questions! 
",nổi bật trong đoạn văn trên là gì?,0.0,0.0
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tác phẩm Tôi đi học của Thanh [MASKED]
### Lựa chọn:
A: Quê mẹ. 
B: Ngậm ngải tìm trầm.
C: Những giọt nước biển. 
D: Hận chiến trường."," **Tản** 


Vậy câu hỏi hoàn chỉnh là:

### Câu hỏi: Tác phẩm Tôi đi học của Thanh **Tản**. 
### Lựa chọn:
A: Quê mẹ. 
B: Ngậm ngải tìm trầm.
C: Những giọt nước biển. 
D: Hận chiến trường. 
",Tịnh được in trong tác phẩm nào?,0.1199999973177909,0.09302325581395349
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Dòng nào không nói về nội [MASKED]
### Lựa chọn:
A: Lễ khai giảng ở một trường nông thôn miền Trung. 
B: Tình yêu thiên nhiên của tuổi thơ.
C: Ghi lại những cảm giác trong sáng của một học trò trong những ngày đầu đi học. 
D: Tình cảm yêu thương, ân cần của người lớn đối với trẻ thơ."," **dung** của bài thơ? 


Let me know if you'd like to try another one! 
",dung của văn bản Tôi đi học?,0.1818181872367859,0.19047619047619047
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhận xét: “Sử dụng thể loại hồi ký với lời văn chân [MASKED]
### Lựa chọn:
A: Trong lòng mẹ. 
B: Lão Hạc.
C: Tôi đi học. 
D: Tức nước vỡ bờ."," **thực** 

=> **Câu hỏi hoàn chỉnh:** Nhận xét: “Sử dụng thể loại hồi ký với lời văn chân **thực** là một trong những điểm nổi bật của tác phẩm nào sau đây?

**Đáp án:** C: Tôi đi học 


","thành, giọng điệu trữ tình tha thiết” phù hợp với văn bản nào?",0.1538461595773697,0.12
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Nhận định nào sau đây nói đúng [MASKED]
### Lựa chọn:
A: Tôi đi học tô đậm cảm giác trong sáng nảy nở trong lòng nhân vật ""tôi"" ở buổi đến trường đầu tiên 
B: Tôi đi học đậm cảm giác lạ lẫm, sợ sệt của nhân vật ""tôi"" ở buổi đến trường đầu tiên
C: Tôi đi học tô đậm tận tình và âu yếm của những người lớn như người mẹ, ông đôc,....đối với những em bé lần đầu đến trường 
D: Tôi đi học đậm nềm vui sướng hân hoan của nhân vật ""tôi"" và các bạn vào ngày khai trường đầu tiên"," **về cảm xúc của nhân vật ""tôi"" trong tác phẩm ""Tôi đi học""**?


**Giải thích:**

* Câu hỏi cần đánh giá sự hiểu biết của học sinh về cảm xúc chính của nhân vật ""tôi"" trong tác phẩm ""Tôi đi học"". 
* Các lựa chọn A, B, C, D đều đề cập đến một khía cạnh nào đó trong tác phẩm, nhưng chỉ có lựa chọn **B** chính xác nhất về cảm xúc",nhất về chủ đề của tác phẩm ?,0.0987654328346252,0.10256410256410255
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Ý nào dưới đây [MASKED]
### Lựa chọn:
A: Tâm trạng của tôi khi ở trong lớp học 
B: Tâm trạng của tôi khi đứng giữa sân trường
C: Tâm trạng của tôi khi được ông đốc gọi tên 
D: Tâm trạng của tôi khi tan học về nhà"," **KHÔNG ĐÁNH BÀN** với tâm trạng của tôi khi ở trong lớp học? 


Let me know if you'd like to try another one! 
",không có trong văn bản?,0.1379310339689254,0.14285714285714285
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Dòng nào dưới đây chứa các từ [MASKED]
### Lựa chọn:
A: Trường, lớp, bảng đen, phấn trắng, xe cộ 
B: Bảng đen, lớp học, hoa quả, thầy giáo, học sinh
C: Lớp học, bàn ghế, sách vở, bút thước, phấn bảng 
D: Bàn ghế, sách vở, bút thước, mưa bão"," **thuộc về đồ dùng học tập** ? 
 
### Lựa chọn:
A: Trường, lớp, bảng đen, phấn trắng, xe cộ 
B: Bảng đen, lớp học, hoa quả, thầy giáo, học sinh
C: Lớp học, bàn ghế, sách vở, bút thước, phấn bảng 
D: Bàn ghế, sách vở, bút thước, mưa bão 


Let me know if you'd",ngữ cùng một trường từ vựng nhà trường?,0.0579710155725479,0.03278688524590164
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong truyện ngắn “Tôi đi học”, dòng cảm xúc của nhân vật “tôi” được thể hiện qua các ý:1. Cứ mùa thu về, mỗi lần thấy các em nhỏ núp dưới nón mẹ lần đầu tiên đến trường, lòng lại nao nức, rộn rã, xốn xang.2. Mẹ âu yếm nắm tay dẫn đến trường.3. Cảm [MASKED]
### Lựa chọn:
A: A. 1, 2, 3, 4, 5 
B: B. 1, 2, 5, 4, 3
C: C. 1, 2, 4, 3, 5 
D: D. 1, 3, 4, 2, 5"," **[xung động]**

**Vậy câu trả lời là: **

D: D. 1, 3, 4, 2, 5 


**Giải thích:**

* Dòng cảm xúc của nhân vật ""tôi"" trong truyện ""Tôi đi học"" được thể hiện qua nhiều chi tiết, bao gồm:
    * **1.  Cảm giác nao nức, rộn rã, xốn xang** khi nhìn thấy các","thấy con đường đến trường tự nhiên thấy lạ, cảnh vật nhiều thay đổi.4. Cảm thấy sân trường rộng hơn, ngôi trường rộng hơn.5. Cảm thấy gần gũi, thân thương đối với lớp học, với người bạn ngồi bên cạnh. Hãy sắp xếp các ý trên theo trình tự của truyện ngắn “Tôi đi học”?",0.1612903177738189,0.09523809523809525
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tác giả Thanh Tịnh đã sử dụng hiện pháp tu từ so sánh [MASKED]
### Lựa chọn:
A: Ý nghĩ ấy thoáng qua trong trí tôi nhẹ nhàng như một làn mây lướt ngang trên ngọn núi. 
B: Tôi không thể nào quên được những cảm giác trong sáng ấy nảy nở trong lòng tôi như cành hoa tươi mỉm cười giữa bầu trời quang đãng.
C: Họ như con chim con đứng trên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ngập ngừng e sợ. 
D: Cả ba câu trên."," **trong câu nào sau đây**:

### Lựa chọn:
A: Ý nghĩ ấy thoáng qua trong trí tôi nhẹ nhàng như một làn mây lướt ngang trên ngọn núi. 
B: Tôi không thể nào quên được những cảm giác trong sáng ấy nảy nở trong lòng tôi như cành hoa tươi mỉm cười giữa bầu trời quang đãng.
C: Họ như con chim con đứng trên bờ tổ, nhìn quãng trời rộng muốn bay, nhưng còn ng",để khắc họa tâm trạng của nhân vật trong câu nào sau đây?,0.0824742242693901,0.11363636363636365
