,Question,Answer,Label,rouge_score
0,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Taxicabs in a metropolitan area are driven an average of 75,000 miles per year with a standard deviation of 12,000 miles. What is the probability that a randomly selected [MASKED]
### Choices:
A: 0.06 
B: 0.34
C: 0.66 
D: 0.94"," **taxi** will drive more than 80,000 miles in a year? 

Here's how to approach this:

* **Understanding the Problem:** We're dealing with a normal distribution (since the standard deviation is given). We want to find the probability of a taxi driving *more* than a certain distance.
* **Z-Score:**  We need to calculate the z-score for 80,000 miles. The z-score","cab has been driven less than 100,000 miles if it is known that it has been driven over 80,000 miles? Assume a normal distribution of miles per year among cabs.",0.2905983030796051
1,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A 16-year-old girl is brought to the office by her mother because she is concerned that she may have contracted meningitis from her soccer teammate, who was diagnosed with meningococcal meningitis and admitted to the hospital yesterday. The patient's soccer team traveled to a neighboring state to participate in a tournament 1 week ago and she shared a hotel room with the girl [MASKED]
### Choices:
A: Administer the meningococcal vaccine 
B: Prescribe doxycycline
C: Prescribe penicillin 
D: Prescribe rifampin"," **C: Prescribe penicillin**

**Explanation:**

* **Meningococcal meningitis** is caused by the bacterium *Neisseria meningitidis*. 
* **Penicillin** is a common antibiotic effective against *Neisseria meningitidis*. 

**Why the other options are incorrect:**

* **A: Administer the meningococcal vaccine:** While the meningococcal vaccine is important for prevention, it's not a treatment for meningitis.
* **B","who was hospitalized. The patient feels well but is concerned she may have ""caught the same bug."" Medical history is remarkable for asthma. Medications include inhaled albuterol. Vital signs are temperature 37.2°C (98.9°F), pulse 64/min, respirations 16/min, and blood pressure 107/58 mm Hg. Physical examination shows no abnormalities. Which of the following is the most appropriate intervention for this patient at this time?",0.09271523356437683
2,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: During assigned seat-work time, Mary, a firstgrade student, sometimes leaves her seat and attempts to play with a block collection. When she leaves her seat, she [MASKED]
### Choices:
A: Allowing Mary to read from a teacherselected book for a specific period of time before beginning her seat work 
B: Allowing Mary to play with the blocks afterward if she remains in her seat throughout the assigned seat-work time
C: Explaining to Mary the value of completing seat work in terms of the objectives of the lesson 
D: Removing the blocks from the classroom during the assigned seat-work time"," **C: Explaining to Mary the value of completing seat work in terms of the objectives of the lesson**

**Explanation:**

The question is asking about how to handle Mary's behavior.  The answer choices focus on different approaches to managing the situation. 

* **A** and **B** suggest consequences or limitations on her play, which is not the focus of the question.
* **C** is the best answer because it focuses on a positive, educational approach.  ",fails to complete her seat work. Which of the following behavioral intervention strategies will most effectively increase the long-term likelihood that Mary will complete her seat work?,0.1599999964237213
3,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: When the first tiny prokaryotic cell took up residence inside a larger prokaryotic cell, it heralded the advent of the eukaryotic cell and led to an explosion [MASKED]
### Choices:
A: DNA can reproduce more efficiently. 
B: Even though prokaryotes do not have mitochondria, they contain structures that carry out the same function.
C: Organelles separate specific reactions in the cell and increase metabolic efficiency. 
D: Compartmentalization enables prokaryotes to reproduce more quickly."," **C: Organelles separate specific reactions in the cell and increase metabolic efficiency.**

**Explanation:**

* **The sentence focuses on the evolutionary significance of the event.**  The sentence states that the event led to the ""advent of the eukaryotic cell,"" implying a significant change in cellular structure and function.
* **Option C directly addresses the core concept of eukaryotic cells.**  Organelles are the specialized compartments within eukaryotic cells that perform specific functions, like energy production (mitochondria) and protein","of new life on Earth. Since then, most cells on Earth have internal organelles. Which of the following best summarizes an advantage of having internal membranes and organelles?",0.11764705926179886
4,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: All of the following are [MASKED]
### Choices:
A: sporulation 
B: fission
C: budding 
D: meiosis"," **A: sporulation** 

Here's why:

* **Sporulation** is the process of forming spores, which are reproductive cells that can withstand harsh conditions. 
* **Fission** is a form of asexual reproduction where a single cell divides into two identical daughter cells.
* **Budding** is a form of asexual reproduction where a new organism grows from an outgrowth or bud on the parent organism.
* **Meiosis** is a type of cell division that",modes of asexual reproduction EXCEPT,0.0810810774564743
5,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Of the following types of memory, which [MASKED]
### Choices:
A: Sensory memory 
B: Episodic memory
C: Semantic memory 
D: Procedural memory"," **is**  ... 

The answer is **B: Episodic memory**. 

Here's why:

* **Sensory memory** is a very brief, temporary storage of sensory information.
* **Episodic memory** is a type of long-term memory that stores personal experiences and events.
* **Semantic memory** is a type of long-term memory that stores general knowledge and facts.
* **Procedural memory** is a type of long-term memory that",shows the biggest deficit with advanced age?,0.029411764815449715
6,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Research on the counseling of minority [MASKED]
### Choices:
A: remain in counseling for approximately the same length of time as nonminority dents 
B: rarely seek counseling services
C: remain in counseling for a significantly longer time than non- minority clients 
D: terminate counseling significantly earlier than do non-minority clients"," **students** 

**Explanation:**

The question is asking about the counseling of minority students.  

* **A** is incorrect because it suggests a similar length of time in counseling, which is not the typical outcome.
* **B** is incorrect because it suggests they rarely seek counseling, which is not the typical outcome.
* **C** is incorrect because it suggests they stay longer, which is not the typical outcome.
* **D** is incorrect because it suggests they",group member clients indicates thar they,0.02666666731238365
7,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Poles and zeros are arranged alternatively on [MASKED]
### Choices:
A: LC network. 
B: RC network.
C: RL network. 
D: Both 2 and 3."," **C: RL network.**

Here's why:

* **RL Network:**  In an RL (Resistor-Inductor) network, the poles and zeros are arranged in a specific pattern.  
    * **Poles:**  These are the frequencies at which the system's response is zero.
    * **Zeros:** These are the frequencies at which the system's response is at a specific value (usually zero).

* **LC and RC Networks:**  ","negative real axis, then type of network is/are",0.0882352963089943
8,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: According to social learning theory, [MASKED]
### Choices:
A: chromosomal differences in the sex chromosomes and hormones secreted during prenatal development 
B: resolution of the Oedipal complex resulting in identification with the same-sex parent
C: observation and imitation of significant role models 
D: consistent reinforcement of gender-appropriate behaviors and punishment of gender-inappropriate behaviors"," **C: observation and imitation of significant role models** 

Here's why:

* **Social learning theory** focuses on how individuals learn by observing and imitating others. 
* **Observation and imitation** are core components of this theory.

Let's look at why the other options are incorrect:

* **A:** While sex chromosomes and hormones play a role in gender development, they are not the primary focus of social learning theory.
* **B:** The Oedip",gender identity results primarily from,0.0
9,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: An off-duty police officer was standing on a street corner waiting for a bus. A man came up from behind and stole the police officer's wallet from his pants pocket. As the man was running away with the wallet, the police officer pulled out his service revolver. The police officer yelled at [MASKED]
### Choices:
A: assault with a deadly weapon. 
B: involuntary manslaughter.
C: voluntary manslaughter. 
D: murder."," **C: voluntary manslaughter.**

Here's why:

* **Voluntary manslaughter** is a legal term for the unlawful killing of another person without malice aforethought.  The officer's actions were likely considered a justifiable use of force in this situation. 

Let's look at why the other options are incorrect:

* **Assault with a deadly weapon:** This refers to the act of threatening someone with a weapon, not necessarily a killing.
* **Involuntary manslaughter:**","the man to stop and then fired several shots in the man's direction. The police officer did not aim directly at the man but shot at the pavement intending to frighten him. One of the bullets ricocheted off the sidewalk and struck the man, killing him. The police officer is guilty of",0.12800000607967377
10,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: The police were called to a domestic dispute. The wife told police that her husband was abusive and that he was a heavy cocaine user. The husband was present and denied the allegation. Police asked for permission to search the premises for drugs, which was consented to by the wife. The [MASKED]
### Choices:
A: The search was invalid and the evidence must be suppressed because the co-occupant of the premises was present and specifically refused to give consent to the search. 
B: The search was valid because the cases say that one occupant's consent to the search overrules the other occupant's refusal to consent.
C: The search was valid because the wife's statement established probable cause that a crime was being committed  this created exigent circumstances for the search. 
D: The search was invalid because, even though consent was given, the police must first attempt to get a search warrant to enter a home."," **correct answer is D.**

Here's why:

* **The Fourth Amendment** protects against unreasonable searches and seizures. 
* **Consent** is a valid exception to the warrant requirement, but it's not absolute. 
* **The ""plain view"" exception** allows officers to seize items in plain sight during a lawful search. 
* **Probable cause** is required for a warrantless search. 

**Why D is the best answer:**

While consent","husband, however, refused to consent to the search. The police went ahead anyway and found drugs in the husband's belongings. After being arrested on drug charges, the husband filed a motion for suppression of the evidence based on lack of consent. What should be the likely decision of the trial court?",0.156521737575531
11,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: This question is based on the following declarations: String strA = ""CARROT"", strB = ""Carrot"", strC = [MASKED]
### Choices:
A: strA.compareTo(strB) < 0 && strB.compareTo(strC) > 0 
B: strC.compareTo(strB) < 0 && strB.compareTo(strA) < 0
C: strB.compareTo(strC) < 0 && strB.compareTo(strA) > 0 
D: !(strA.compareTo(strB) == 0) && strB.compareTo(strA) < 0"," [MASKED]

The correct answer is **C: strB.compareTo(strC) < 0 && strB.compareTo(strA) > 0**

Here's why:

* **strB.compareTo(strC)**:  This compares ""Carrot"" (strB) to the value of strC. 
* **strB.compareTo(strA)**: This compares ""Carrot"" (strB) to ""CARROT"" (str","""car""; Given that all uppercase letters precede all lowercase letters when considering alphabetical order, which is true?",0.028169013559818268
12,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A 1-year-old male is brought to the emergency department with blistered fresh burns over his hands and feet in a stocking and glove distribution. His mother reports that he was accidentally burned when he turned on the hot [MASKED]
### Choices:
A: administer a 5% albumin infusion 
B: administer intravenous steroids
C: contact child protective services 
D: discharge the patient home with his parents"," **water heater**. 

**Explanation:**

The key here is the description of the burn pattern (stocking and glove distribution) and the context of the burn (turned on the hot water heater). This strongly suggests a **scalding burn**. 

* **A: administer a 5% albumin infusion** - This is a treatment for burns, but not the primary concern in this scenario.
* **B: administer intravenous steroids** - Steroids are used for burns, but not","water in the bathtub while she was answering the telephone in the bedroom. In addition to debridement of the burns, pain management, a thorough history and physical examination, and baseline laboratory studies, the most appropriate next step is to",0.1651376187801361
13,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: A defendant was convicted of assault of a federal officer and imprisoned in a federal penitentiary. While in prison, federal authorities began investigating the murder of the defendant's 11-year- old stepdaughter who was murdered two years earlier. Believing that the defendant was responsible for this killing, federal agents decided to plant an informant at the prison to befriend the defendant and possibly obtain evidence about the crime. In accord with this plan, the federal agents hired a paid informant and placed him in the prison as a fellow inmate, masquerading as an organized crime figure. The informant soon befriended the defendant and learned that he was being threatened by other inmates because of a rumor that he had killed a child. The informant then raised [MASKED]
### Choices:
A: Yes, because the confession was coerced by the threat of physical violence, absent protection from the informant that motivated the defendant to confess. 
B: Yes, because the informant was a false friend, and the defendant was tricked into making the confession.
C: No, because the confession was voluntary. 
D: No, because under the totality of circumstances, the informant's conduct was not inherently coercive."," **[MASKED]**

The correct answer is **A**. Here's why:

* **Coercion and Confessions:**  The key issue here is whether the defendant's confession was coerced.  The scenario describes a situation where the informant, acting as a ""false friend,"" learned about the defendant's potential involvement in the murder. This information was likely obtained through the informant's befriending of the defendant. 

* **Miranda Rights:**  The Miranda warning is","the subject in several conversations, but the defendant repeatedly denied any such involvement. After the defendant started receiving tough treatment from other inmates because of the rumor, the informant offered to protect the defendant but told him, ""You have to tell me the truth about what really happened you know, if you want me to help you. "" Believing that the informant would protect him from the other inmates, the defendant then admitted to the informant that he had driven his stepdaughter to the desert where he killed her. Based upon this confession, the defendant was then indicted for the first-degree murder of his stepdaughter. Prior to trial, the defendant moves to suppress the statement given to the informant. Should the defendant's motion be granted?",0.17171716690063477
14,"Fill in the <MASKED> part in the following sentence to complete a multiple choice question:
### Question: Which of the following rocks would most [MASKED]
### Choices:
A: Granite 
B: Quartzite
C: Schist 
D: Marble"," **form** 

Here's why:

* **Granite, Quartzite, Schist, and Marble** are all types of rocks. 
* **Form** is the action of something coming into existence.

**The best answer is (A) Granite** because it's a common igneous rock that forms from the cooling and solidification of magma or lava. 

**Here's why the other options are less suitable:**

* **Quartzite:** A metamorphic rock",likely form from the metamorphism of a shale?,0.1428571492433548
