Question,predict,label,rouge_score,score,Subject,retained
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trong giờ ra chơi, A trêu đùa và đánh B gây chảy máu và gãy răng, các bạn trong [MASKED]
### Lựa chọn:
A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết. 
B: Mặc kệ vì không liên quan đến mình.
C: Cùng với A đánh B cho vui. 
D: Chạy đi chỗ khác chơi."," lớp nên:

A: Báo với cô giáo chủ nhiệm để tìm cách giải quyết.

Lý do: Khi xảy ra tình huống như vậy, cần có sự can thiệp của người lớn để giải quyết và xử lý tình huống một cách phù hợp. Báo cáo với cô giáo chủ nhiệm sẽ giúp giải quyết vấn đề một cách nhanh chóng và hiệu quả, đảm bảo an toàn cho tất cả các học sinh.",lớp không ai có ý kiến gì vì sợ A đánh. Trong tình huống này em sẽ làm gì?,0.1414141356945037,0.108695652173913,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trên đường đi học về em nhìn thấy một thanh niên đi xe máy phóng nhanh vượt ẩu gây [MASKED]
### Lựa chọn:
A: Lờ đi chỗ khác và coi như không biết. 
B: Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.
C: Đèo em bé đó đến gặp công an. 
D: Đạp thật nhanh về nhà."," tai nạn. 

Lời giải:

Câu hỏi này đòi hỏi em cần phải biết hành động đúng đắn khi gặp tình huống tai nạn. 

Lựa chọn đúng: B. Nhờ sự giúp đỡ của người lớn, đưa em bé đó đến bệnh viện và gọi điện cho gia đình của em đó.

Lựa chọn A, C, D đều không phải là hành động đúng đắn khi gặp tình huống tai nạn.",tai nạn khiến 1 em học sinh bị ngã gãy tay. Trong tình huống đó em sẽ làm gì?,0.183673471212387,0.1590909090909091,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu thành ngữ: Gió chiều nào theo [MASKED]
### Lựa chọn:
A: Không tôn trọng lẽ phải. 
B: Không trung thực.
C: Không chín chắn. 
D: Không có ý thức.","

Lời giải: Gió chiều nào theo là câu thành ngữ có nghĩa là có hướng theo, có ý thức, có định hướng rõ ràng. 

Vì vậy, đáp án đúng là D: Không có ý thức.",chiều ấy nói về người như thế nào?,0.0434782616794109,0.0930232558139534,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Em rèn tính liêm [MASKED]
### Lựa chọn:
A: Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi 
B: Làm giàu bằng chính sức lực, tài năng của mình
C: Nhặt được của rơi trả lại cho người bị mất 
D: Tất cả đáp án trên"," khi làm giàu bằng chính sức lực, tài năng của mình.",khiết trong học tập là:,0.2105263173580169,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Không hám danh, hám lợi, không [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Khiêm tốn.", khiêm tốn.,"nhỏ nhen, ích kỉ được gọi là?",0.0,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vào lúc 12h đêm nhà hàng xóm vẫn bật nhạc [MASKED]
### Lựa chọn:
A: Mặc kệ. 
B: Sang đánh nhà hàng xóm.
C: Sang chửi nhà hàng xóm. 
D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.",", câu trả lời phù hợp nhất là D: Sang nhà hàng xóm khuyên họ tắt máy vì đêm đã khuya nên để mọi người ngủ.",hát karaoke. Trong tình huống này em sẽ làm gì?,0.0,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những hành vi nào sau đây [MASKED]
### Lựa chọn:
A: Đi nhẹ, nói khẽ trong bệnh viện 
B: Châm chọc, chế giễu người khuyết tật.
C: Biết lắng nghe ý kiến của mọi người. 
D: Tự nhận lỗi về mình"," là những hành vi phù hợp trong bệnh viện:

A: Đi nhẹ, nói khẽ trong bệnh viện 

Vì đi nhẹ, nói khẽ là một cách thể hiện sự tôn trọng và xem trọng không gian, âm thanh của bệnh viện, giúp tạo điều kiện cho quá trình điều trị và phục hồi của bệnh nhân.

C: Biết lắng nghe ý kiến của mọi người.

Vì biết lắng nghe ý kiến của mọi người giúp cho bệnh viện có thể hiểu được nhu cầu",thể hiện không tôn trọng người khác:,0.0851063802838325,0.1111111111111111,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Một vài câu ca dao, tục ngữ [MASKED]
### Lựa chọn:
A: Khó mà biết lẽ biết lời
Biết ăn biết ở hơn người giàu sang

 
B: Lời nói không mất tiền mua
Lựa lời mà nói cho vừa lòng nhau
C: Cười người hôm trước, hôm sau người cười 
D: Tất cả các ý trên"," là:

A: Khó mà biết lẽ biết lời
B: Lời nói không mất tiền mua
C: Cười người hôm trước, hôm sau người cười 

Vậy đáp án đúng là D: Tất cả các ý trên",nói về sự tôn trọng người khác:,0.0454545468091964,0.0952380952380952,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu tục ngữ: Nói lời phải giữ lấy lời, đừng [MASKED]
### Lựa chọn:
A: Lòng chung thủy. 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha.",". 
B: Lòng trung thành.
C: Giữ chữ tín. 
D: Lòng vị tha.assistant

Câu tục ngữ: Nói lời phải giữ lấy lời, đ�n�n giữ chữ tín.

Vậy câu trả lời đúng là: C. Giữ chữ tín.",như con bướm đậu rồi lại bay nói đến điều gì,0.0384615398943424,0.0434782608695652,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Coi trọng lòng tin của mọi người đối với mình, [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Lẽ phải. 
D: Giữ chữ tín."," giữ chữ tín.

Giữ chữ tín là việc duy trì và bảo vệ uy tín, lòng tin của mọi người đối với bản thân, tổ chức hoặc cá nhân.",biết trọng lời hứa và tin tưởng nhau được gọi là?,0.0930232554674148,0.1,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những quy định, quy ước ở một tập thể, một [MASKED]
### Lựa chọn:
A: Liêm khiết. 
B: Công bằng.
C: Pháp luật. 
D: Kỉ luật."," cộng đồng thường được gọi là ""Kỉ luật"".",cộng đồng người ở phạm vi hẹp hơn được gọi là?,0.52173912525177,0.5263157894736842,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Những quy định của pháp luật và kỉ luật [MASKED]
### Lựa chọn:
A: Giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người hoàn thiện mình hơn."," giúp cho mọi người có một chuẩn mực chung để rèn luyện và thống nhất trong hoạt động.

Đáp án đúng: A",có ý nghĩa như thế nào với mọi người?,0.1176470592617988,0.1290322580645161,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Câu ca dao thể hiện tôn [MASKED]
### Lựa chọn:
A: Đất có lề, quê có thói 
B: Phép vua thua lệ làng
C: Thương em anh để trong lòng Việc quan anh cứ phép công anh làm 
D: A, B, C"," ""Đất có lề, quê có thói"". Đây là một trong những câu ca dao nổi tiếng và phổ biến của Việt Nam, thể hiện tinh thần dân tộc và sự tôn trọng các quy tắc, phong tục, tập quán của cộng đồng.",trọng pháp luật và kỉ luật,0.0357142873108387,0.0416666666666666,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tình bạn trong sáng, lành mạnh [MASKED]
### Lựa chọn:
A: Giúp cho con người cảm thấy ấm áp, tự tin, yêu đời và hoàn thiện mình hơn. 
B: Giúp cho mọi người gần nhau hơn.
C: Giúp cho mọi người tôn trọng nhau hơn. 
D: Giúp cho mọi người vui vẻ hơn", giúp cho mọi người gần nhau hơn.,có ý nghĩa như thế nào?,0.0,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tình cảm gắn bó giữa hai hoặc nhiều người trên cơ sở [MASKED]
### Lựa chọn:
A: Tình yêu. 
B: Tình bạn.
C: Tình đồng chí. 
D: Tình anh em.", [B: Tình bạn],"hợp nhau về tính tình, sở thích, lí tưởng được gọi là?",0.1176470592617988,0.1333333333333333,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Đặc điểm của tình bạn [MASKED]
### Lựa chọn:
A: Bình đẳng và tôn trọng lẫn nhau. 
B: Phù hợp với nhau về quan niệm sống.
C: Thông cảm, đồng cảm sâu sắc với nhau. 
D: Cả A, B, C."," là:

D: Cả A, B, C.

Tình bạn là một mối quan hệ xã hội giữa hai người (hoặc một nhóm người) có sự gắn kết và thân thiết, cùng nhau chia sẻ, hỗ trợ và giúp đỡ trong cuộc sống. Đặc điểm của tình bạn bao gồm:

- Bình đẳng và tôn trọng lẫn nhau (A): Những người bạn thường có quan hệ bình đẳng, tôn trọng lẫn nhau, không có sự phân biệt về địa vị, địa vị","trong sáng, lành mạnh là?",0.0232558138668537,0.0238095238095238,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Em không tán thành ý kiến [MASKED]
### Lựa chọn:
A: Tình bạn trong sáng, lành mạnh không thể có từ một phía 
B: Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.
C: Biết phê bình nhau trong mọi trường hợp. 
D: Có thể có tình bạn trong sáng, lành mạnh giữa hai người khác giới.",": C: Biết phê bình nhau trong mọi trường hợp.

Giải thích: Tình bạn trong sáng, lành mạnh thường dựa trên sự tin tưởng, tôn trọng và hiểu biết lẫn nhau. Phê bình trong mọi trường hợp không phải là một yếu tố cần thiết trong tình bạn, vì nó có thể dẫn đến sự căng thẳng và mất tin tưởng.",nào sau đây về tình bạn?,0.0588235296308994,0.0606060606060606,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: D là bạn thân của E, trong giờ kiểm tra 15 phút E không học bài [MASKED]
### Lựa chọn:
A: Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật. 
B: Nhờ bạn D cho xem tài liệu cùng.
C: Mặc kệ vì không liên quan đến mình. 
D: Nói với cô giáo để bạn bị phạt."," nên nên chọn đáp án A: Nhắc nhở bạn, khuyên bạn không được làm như vậy vì vi phạm kỉ luật.

Lý do: Khi bạn thân E không học bài trong giờ kiểm tra, bạn D có thể nhắc nhở và khuyên E không nên vi phạm kỷ luật. Điều này thể hiện sự quan tâm và trách nhiệm của bạn D đối với bạn E, đồng thời cũng giúp E nhận ra sai lầm và sửa đổi hành động của mình.",cũ nên lén thầy cô giở sách ra chép. Nếu là D em sẽ làm gì?,0.0545454546809196,0.0408163265306122,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Vào các dịp ngày lễ lớn trong năm thôn X thường tổ chức các hoạt động giao lưu văn hóa, văn nghệ, thể dục, thể thao [MASKED]
### Lựa chọn:
A: Gia đình bà E không tích cực tham gia các hoạt động chính trị - xã hội. 
B: Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.
C: Gia đình bà E sống ích kỉ. 
D: Gia đình bà E sống vô cảm.",". Vì vậy, câu trả lời phù hợp nhất là: B",để chào mừng; gia đình bà E thường không tham gia vì cho rằng mất thời gian. Em có nhận xét gì về gia đình bà E?,0.0,0.054054054054054,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Các tổ chức chính trị do [MASKED]
### Lựa chọn:
A: Nhà nước. 
B: Đảng Cộng sản Việt Nam.
C: Không do cơ quan, tổ chức nào quản lí, hoạt động tự do. 
D: Cả A và B.", Đảng Cộng sản Việt Nam quản lý.,"cơ quan, tổ chức nào quản lí?",0.1111111119389534,0.1428571428571428,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tệ nạn xã hội là là hiện tượng xã hội bao gồm những hành vi sai lệch chuẩn mực xã hội, vi [MASKED]
### Lựa chọn:
A: Tệ nạn xã hội. 
B: Vi phạm pháp luật.
C: Vi phạm đạo đức. 
D: Vi phạm quy chế."," phạm đạo đức.

Vậy câu trả lời đúng là C: Vi phạm đạo đức.","phạm đạo đức và pháp luật, gây hậu quả nghiêm trọng về mọi mặt đối với đời sống xã hội được gọi là?",0.2564102709293365,0.2162162162162162,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Hình thức cao nhất xử [MASKED]
### Lựa chọn:
A: Tử hình. 
B: Chung thân.
C: Phạt tù. 
D: Cảnh cáo."," là tử hình.

Câu trả lời đúng: A",phạt vi phạm pháp luật là?,0.0,0.1428571428571428,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Trẻ dưới 14 tuổi khi vi phạm [MASKED]
### Lựa chọn:
A: Đưa vào trường giáo dưỡng 1 năm kể từ ngày vi phạm. 
B: Cảnh cáo.
C: Phạt tù. 
D: Khuyên răn."," nên bị cảnh cáo.

Câu hỏi đúng: Trẻ dưới 14 tuổi khi vi phạm nên bị cảnh cáo.",pháp luật áp dụng hình thức nào?,0.0,0.0,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Thời gian dự phòng lây nhiễm HIV/AIDS [MASKED]
### Lựa chọn:
A: 1 tiếng. 
B: 1 tuần.
C: Ngay sau 2-3 giờ đầu. 
D: 1 tháng.", là ngay sau 2-3 giờ đầu.,tốt nhất là trong thời gian nào?,0.0,0.1538461538461538,civic_education,True
"Hãy điền vào đoạn <MASKED> trong câu sau để hoàn thành 1 câu hỏi trắc nghiệm:
### Câu hỏi: Tên gọi của 1 loại vi rút [MASKED]
### Lựa chọn:
A: HIV. 
B: AIDS.
C: Ebola. 
D: Cúm gà."," là HIV (Human Immunodeficiency Virus) là loại vi rút gây ra bệnh HIV/AIDS. 

Vậy, đáp án đúng là: A: HIV.",gây suy giảm miễn dịch ở người là?,0.0555555559694767,0.1428571428571428,civic_education,True
