predict,label,score,Subject
Cảnh báo hoặc ngăn chặn A để tránh tiếp tục hành động tiêu cực.,Cùng với A đánh B cho vui.,0.166700005531311,civic_education
Liên hệ với cơ quan chức năng hoặc người có trách nhiệm để báo cáo và yêu cầu hỗ trợ.,Đèo em bé đó đến gặp công an.,0.0,civic_education
"Người có tính cách linh hoạt, dễ thích nghi.]",Không tôn trọng lẽ phải.,0.0,civic_education
"Làm giàu bằng chính sức lực, tài năng của mình]","Nhiệt tình giúp đỡ mọi người mà không tính toán, không vụ lợi",0.0,civic_education
Liêm chính.,Khiêm tốn.,0.25,civic_education
Sang nhà hàng xóm và đề nghị họ tắt nhạc hoặc giảm âm lượng để cho mọi người có thể nghỉ ngơi.,Sang đánh nhà hàng xóm.,0.375,civic_education
"Lờ đi, không quan tâm đến người khác khi họ đang nói hoặc cần giúp đỡ.",Tự nhận lỗi về mình,0.0,civic_education
"Cười người hôm trước, hôm sau người cười",Lời nói không mất tiền mua,0.0,civic_education
Lòng không trung thực.,Lòng vị tha.,0.4444000124931335,civic_education
Giữ chữ tín],Liêm khiết.,0.0,civic_education
Pháp tục.,Công bằng.,0.0,civic_education
"Giúp mọi người nhận biết được những hành động đúng và sai, từ đó tự điều chỉnh và hoàn thiện bản thân.",Giúp cho mọi người tôn trọng nhau hơn.,0.25,civic_education
"Lời nói dễ vỡ, việc làm dễ chìm",Phép vua thua lệ làng,0.0,civic_education
"Giúp cho con người phát triển nhân cách, xây dựng nhân cách tốt đẹp, trở thành người tốt, người có ích cho xã hội.",Giúp cho mọi người gần nhau hơn.,0.2424000054597854,civic_education
Tình đoàn kết.,Tình đồng chí.,0.5,civic_education
"Tôn trọng, giúp đỡ và chia sẻ với nhau.",Phù hợp với nhau về quan niệm sống.,0.2105000019073486,civic_education
Tình bạn chỉ có thể có giữa những người có cùng giới tính.,Bạn bè phải biết bảo vệ nhau trong mọi trường hợp.,0.0,civic_education
"Cảnh báo hoặc báo cho thầy cô về hành động vi phạm của bạn E, vì hành động này có thể ảnh hưởng đến kết quả kiểm tra và uy tín của cả lớp.",Nói với cô giáo để bạn bị phạt.,0.0888999998569488,civic_education
Gia đình bà E không quan tâm đến các hoạt động cộng đồng.,Gia đình bà E tích cực tham gia các hoạt động chính trị - xã hội.,0.5,civic_education
"Cơ quan, tổ chức của Nhà nước]",Nhà nước.,0.1817999929189682,civic_education
Gây ra những hậu quả tiêu cực cho cộng đồng và xã hội.,"Rối loạn trật tự xã hội, suy thoái giống nòi dân tộc.",0.1289999932050705,civic_education
"Tội phạm, tội ác, tội phạm hình sự, tội phạm về ma túy, mại dâm, xâm hại tình dục, tội phạm về tham nhũng, tội phạm về buôn bán người, tội phạm về tội phạm mạng, tội phạm về tội phạm về môi trường, tội phạm về tội phạm về an ninh quốc gia]","Xâm hại tình dục trẻ em, trộm cắp, lừa đảo.",0.1053000018000602,civic_education
Tội phạm xã hội.,Vi phạm quy chế.,0.2222000062465667,civic_education
Cảnh cáo.,Cảnh cáo.,1.0,civic_education
Trả tự do.,Phạt tù.,0.0,civic_education
