Threshold:0.0, retain_rate:0.39677266255339344, average:0.0
Threshold:0.05, retain_rate:0.39867109634551495, average:0.00022334397189951132
Threshold:0.1, retain_rate:0.4394874228761272, average:0.007840194959225952
Threshold:0.15000000000000002, retain_rate:0.48172757475083056, average:0.018105865406472802
Threshold:0.2, retain_rate:0.5320360702420504, average:0.033219738707821474
Threshold:0.25, retain_rate:0.5742762221167537, average:0.0479324734877244
Threshold:0.30000000000000004, retain_rate:0.6056003796867584, average:0.05991286625108907
Threshold:0.35000000000000003, retain_rate:0.6521120075937352, average:0.07908304641826705
Threshold:0.4, retain_rate:0.6995728523967727, average:0.09980414176832296
Threshold:0.45, retain_rate:0.7214048410061699, average:0.10992311428623872
Threshold:0.5, retain_rate:0.791172282866635, average:0.14387559581920273
Threshold:0.55, retain_rate:0.8073089700996677, average:0.1517796539158678
Threshold:0.6000000000000001, retain_rate:0.832937826293308, average:0.16492406566575873
Threshold:0.65, retain_rate:0.8433792121499762, average:0.17069431841869442
Threshold:0.7000000000000001, retain_rate:0.8846701471286189, average:0.1939050965815852
Threshold:0.75, retain_rate:0.9050783103939251, average:0.2061618425484574
Threshold:0.8, retain_rate:0.9131466540104414, average:0.21124059928076275
Threshold:0.8500000000000001, retain_rate:0.9231134314190793, average:0.21786554815717576
Threshold:0.9, retain_rate:0.9307071665875652, average:0.22320798922012502
Threshold:0.9500000000000001, retain_rate:0.9359278595158994, average:0.22711184843974996
