Threshold:0.0,  retain_rate:0.6423333333333333, average:0.0
Threshold:0.05,  retain_rate:0.6443333333333333, average:0.000139508631382172
Threshold:0.1,  retain_rate:0.6766666666666666, average:0.004726200842682598
Threshold:0.15000000000000002,  retain_rate:0.7196666666666667, average:0.013624942349592611
Threshold:0.2,  retain_rate:0.7666666666666667, average:0.025620181479447033
Threshold:0.25,  retain_rate:0.808, average:0.03812133209499108
Threshold:0.30000000000000004,  retain_rate:0.833, average:0.04677881271862441
Threshold:0.35000000000000003,  retain_rate:0.86, average:0.05733571748157959
Threshold:0.4,  retain_rate:0.871, average:0.0620134948392391
Threshold:0.45,  retain_rate:0.8953333333333333, average:0.0733021248796573
Threshold:0.5,  retain_rate:0.92, average:0.08646682382709368
Threshold:0.55,  retain_rate:0.9243333333333333, average:0.08894437334428003
Threshold:0.6000000000000001,  retain_rate:0.9346666666666666, average:0.09523100524883737
Threshold:0.65,  retain_rate:0.9366666666666666, average:0.09653164060693352
Threshold:0.7000000000000001,  retain_rate:0.9466666666666667, average:0.10366605871410672
Threshold:0.75,  retain_rate:0.95, average:0.10624671876707256
Threshold:0.8,  retain_rate:0.954, average:0.10952517444256395
Threshold:0.8500000000000001,  retain_rate:0.9573333333333334, average:0.11238155412680045
Threshold:0.9,  retain_rate:0.9623333333333334, average:0.11696439020911126
Threshold:0.9500000000000001,  retain_rate:0.9636666666666667, average:0.11826895287580934
