Threshold:0.0, retain_rate:0.238, average:0.0
Threshold:0.05, retain_rate:0.31166666666666665, average:0.009423923706541621
Threshold:0.1, retain_rate:0.4836666666666667, average:0.03414746756801728
Threshold:0.15000000000000002, retain_rate:0.645, average:0.056706071131488005
Threshold:0.2, retain_rate:0.778, average:0.0768326559826132
Threshold:0.25, retain_rate:0.8613333333333333, average:0.09127136356366591
Threshold:0.30000000000000004, retain_rate:0.912, average:0.10146045537790002
Threshold:0.35000000000000003, retain_rate:0.9483333333333334, average:0.10995918863898256
Threshold:0.4, retain_rate:0.971, average:0.11613273709155066
Threshold:0.45, retain_rate:0.9793333333333333, average:0.11876494123475745
Threshold:0.5, retain_rate:0.988, average:0.12188921639957598
Threshold:0.55, retain_rate:0.992, average:0.12354591228463699
Threshold:0.6000000000000001, retain_rate:0.9956666666666667, average:0.12519716846042603
Threshold:0.65, retain_rate:0.997, average:0.12585546565591363
Threshold:0.7000000000000001, retain_rate:0.998, average:0.12639736064690638
Threshold:0.75, retain_rate:0.9983333333333333, average:0.12659798681272466
Threshold:0.8, retain_rate:0.999, average:0.12702683751837568
Threshold:0.8500000000000001, retain_rate:0.9996666666666667, average:0.1274834816453273
Threshold:0.9, retain_rate:0.9996666666666667, average:0.1274834816453273
Threshold:0.9500000000000001, retain_rate:1.0, average:0.12774867945913787
